
[00:00:00.000 --> 00:00:04.720]  謝謝敬拜隊帶我們有一個好的敬拜
[00:00:04.720 --> 00:00:08.560]  不如給掌聲今天侍奉的團隊
[00:00:08.560 --> 00:00:12.400]  不論是敬拜隊、AV Team、獅子隊
[00:00:12.400 --> 00:00:15.600]  多謝每個星期他們為我們服侍
[00:00:15.600 --> 00:00:20.120]  都不容易的 因為他們早你們整個小時回來
[00:00:20.120 --> 00:00:24.440]  預備敬拜、AV Team、獅子派燈
[00:00:24.440 --> 00:00:25.640]  都很辛苦的
[00:00:25.640 --> 00:00:30.120]  不單止多謝他們 我都很欣賞你們
[00:00:30.120 --> 00:00:34.120]  我有一段時間沒有在初中跟大家講道
[00:00:34.120 --> 00:00:36.120]  你們都很不容易的
[00:00:36.120 --> 00:00:39.120]  九點半就回來 你們都很厲害
[00:00:39.120 --> 00:00:41.120]  你可不可以給點掌聲自己
[00:00:41.120 --> 00:00:45.120]  今天起碼你沒有去旅行
[00:00:45.120 --> 00:00:48.120]  放暑假你都願意來崇拜當眾
[00:00:48.120 --> 00:00:50.120]  我都很欣賞你們
[00:00:50.120 --> 00:00:55.120]  好 今天我的講道題目叫基督徒的日常
[00:00:55.120 --> 00:00:57.120]  即是基督徒日常做的事
[00:00:57.120 --> 00:00:59.120]  為什麼我有這個題目呢
[00:00:59.120 --> 00:01:04.120]  因為我最近看了一套動漫叫做版本日常
[00:01:04.120 --> 00:01:06.120]  是講什麼的呢
[00:01:06.120 --> 00:01:09.120]  它以前是一個殺手
[00:01:09.120 --> 00:01:11.120]  是一個很有型的殺手
[00:01:11.120 --> 00:01:15.120]  但後來他遇到他太太 心愛的女子
[00:01:15.120 --> 00:01:18.120]  他跟她結婚之後就金盆洗手了
[00:01:18.120 --> 00:01:20.120]  不再打打殺殺了
[00:01:20.120 --> 00:01:23.120]  他不單止改變了他不打打殺殺
[00:01:23.120 --> 00:01:25.120]  他的身形也改變了
[00:01:25.120 --> 00:01:28.120]  中間的胖子就是他
[00:01:28.120 --> 00:01:33.120]  當然他就不再殺人 不再做殺手
[00:01:33.120 --> 00:01:35.120]  不過在他的日常生活裡
[00:01:35.120 --> 00:01:39.120]  都不經意的展現了一些能力
[00:01:39.120 --> 00:01:42.120]  不過他就不是殺人 他是幫人
[00:01:42.120 --> 00:01:44.120]  他怎樣用他的敏捷的身手
[00:01:44.120 --> 00:01:49.120]  準確的腦筋 有很多腦筋
[00:01:49.120 --> 00:01:51.120]  怎樣去幫助他身邊的人
[00:01:51.120 --> 00:01:53.120]  我就想 我們是基督徒
[00:01:53.120 --> 00:01:55.120]  我們想耶穌
[00:01:55.120 --> 00:01:57.120]  我們遇見耶穌基督
[00:01:57.120 --> 00:01:59.120]  我們的生命也有改變了
[00:01:59.120 --> 00:02:01.120]  不知道我們生活的日常裡
[00:02:01.120 --> 00:02:05.120]  有沒有展現屬於基督的生命呢
[00:02:05.120 --> 00:02:07.120]  有沒有跟別人相處的時候
[00:02:07.120 --> 00:02:12.120]  別人也會感覺到我們不一樣呢
[00:02:12.120 --> 00:02:17.120]  今天我預備了經文是試圖行傳的
[00:02:17.120 --> 00:02:19.120]  三章一至十節
[00:02:19.120 --> 00:02:22.120]  我們很想看看彼得和約翰
[00:02:22.120 --> 00:02:25.120]  他們經歷了信耶穌
[00:02:25.120 --> 00:02:29.120]  甚至在試圖行傳說到聖靈的降臨
[00:02:29.120 --> 00:02:31.120]  他們領受聖靈
[00:02:31.120 --> 00:02:34.120]  在他們的生命裡 他們怎樣不一樣
[00:02:34.120 --> 00:02:38.120]  縱然他們日常都在做平常日常生活的事
[00:02:38.120 --> 00:02:41.120]  但是他們的生命有什麼不同的改變
[00:02:41.120 --> 00:02:43.120]  怎樣在他們日常的生活裡
[00:02:43.120 --> 00:02:46.120]  仍然能夠去見證基督
[00:02:46.120 --> 00:02:49.120]  我預備了一段短片
[00:02:49.120 --> 00:02:52.120]  因為我知道你們是初中生
[00:02:52.120 --> 00:02:56.120]  看短片會不會開心一點呢
[00:02:56.120 --> 00:02:58.120]  這次我們不讀經文
[00:02:58.120 --> 00:03:04.120]  可能這段短片是兒童專學看過的
[00:03:04.120 --> 00:03:06.120]  那個「嘿喲」
[00:03:06.120 --> 00:03:10.120]  是不是很興奮呢
[00:03:10.120 --> 00:03:13.120]  特別是中一的朋友
[00:03:13.120 --> 00:03:16.120]  你幾個月前還在看這段短片
[00:03:16.120 --> 00:03:17.120]  還是你很無奈
[00:03:17.120 --> 00:03:19.120]  幾個月後已經在看這段短片
[00:03:19.120 --> 00:03:21.120]  那就麻煩AV了
[00:03:21.120 --> 00:03:24.120]  我把整段經文給大家看
[00:03:43.120 --> 00:03:46.120]  看到一個一出生就走不了路的男人
[00:03:46.120 --> 00:03:49.120]  被人抬到聖殿外面
[00:03:49.120 --> 00:03:53.120]  每一天這個男人都會被人抬到聖殿的門口
[00:03:53.120 --> 00:03:56.120]  向走進聖殿的人黑錢
[00:03:56.120 --> 00:03:59.120]  當這個男人見到彼得和約翰
[00:03:59.120 --> 00:04:03.120]  就求他們給錢來
[00:04:03.120 --> 00:04:06.120]  彼得就說「你看著我」
[00:04:06.120 --> 00:04:09.120]  那個男人就馬上看著他
[00:04:09.120 --> 00:04:11.120]  希望有所收穫
[00:04:11.120 --> 00:04:14.120]  彼得說「錢我就沒有了」
[00:04:14.120 --> 00:04:18.120]  「但是我會把我有的東西都給你」
[00:04:18.120 --> 00:04:20.120]  「我奉主耶穌基督的名」
[00:04:20.120 --> 00:04:23.120]  「命令你起身走路」
[00:04:23.120 --> 00:04:26.120]  彼得就上前扶起他
[00:04:26.120 --> 00:04:30.120]  他的腳和腳跟就馬上變得強健有力
[00:04:30.120 --> 00:04:33.120]  他馬上跳起來開始走路
[00:04:33.120 --> 00:04:36.120]  接著彼得和約翰進入聖殿
[00:04:36.120 --> 00:04:39.120]  一路走一路跳去讚美上帝
[00:04:39.120 --> 00:04:44.120]  聖殿裡的人見到他一路走一路讚美上帝
[00:04:44.120 --> 00:04:48.120]  認得出他就是聖殿門口不懂得走路的乞丐
[00:04:48.120 --> 00:04:52.120]  大家都為發生在他身上的事感到驚訝
[00:04:52.120 --> 00:04:54.120]  彼得就問大家
[00:04:54.120 --> 00:04:57.120]  「為什麼大家這麼驚訝我們有能力」
[00:04:57.120 --> 00:05:00.120]  「令這個男人懂得走路呢?」
[00:05:00.120 --> 00:05:02.120]  彼得告訴大家
[00:05:02.120 --> 00:05:06.120]  是因為上帝的大能醫治了這個人
[00:05:06.120 --> 00:05:09.120]  亦鼓勵大家要認罪悔改
[00:05:09.120 --> 00:05:13.120]  全心全意去跟從上帝
[00:05:36.120 --> 00:05:42.120]  剛才提到乞丐看聖殿
[00:05:42.120 --> 00:05:50.120]  彼得和約翰兩位門徒都如常到聖殿祈禱
[00:05:50.120 --> 00:05:55.120]  剛才的影片沒有提及何時去
[00:05:55.120 --> 00:05:58.120]  我邀請大家讀第一節
[00:05:58.120 --> 00:06:06.120]  下午三時禱告的時候彼得和約翰去上聖殿
[00:06:06.120 --> 00:06:09.120]  原來是下午三時
[00:06:09.120 --> 00:06:14.120]  為何要這麼仔細地提及下午三時
[00:06:14.120 --> 00:06:17.120]  原來按舊約
[00:06:17.120 --> 00:06:19.120]  猶太人的傳統
[00:06:19.120 --> 00:06:24.120]  早上和下午三時都有憲制
[00:06:24.120 --> 00:06:26.120]  在舊約的時代
[00:06:26.120 --> 00:06:31.120]  猶太人早上和下午三時都有憲制
[00:06:31.120 --> 00:06:35.120]  另外猶太人除了憲制之外
[00:06:35.120 --> 00:06:37.120]  每天都會三次祈禱
[00:06:37.120 --> 00:06:39.120]  包括早上九時
[00:06:39.120 --> 00:06:44.120]  下午三時和下午六時都會做祈禱
[00:06:44.120 --> 00:06:46.120]  心水清理
[00:06:46.120 --> 00:06:48.120]  三時要做甚麼
[00:06:48.120 --> 00:06:50.120]  又要憲制又要祈禱
[00:06:50.120 --> 00:06:52.120]  兩件事都要做
[00:06:52.120 --> 00:06:57.120]  所以下午三時去聖殿的人特別多
