
[00:00:00.000 --> 00:00:04.000]  今天有兩樣不同的地方
[00:00:04.000 --> 00:00:07.520]  第一樣不同的地方是教會好像多了一個螢幕
[00:00:07.520 --> 00:00:08.720]  我們大家要適應一下
[00:00:08.720 --> 00:00:10.840]  我不是說不要突然突然突然突然
[00:00:10.840 --> 00:00:12.320]  第二樣就是
[00:00:12.320 --> 00:00:16.120]  今天是第四週
[00:00:16.120 --> 00:00:18.520]  是教會的主題講座
[00:00:18.520 --> 00:00:20.800]  我們過去這段日子
[00:00:20.800 --> 00:00:22.720]  都會講到已忽所書
[00:00:22.720 --> 00:00:25.720]  到底已忽所書帶給我們什麼意思呢?
[00:00:25.720 --> 00:00:27.200]  耶穌基督的出現
[00:00:27.200 --> 00:00:29.200]  如何改變人類的世界呢?
[00:00:29.200 --> 00:00:32.080]  就是整個已忽所書一個很重要的主題
[00:00:32.080 --> 00:00:34.440]  故此很希望透過已忽所書
[00:00:34.440 --> 00:00:35.600]  今天給大家的題目
[00:00:35.600 --> 00:00:38.360]  是脫離虛妄的心
[00:00:38.360 --> 00:00:40.160]  讓神主宰人生
[00:00:40.160 --> 00:00:41.280]  好像很押韻
[00:00:41.280 --> 00:00:43.560]  在這裡先開始
[00:00:43.560 --> 00:00:47.520]  我們一起會讀幾段已忽所書的經文
[00:00:47.520 --> 00:00:49.880]  第四章十七到三十二節
[00:00:49.880 --> 00:00:53.040]  太長了,人們會讀到脫牙
[00:00:53.040 --> 00:00:58.280]  首先我們請姐妹先讀十七到二十一節
[00:00:58.280 --> 00:01:00.280]  大家看到
[00:01:00.280 --> 00:01:03.360]  看這裡讀不來,看上面
[00:01:03.360 --> 00:01:06.160]  我們一起姐妹讀十七到二十一節
[00:01:06.160 --> 00:01:08.280]  第二版就弟兄讀
[00:01:08.280 --> 00:01:10.080]  就是二十二到二十七節
[00:01:10.080 --> 00:01:12.640]  接著二十八到三十二節一起讀
[00:01:12.640 --> 00:01:14.160]  逐版逐版來
[00:01:14.160 --> 00:01:15.680]  我們請姐妹先讀
[00:01:15.680 --> 00:01:17.680]  預備,一二三
[00:01:17.680 --> 00:01:19.080]  所以我說
[00:01:19.080 --> 00:01:21.760]  且在主裡確實地說
[00:01:21.760 --> 00:01:23.760]  你們行事為人
[00:01:23.760 --> 00:01:25.240]  但在外
[00:01:25.240 --> 00:01:27.440]  全虛妄的心行事
[00:01:27.440 --> 00:01:29.760]  他們的心肺昏暗
[00:01:29.760 --> 00:01:32.840]  與神所賜的生命隔絕了
[00:01:32.840 --> 00:01:34.840]  都因自己的無知
[00:01:34.840 --> 00:01:36.480]  心裡剛硬
[00:01:36.480 --> 00:01:38.480]  良心既然喪盡
[00:01:38.480 --> 00:01:40.480]  就放縱私慾
[00:01:40.480 --> 00:01:42.800]  貪行種種的污穢
[00:01:42.800 --> 00:01:44.800]  你們學了基督
[00:01:44.800 --> 00:01:46.480]  卻不是這樣
[00:01:46.480 --> 00:01:49.120]  如若你們聽過他的道
[00:01:49.120 --> 00:01:50.800]  領了他的教
[00:01:50.800 --> 00:01:53.040]  學了他的真理
[00:01:53.040 --> 00:01:54.840]  弟兄,預備起
[00:01:54.840 --> 00:01:59.160]  就要脫去你們從前行為上的舊人
[00:01:59.160 --> 00:02:03.680]  這舊人是因私慾的迷惑漸漸變壞的
[00:02:03.680 --> 00:02:07.240]  又要將你們的心智改換一新
[00:02:07.240 --> 00:02:09.240]  並且穿上新人
[00:02:09.240 --> 00:02:12.680]  這新人是照著神的形象做的
[00:02:12.680 --> 00:02:15.400]  有親離的人已和性結
[00:02:15.400 --> 00:02:18.200]  所以你們要棄絕謊言
[00:02:18.200 --> 00:02:20.680]  各人與鄰舍說實話
[00:02:20.680 --> 00:02:23.960]  因為我們是互相為肢體
[00:02:23.960 --> 00:02:26.320]  身體卻不要犯罪
[00:02:26.320 --> 00:02:28.320]  不要含怒到日落
[00:02:28.320 --> 00:02:31.120]  也不可給魔鬼留地步
[00:02:31.120 --> 00:02:33.120]  一起讀下面的經文
[00:02:33.120 --> 00:02:35.120]  從前偷竊的
[00:02:35.120 --> 00:02:36.560]  不要再偷
[00:02:36.560 --> 00:02:37.920]  總要努力
[00:02:37.920 --> 00:02:39.920]  親手做正經事
[00:02:39.920 --> 00:02:41.520]  就可有緣
[00:02:41.520 --> 00:02:43.520]  分給那缺少的人
[00:02:43.520 --> 00:02:45.120]  污穢的言語
[00:02:45.120 --> 00:02:46.920]  不可出口
[00:02:46.920 --> 00:02:50.320]  只要隨時說造就人的好話
[00:02:50.320 --> 00:02:52.720]  叫聽見的人突抑住
[00:02:52.720 --> 00:02:55.520]  不宜叫神的聖靈擔憂
[00:02:55.520 --> 00:02:58.520]  你們原是受了祂的恩濟
[00:02:58.520 --> 00:03:01.320]  等候得贖的日子來到
[00:03:01.320 --> 00:03:02.720]  一切苦毒
[00:03:02.720 --> 00:03:03.520]  惱恨
[00:03:03.520 --> 00:03:04.520]  憤怒
[00:03:04.520 --> 00:03:05.320]  揚鬧
[00:03:05.320 --> 00:03:06.320]  誹謗
[00:03:06.320 --> 00:03:07.920]  並一切的惡毒
[00:03:07.920 --> 00:03:11.120]  都當從你們中間除掉
[00:03:11.120 --> 00:03:13.520]  並要以恩慈相代
[00:03:13.520 --> 00:03:16.720]  全憐憫的心彼此饒恕
[00:03:16.720 --> 00:03:18.720]  正如神在基督
[00:03:18.720 --> 00:03:21.120]  饒恕了你們一樣
[00:03:21.120 --> 00:03:24.120]  我們一起低頭禱告
[00:03:24.120 --> 00:03:25.720]  沒有親愛
[00:03:25.720 --> 00:03:26.920]  沒有憐憫
[00:03:26.920 --> 00:03:28.920]  沒有恩典的上帝
[00:03:28.920 --> 00:03:30.520]  我們在你面前
[00:03:30.520 --> 00:03:31.720]  我們不得不承認
[00:03:31.720 --> 00:03:33.520]  我們是種種軟弱
[00:03:33.520 --> 00:03:34.920]  種種的不堪
[00:03:34.920 --> 00:03:37.520]  種種的私慾
[00:03:37.520 --> 00:03:38.920]  主要我們願意在你面前
[00:03:38.920 --> 00:03:41.520]  放下這些種種的不堪
[00:03:41.520 --> 00:03:42.520]  這些罪性
[00:03:42.520 --> 00:03:44.120]  甚至虛妄的心
