
[00:00:00.000 --> 00:00:01.880]  今天是青少主日
[00:00:01.880 --> 00:00:05.280]  我想你從進來大門的時候
[00:00:05.280 --> 00:00:08.360]  看到有些裝飾、有些佈置
[00:00:08.360 --> 00:00:10.080]  有時候我們進來的時候
[00:00:10.080 --> 00:00:14.280]  看到年輕人很害羞、害怕地跟你打招呼
[00:00:14.280 --> 00:00:17.160]  有時候剛才在勁爆隊裡面
[00:00:17.160 --> 00:00:19.520]  一直都是青年人帶領著我們
[00:00:19.520 --> 00:00:22.000]  我們可不可以再給一次很大的掌聲
[00:00:22.000 --> 00:00:22.960]  這群年輕人
[00:00:22.960 --> 00:00:24.840]  他們很用心地為我們服侍
[00:00:24.840 --> 00:00:25.840]  謝謝你們
[00:00:27.560 --> 00:00:30.960]  我是青少部的同工,叫阿君
[00:00:30.960 --> 00:00:32.920]  很榮幸今天可以在這裡
[00:00:32.920 --> 00:00:34.920]  跟你們分享神的話語
[00:00:34.920 --> 00:00:38.880]  今個年度青少部有一個主題
[00:00:38.880 --> 00:00:43.280]  叫做「Alight in Christ, Let's Go and Shine」
[00:00:43.280 --> 00:00:45.360]  其實我們很想鼓勵年輕人
[00:00:45.360 --> 00:00:47.280]  活在基督的樣式裡面
[00:00:47.280 --> 00:00:50.720]  走出去光照這個黑暗的世界
[00:00:50.720 --> 00:00:52.320]  說到黑暗的時候
[00:00:52.320 --> 00:00:54.640]  我想問大家一個問題
[00:00:54.640 --> 00:00:55.920]  我想問的是
[00:00:55.920 --> 00:00:57.280]  如果你去想
[00:00:57.280 --> 00:01:01.760]  你人生裡面做過最多錯事的時候
[00:01:01.760 --> 00:01:03.480]  是一個什麼階段
[00:01:03.480 --> 00:01:05.120]  最多不是最大件
[00:01:05.120 --> 00:01:06.320]  就是最多的時候
[00:01:06.320 --> 00:01:08.840]  做到最多錯事的時候是什麼時候呢?
[00:01:08.840 --> 00:01:12.920]  如果我去回答這個問題的時候
[00:01:12.920 --> 00:01:14.360]  我會說
[00:01:14.360 --> 00:01:19.720]  我想大概就是我十多歲至二十歲的時候
[00:01:19.720 --> 00:01:21.840]  就是青年的時期
[00:01:21.840 --> 00:01:24.200]  那時候的我就是剛剛學會
[00:01:24.200 --> 00:01:26.840]  吸煙、喝酒
[00:01:26.840 --> 00:01:28.080]  說髒話
[00:01:28.080 --> 00:01:29.440]  我以前做廚房的
[00:01:29.440 --> 00:01:32.800]  所以我浸淫在一個說髒話的世界
[00:01:32.800 --> 00:01:34.520]  說謊話
[00:01:34.520 --> 00:01:37.120]  年輕的時候我也是逃學
[00:01:37.120 --> 00:01:38.480]  亂拍拖
[00:01:38.480 --> 00:01:41.320]  我試過在士多偷東西
[00:01:41.320 --> 00:01:43.400]  試過打架
[00:01:43.400 --> 00:01:45.040]  去賭錢
[00:01:45.040 --> 00:01:48.320]  我小時候有老虎機
[00:01:48.320 --> 00:01:50.080]  真的這樣做
[00:01:50.080 --> 00:01:51.880]  青年的時候是怎樣的呢?
[00:01:51.880 --> 00:01:53.840]  應該做的就不想做
[00:01:53.840 --> 00:01:57.480]  但是明知不可為的時候就很想為之
[00:01:57.480 --> 00:01:59.280]  我就是這樣
[00:01:59.280 --> 00:02:02.720]  不過回想起那些做錯事的時候
[00:02:02.720 --> 00:02:04.200]  那些黑歷史
[00:02:04.200 --> 00:02:06.440]  有時候也會想
[00:02:06.440 --> 00:02:09.080]  如果有一個刪除的按鈕
[00:02:09.080 --> 00:02:12.440]  一按就可以取消這些污點的話
[00:02:12.440 --> 00:02:13.920]  那就好了
[00:02:13.920 --> 00:02:14.800]  不過當然了
[00:02:14.800 --> 00:02:17.200]  現實上其實上帝沒有創造這個按鈕
