
[00:00:00.000 --> 00:00:03.000]  好,看完節目會平安
[00:00:03.000 --> 00:00:06.000]  今天跟大家分享一整天的話語
[00:00:06.000 --> 00:00:10.000]  分享一個經歷
[00:00:10.000 --> 00:00:14.000]  今天涼一點,但上個月還很熱
[00:00:14.000 --> 00:00:20.000]  上個月和家人去了水上樂園
[00:00:20.000 --> 00:00:27.000]  這是阿妹很期待的一個活動
[00:00:27.000 --> 00:00:31.000]  她知道要去水上樂園就馬上跟同學說
[00:00:31.000 --> 00:00:36.000]  有些同學去過,就跟她說哪些好玩
[00:00:36.000 --> 00:00:43.000]  我們進去的時候就馬上去她很想玩的遊戲
[00:00:43.000 --> 00:00:48.000]  她玩完之後就說不再玩了
[00:00:48.000 --> 00:00:58.000]  玩了一樣就不玩了
[00:00:58.000 --> 00:01:02.000]  她跟同學聊的時候,同學說好玩
[00:01:02.000 --> 00:01:08.000]  但玩的時候,一玩那個沖下來的滑梯
[00:01:08.000 --> 00:01:12.000]  玩完之後她就僵硬了
[00:01:12.000 --> 00:01:17.000]  跟她想像的很不同
[00:01:17.000 --> 00:01:23.000]  她覺得好玩,心中的好玩和實際的刺激
[00:01:23.000 --> 00:01:26.000]  對她來說是兩碼子的事
[00:01:26.000 --> 00:01:31.000]  買了飛進去,也不是便宜
[00:01:31.000 --> 00:01:36.000]  雖然有人用HTML去換回來,便宜很多
[00:01:36.000 --> 00:01:41.000]  但你不玩,最大的問題是甚麼
[00:01:41.000 --> 00:01:46.000]  我要陪她一起不玩,她沒理由自己一個
[00:01:46.000 --> 00:01:50.000]  跟她說,其實剛才玩的時候你覺得怎樣
[00:01:50.000 --> 00:01:52.000]  有沒有一些很開心的東西
[00:01:52.000 --> 00:01:55.000]  沖下來大家都很開心
[00:01:55.000 --> 00:02:00.000]  要在過程中找一些樂趣出來
[00:02:00.000 --> 00:02:04.000]  後來她又去試玩其他東西
[00:02:04.000 --> 00:02:11.000]  她就慢慢開始發現當中開心的地方
[00:02:11.000 --> 00:02:18.000]  其實有點像我們工作,不知道大家有沒有這個感覺
[00:02:18.000 --> 00:02:23.000]  今天跟大家分享這個講題,工作樂園
[00:02:23.000 --> 00:02:29.000]  我們開始了這個職場行者的講道系列
[00:02:29.000 --> 00:02:31.000]  上次Mona牧師跟我們分享
[00:02:31.000 --> 00:02:35.000]  其實講工作樂園,是不是樂園呢
[00:02:35.000 --> 00:02:39.000]  大家會不會好像剛才阿妹去玩遊戲
[00:02:39.000 --> 00:02:43.000]  是一個噩夢,不是一個樂園
[00:02:43.000 --> 00:02:47.000]  今天也透過神的話語去看看
[00:02:47.000 --> 00:02:51.000]  在工作上我們怎樣去看待工作
[00:02:51.000 --> 00:02:57.000]  或者很刺激,或者裡面充滿了很多困難
[00:02:57.000 --> 00:03:01.000]  或者是很挑戰你的事情也好
[00:03:01.000 --> 00:03:06.000]  其實會不會在裡面我們仍然可以找到一些樂趣
