
[00:00:00.000 --> 00:00:05.400]  好 今天我可以在此跟大家分享神的話語
[00:00:05.400 --> 00:00:10.640]  首先 我也想用少許時間介紹一下自己
[00:00:10.640 --> 00:00:13.400]  我中文名叫楊秀珊
[00:00:13.400 --> 00:00:15.600]  英文名叫Clara
[00:00:15.600 --> 00:00:17.720]  我是今年一月的時候
[00:00:17.720 --> 00:00:20.560]  入職恩福堂的全道童工
[00:00:20.560 --> 00:00:24.960]  我負責牧養的團契是星期一成人團契
[00:00:24.960 --> 00:00:28.640]  以及在三福部侍奉
[00:00:28.640 --> 00:00:30.640]  我在上個月
[00:00:30.640 --> 00:00:35.560]  跟接受三福部的訓練的同學聊天
[00:00:35.560 --> 00:00:38.200]  我問了他一個問題
[00:00:38.200 --> 00:00:41.200]  我問他出隊的時候
[00:00:41.200 --> 00:00:43.320]  有沒有遇到對象
[00:00:43.320 --> 00:00:47.440]  他本來是信佛或者其他的宗教
[00:00:47.440 --> 00:00:51.480]  但是他後來也改信了基督教
[00:00:51.480 --> 00:00:57.360]  究竟什麼原因令他們信基督教呢?
[00:00:58.360 --> 00:01:01.720]  那位同學就跟我說
[00:01:01.720 --> 00:01:06.080]  他說 對象覺得我們基督徒
[00:01:06.080 --> 00:01:09.280]  跟其他宗教的信徒很不同
[00:01:09.280 --> 00:01:12.280]  覺得我們很有愛心
[00:01:12.280 --> 00:01:15.080]  還有很有耐性
[00:01:15.080 --> 00:01:17.680]  為什麼他這樣說呢?
[00:01:17.680 --> 00:01:22.880]  原來他說我們三福隊非常認真
[00:01:22.880 --> 00:01:28.400]  不厭其煩地打電話來邀請他聽福音
[00:01:28.400 --> 00:01:31.760]  本來他也不想出來
[00:01:31.760 --> 00:01:34.880]  但是也被他們的真誠打動
[00:01:34.880 --> 00:01:37.360]  他也很想知道
[00:01:37.360 --> 00:01:39.360]  我們所信的神
[00:01:39.360 --> 00:01:41.960]  究竟是一位怎樣的神
[00:01:41.960 --> 00:01:46.560]  還有為什麼我們可以有這樣的表現
[00:01:46.560 --> 00:01:50.960]  相信大家都心裡有數了
[00:01:50.960 --> 00:01:53.480]  很多未信主的朋友
