
[00:00:00.000 --> 00:00:06.000]  在此我們一起為今天早上我們聽到的心祈禱
[00:00:06.000 --> 00:00:08.000]  天父來到你面前
[00:00:08.000 --> 00:00:10.000]  我們去多謝讚美你
[00:00:10.000 --> 00:00:13.000]  多謝你讓我們因為我們能夠認識你
[00:00:13.000 --> 00:00:16.000]  我們生命有那個
[00:00:16.000 --> 00:00:18.000]  好像今天敬拜對待我們一樣
[00:00:18.000 --> 00:00:19.000]  有福的確具
[00:00:19.000 --> 00:00:22.000]  以致我們可以生命成為一個見證
[00:00:22.000 --> 00:00:23.000]  去榮耀著你
[00:00:23.000 --> 00:00:26.000]  祝你使用今天我們聽到的心
[00:00:26.000 --> 00:00:28.000]  預備我們眾人在你裡面
[00:00:28.000 --> 00:00:32.000]  有一個謙卑柔和溫柔的心
[00:00:32.000 --> 00:00:34.000]  去領受神的的話語
[00:00:34.000 --> 00:00:36.000]  也讓我們能夠生命活出
[00:00:36.000 --> 00:00:38.000]  傳你給我們的見證
[00:00:38.000 --> 00:00:40.000]  我們這樣祈禱奉主名求
[00:00:40.000 --> 00:00:42.000]  阿門
[00:00:42.000 --> 00:00:44.000]  曾經看過一篇文章
[00:00:44.000 --> 00:00:48.000]  作者講到一個信心的建立
[00:00:48.000 --> 00:00:50.000]  是一個漸進式
[00:00:50.000 --> 00:00:52.000]  好像一個階梯一樣
[00:00:52.000 --> 00:00:54.000]  我將它畫出來
[00:00:54.000 --> 00:00:58.000]  他說第一個步驟就是
[00:00:58.000 --> 00:01:03.000]  當你一個條件式
[00:01:03.000 --> 00:01:06.000]  當你經歷了神幫助你
[00:01:06.000 --> 00:01:08.000]  你就會去相信他
[00:01:08.000 --> 00:01:10.000]  作者分了四個階段
[00:01:10.000 --> 00:01:12.000]  你看看你自己是哪個階段
[00:01:12.000 --> 00:01:15.000]  第二個階段就是經驗式
[00:01:15.000 --> 00:01:17.000]  當你不單經歷了神
[00:01:17.000 --> 00:01:18.000]  神幫助你了
[00:01:18.000 --> 00:01:21.000]  你也知道神會幫助你
[00:01:21.000 --> 00:01:23.000]  你會相信他
[00:01:23.000 --> 00:01:26.000]  第三個階段就是肯定式
[00:01:26.000 --> 00:01:30.000]  當我們不確定神會不會幫助我們的時候
[00:01:30.000 --> 00:01:32.000]  但因為我們之前經歷過他
[00:01:32.000 --> 00:01:34.000]  所以我們會相信他
[00:01:34.000 --> 00:01:38.000]  第四個階段就是即或不然式
[00:01:38.000 --> 00:01:40.000]  即使神沒有幫助我
[00:01:40.000 --> 00:01:42.000]  不理我
[00:01:42.000 --> 00:01:44.000]  我仍然相信他
[00:01:44.000 --> 00:01:47.000]  不知道大家現在是哪一個階段呢
[00:01:47.000 --> 00:01:50.000]  其實人生我們一定會面對很多不同的困難
[00:01:50.000 --> 00:01:53.000]  和挑戰
[00:01:53.000 --> 00:01:57.000]  而這些困難亦可以拖垮我們的信心
[00:01:57.000 --> 00:02:01.000]  但亦可以強化我們的信仰
[00:02:01.000 --> 00:02:03.000]  不知道大家認不認同
[00:02:03.000 --> 00:02:06.000]  信心的成長其實是一個過程
[00:02:06.000 --> 00:02:08.000]  當我們每次遇到艱難的時候
[00:02:08.000 --> 00:02:11.000]  其實也是神給我們操練信心
[00:02:11.000 --> 00:02:15.000]  和讓我們能夠建立和神關係的機會
[00:02:15.000 --> 00:02:17.000]  今天我的講題是
[00:02:17.000 --> 00:02:19.000]  即或不然 忠於我神
[00:02:19.000 --> 00:02:21.000]  今天的經文比較長
[00:02:21.000 --> 00:02:23.000]  不過我分了三個部分
[00:02:23.000 --> 00:02:27.000]  每一個部分都請頂姐妹看我讀出
[00:02:27.000 --> 00:02:33.000]  很想大家一起
[00:02:33.000 --> 00:02:35.000]  誒 先調了
