
[00:00:00.000 --> 00:00:03.400]  謝謝永堅和二林勁拜隊
[00:00:03.400 --> 00:00:05.820]  在大年初二
[00:00:05.820 --> 00:00:08.320]  首先在此恭祝大家身心靈健康
[00:00:08.320 --> 00:00:12.160]  亦期望大家在新的一年能夠領受意象
[00:00:12.160 --> 00:00:15.800]  能夠活出從主而來的真自由
[00:00:15.800 --> 00:00:18.960]  我們今天所看的經文
[00:00:18.960 --> 00:00:22.400]  就是《迦拉太書》第一章十一節
[00:00:22.400 --> 00:00:25.000]  直到二十四節
[00:00:25.000 --> 00:00:27.840]  如果大家在家中
[00:00:27.840 --> 00:00:31.400]  可以在欣福應用程式找到相關經文
[00:00:31.400 --> 00:00:32.760]  或是一本聖經
[00:00:32.760 --> 00:00:36.280]  所以這一刻我會讀這段經文給大家聽
[00:00:36.280 --> 00:00:39.040]  今天題目是自由之路
[00:00:39.040 --> 00:00:41.040]  我先讀這段經文
[00:00:41.040 --> 00:00:43.280]  在《迦拉太書》第一章十一節
[00:00:43.280 --> 00:00:44.960]  保羅寫過
[00:00:44.960 --> 00:00:47.000]  弟兄們,我要你們知道
[00:00:47.000 --> 00:00:50.680]  我所傳的福音,不是按照人的意思
[00:00:50.680 --> 00:00:53.040]  因為我不是從人領受的
[00:00:53.040 --> 00:00:55.320]  也不是人教導我的
[00:00:55.320 --> 00:00:58.520]  而是藉著耶穌基督的啟示而來
[00:00:58.520 --> 00:01:04.000]  你們聽說過從前我在猶太教中的行徑
[00:01:04.000 --> 00:01:09.600]  我怎樣竭力迫不殘害神的教會
[00:01:09.600 --> 00:01:11.320]  在猶太教中
[00:01:11.320 --> 00:01:14.280]  我比本國許多同輩的人更激進
[00:01:14.280 --> 00:01:17.040]  為我祖宗的傳統更熱心
[00:01:17.040 --> 00:01:20.680]  然而那位把我從母福裡分別出來
[00:01:20.680 --> 00:01:22.680]  又私恩呼召我的神
[00:01:22.680 --> 00:01:26.440]  既然樂意把他兒子啟示在我心裡
[00:01:26.440 --> 00:01:29.200]  讓我在愛邦人中傳揚他
[00:01:29.200 --> 00:01:32.400]  我就沒有跟有血有肉的人商量
