
[00:00:00.000 --> 00:00:01.720]  好,謝謝勁敗女大靈
[00:00:01.720 --> 00:00:04.040]  我們有唱詩的時間
[00:00:04.040 --> 00:00:06.920]  還記得主席開始問了一條問題嗎?
[00:00:06.920 --> 00:00:09.800]  今天這麼冷,但很欣賞大家回來
[00:00:09.800 --> 00:00:12.600]  我相信這裡這一刻很溫暖
[00:00:12.600 --> 00:00:13.480]  你知道為什麼嗎?
[00:00:13.480 --> 00:00:15.800]  因為有上帝的愛
[00:00:15.800 --> 00:00:18.040]  這裡就變得暖和了
[00:00:18.040 --> 00:00:19.840]  有上帝的愛
[00:00:19.840 --> 00:00:23.360]  盼望我們每個星期回來
[00:00:23.360 --> 00:00:25.040]  真的招聚大家的時候
[00:00:25.040 --> 00:00:27.760]  我相信這個地方是充滿上帝的愛
[00:00:27.760 --> 00:00:31.120]  即使外面的世界有多黑暗、寒冷
[00:00:31.120 --> 00:00:32.720]  甚至有很多風浪
[00:00:32.720 --> 00:00:34.920]  但這裡也是你的安息港
[00:00:34.920 --> 00:00:35.440]  好嗎?
[00:00:35.440 --> 00:00:37.160]  盼望我們珍惜每個星期回來
[00:00:37.160 --> 00:00:39.560]  一起聽到、一起團結的時間
[00:00:39.560 --> 00:00:41.800]  對了
[00:00:41.800 --> 00:00:46.000]  哎呀,在進入經文之先
[00:00:46.000 --> 00:00:47.000]  想分享一下
[00:00:47.000 --> 00:00:48.560]  我九月份的時候
[00:00:48.560 --> 00:00:51.240]  除了初中和高中服侍外
[00:00:51.240 --> 00:00:53.640]  也去了大專組服侍
[00:00:53.640 --> 00:00:56.360]  話說大專組和你們一樣
[00:00:56.360 --> 00:00:57.520]  都是需要玩的
[00:00:57.520 --> 00:00:58.720]  加聚的時候
[00:00:58.720 --> 00:00:59.880]  我去了三個月
[00:00:59.880 --> 00:01:01.840]  三個月內有兩次的加聚
[00:01:01.840 --> 00:01:04.240]  都是玩這個桌上遊戲
[00:01:04.240 --> 00:01:05.800]  叫做狼人殺
[00:01:05.800 --> 00:01:07.280]  大家認識玩的,對吧?
[00:01:07.280 --> 00:01:10.200]  不知道大家喜不喜歡玩
[00:01:10.200 --> 00:01:12.240]  我自己也覺得很好玩
[00:01:12.240 --> 00:01:14.160]  不過同時每次玩
[00:01:14.160 --> 00:01:15.880]  都會很燒腦
[00:01:15.880 --> 00:01:17.960]  因為在過程中
[00:01:17.960 --> 00:01:19.480]  你會有不同的角色
[00:01:19.480 --> 00:01:20.480]  大家如果知道
[00:01:20.480 --> 00:01:26.640]  有狼人、女巫、預言家、守衛等角色
[00:01:26.640 --> 00:01:29.200]  每一晚都要抽角色牌
[00:01:29.200 --> 00:01:30.320]  總之每一晚
[00:01:30.320 --> 00:01:31.840]  如果我們是好人
[00:01:31.840 --> 00:01:33.160]  就要去找
[00:01:33.160 --> 00:01:35.640]  究竟哪一個是隱身的狼人
[00:01:35.640 --> 00:01:36.640]  因為天黑的時候
[00:01:36.640 --> 00:01:39.360]  狼人就會有機會一起夾粉
[00:01:39.360 --> 00:01:40.800]  殺了一個人
[00:01:40.800 --> 00:01:43.840]  其他人就要找哪一個是狼人
[00:01:43.840 --> 00:01:46.200]  但對我來說最難的是
[00:01:46.200 --> 00:01:48.320]  你隨便猜一個是狼人就算了
[00:01:48.320 --> 00:01:49.520]  不過最難的就是
[00:01:49.520 --> 00:01:50.520]  每一回合都會說
[00:01:50.520 --> 00:01:52.040]  當主持說天亮了
[00:01:52.040 --> 00:01:54.520]  大家可以開眼看誰死了之後
[00:01:54.520 --> 00:01:56.200]  就要問每一個人
[00:01:56.200 --> 00:01:57.200]  誰死了之後
[00:01:57.200 --> 00:01:58.280]  每一個人就要發言
[00:01:58.280 --> 00:02:00.040]  你覺得哪一個是狼人
[00:02:00.040 --> 00:02:01.320]  還有你會表態
[00:02:01.320 --> 00:02:02.640]  你是一個好人還是怎樣
[00:02:02.640 --> 00:02:05.040]  所有人都說我是一個好人
[00:02:05.040 --> 00:02:07.120]  對我來說
[00:02:07.120 --> 00:02:08.920]  每一回合去聽大家的發言
[00:02:08.920 --> 00:02:10.200]  如果我不是狼人
[00:02:10.200 --> 00:02:11.960]  每一回合聽他們每一個發言
[00:02:11.960 --> 00:02:13.400]  要聽得很清楚
[00:02:13.400 --> 00:02:16.800]  因為你不知道他們說的話是真是假
[00:02:16.800 --> 00:02:18.520]  昨晚我記得我的組
[00:02:18.520 --> 00:02:19.840]  有個組員經常說
[00:02:19.840 --> 00:02:21.440]  喂 你很sus
[00:02:21.440 --> 00:02:23.320]  suspect 你很可疑
[00:02:23.320 --> 00:02:24.840]  你所說的東西
