
[00:00:00.000 --> 00:00:02.000]  青少報的大英姐妹你們好
[00:00:02.000 --> 00:00:04.680]  今年合堂崇拜非常特別
[00:00:04.680 --> 00:00:07.000]  我們用一個直播的形式
[00:00:07.000 --> 00:00:10.000]  網上直播的形式去舉行合堂崇拜
[00:00:10.000 --> 00:00:12.680]  在各位的暑假非常感恩
[00:00:12.680 --> 00:00:15.400]  因為青少報在各樣的營會
[00:00:15.400 --> 00:00:16.800]  各樣的暑期活動裡面
[00:00:16.800 --> 00:00:19.480]  我們都體會我們教會的大英姐妹
[00:00:19.480 --> 00:00:20.800]  特別是青年的群體
[00:00:20.800 --> 00:00:22.600]  在這些暑期活動上面
[00:00:22.600 --> 00:00:23.880]  我們的信仰生命
[00:00:23.880 --> 00:00:25.480]  我們的熟齡生命得到更新
[00:00:25.480 --> 00:00:27.800]  特別我們在高中大專的營會
[00:00:27.800 --> 00:00:29.400]  初中營會裡面我們見到
[00:00:29.400 --> 00:00:31.280]  有不少在教會裡面的英姐妹
[00:00:31.280 --> 00:00:32.600]  特別是你們
[00:00:32.600 --> 00:00:34.200]  在神面前去敬拜
[00:00:34.200 --> 00:00:35.400]  去禱告
[00:00:35.400 --> 00:00:36.880]  見到你們開放生命
[00:00:36.880 --> 00:00:38.200]  也很真誠的
[00:00:38.200 --> 00:00:40.680]  將你的生命去交給神
[00:00:40.680 --> 00:00:42.800]  我見到你在聚會裡面
[00:00:42.800 --> 00:00:45.080]  能夠很深的去體會神對你的愛
[00:00:45.080 --> 00:00:46.800]  提醒和鼓勵
[00:00:46.800 --> 00:00:48.880]  我們為到過去這個暑假裡面
[00:00:48.880 --> 00:00:51.480]  神自己的工作我們去感恩
[00:00:51.480 --> 00:00:54.200]  剛剛過去那個星期的高中營會
[00:00:54.200 --> 00:00:56.080]  確實我們見到有很多中學生
[00:00:56.080 --> 00:00:57.600]  能有生命被突破
[00:00:57.600 --> 00:00:58.600]  有很多改善者
[00:00:58.600 --> 00:01:00.480]  特別是大學生做囚毀的
[00:01:00.480 --> 00:01:03.000]  你都見到他們在試用上面
[00:01:03.000 --> 00:01:05.280]  他們的生命質素和內涵
[00:01:05.280 --> 00:01:07.680]  都有很多成長的地方
[00:01:07.680 --> 00:01:10.280]  剛剛過去的高中營會結束之後
[00:01:10.280 --> 00:01:13.080]  確實有英姐妹相繼確診
[00:01:13.080 --> 00:01:14.400]  包括童工
[00:01:14.400 --> 00:01:16.880]  感恩少報在風險的考慮下
[00:01:16.880 --> 00:01:19.440]  所以我們今年就將合堂崇拜
[00:01:19.440 --> 00:01:22.000]  我們就改變了做直播的形式
[00:01:22.000 --> 00:01:24.040]  希望大家能夠減低風險
[00:01:24.040 --> 00:01:27.080]  並且我們知道下個星期你們就開學了
[00:01:27.080 --> 00:01:30.320]  我們很想在開學的時候能夠順利
[00:01:30.320 --> 00:01:32.560]  盼望在過去的日子裡面
[00:01:32.560 --> 00:01:35.880]  神如何帶我們經歷他的生命
[00:01:35.880 --> 00:01:38.880]  同樣地我相信在新的學年上面
[00:01:38.880 --> 00:01:42.520]  同樣地神會繼續帶領我們中間每一個
[00:01:42.520 --> 00:01:44.760]  合堂崇拜是在過去回顧
[00:01:44.760 --> 00:01:46.280]  過去一年的時間
[00:01:46.280 --> 00:01:47.960]  正如剛才可能有些報告
[00:01:47.960 --> 00:01:49.760]  有些見證的分享
[00:01:49.760 --> 00:01:52.360]  但同樣合堂崇拜也是展開
[00:01:52.360 --> 00:01:55.560]  新的一年主題的一個開始
[00:01:55.560 --> 00:01:56.880]  我不知道大家過去一年
[00:01:56.880 --> 00:01:58.960]  有沒有記得我們青少報
[00:01:58.960 --> 00:02:00.480]  或者叫木區三
[00:02:00.480 --> 00:02:02.360]  木區三包括了俾青崇拜
[00:02:02.360 --> 00:02:03.360]  我們的Exit
[00:02:03.360 --> 00:02:06.560]  我們的二樂的群體
[00:02:06.560 --> 00:02:08.960]  你有沒有印象我們去年的主題是什麼
[00:02:08.960 --> 00:02:11.160]  可能你心水清你就會知道了
[00:02:11.160 --> 00:02:14.280]  我們去年的主題是展現上帝的國度
[00:02:14.280 --> 00:02:16.360]  為要贏得同代人
[00:02:16.360 --> 00:02:18.360]  過去一年因為疫情的影響
[00:02:18.360 --> 00:02:19.360]  都有不少的時間
[00:02:19.360 --> 00:02:21.560]  我們會透過網上去聚會
[00:02:21.560 --> 00:02:23.520]  但青少報仍然很努力在崇拜
[00:02:23.520 --> 00:02:24.520]  在活動
[00:02:24.520 --> 00:02:26.560]  甚至在過去的書架裡面
[00:02:26.560 --> 00:02:27.960]  我們都很想推動
[00:02:27.960 --> 00:02:30.880]  為要贏得同代人的方向
[00:02:30.880 --> 00:02:32.560]  希望我們藉著聖神的說話
[00:02:32.560 --> 00:02:35.160]  藉著聖經的基礎一起去反思一下
[00:02:35.160 --> 00:02:36.560]  究竟我們應該要做什麼
[00:02:36.560 --> 00:02:38.960]  才能夠贏得同代人
[00:02:38.960 --> 00:02:41.960]  如果你心裡面有聽過青少報的報告
[00:02:41.960 --> 00:02:42.760]  你也有印象
[00:02:42.760 --> 00:02:45.760]  過去一年我們有舉辦過方聖的聚會
[00:02:45.760 --> 00:02:47.560]  我們有團契新朋友的聚會
[00:02:47.560 --> 00:02:48.960]  在不同的室內
[00:02:48.960 --> 00:02:50.560]  在大專組裡面
[00:02:50.560 --> 00:02:53.160]  我們有在學校的方工作
[00:02:53.160 --> 00:02:54.160]  有童工 有義工
[00:02:54.160 --> 00:02:55.560]  有大專生在荃灣
[00:02:55.560 --> 00:02:56.960]  去到其他地方的
[00:02:56.960 --> 00:02:58.160]  有兩所的學校裡面
[00:02:58.160 --> 00:02:59.160]  我們去講憲政
[00:02:59.160 --> 00:03:00.960]  我們去服侍他們
[00:03:00.960 --> 00:03:01.760]  同樣
[00:03:01.760 --> 00:03:02.960]  如果說大一點的
[00:03:02.960 --> 00:03:04.560]  你們哥哥姐姐的標準崇拜裡面
[00:03:04.560 --> 00:03:06.160]  XX和二樂團契的
[00:03:06.160 --> 00:03:08.160]  他們都去參與使命小組
[00:03:08.160 --> 00:03:09.760]  我相信這些的內容
[00:03:09.760 --> 00:03:13.160]  其實是為要回應我們上年的主題
[00:03:13.160 --> 00:03:14.760]  為要贏得同代人
[00:03:14.760 --> 00:03:16.560]  希望能夠透過我們的活動
[00:03:16.560 --> 00:03:18.560]  去落實這個方向
[00:03:18.560 --> 00:03:20.960]  深化我們在神面前
[00:03:20.960 --> 00:03:23.360]  去認識聖經和神的關係
[00:03:23.360 --> 00:03:24.760]  並且透過這些活動
[00:03:24.760 --> 00:03:26.160]  我們去實踐出來
[00:03:26.160 --> 00:03:28.160]  這個是非常重要的
[00:03:28.160 --> 00:03:29.160]  新的一年
[00:03:29.160 --> 00:03:31.760]  《青少報》或者《牧區3》
[00:03:31.760 --> 00:03:33.960]  同樣有一個新的主題
[00:03:33.960 --> 00:03:35.160]  這個主題
[00:03:35.160 --> 00:03:38.360]  我們都是以展現上帝的國度
[00:03:38.360 --> 00:03:39.960]  為我們的主軸
[00:03:39.960 --> 00:03:41.360]  不過我們的焦點
