
[00:00:00.000 --> 00:00:04.040]  我們在一年的開始
[00:00:04.040 --> 00:00:07.240]  很想跟大家分享一段比喻
[00:00:07.240 --> 00:00:10.240]  就是十個同類的比喻
[00:00:10.240 --> 00:00:13.560]  我給的題目是不放棄的管理
[00:00:13.560 --> 00:00:15.760]  什麼叫不放棄的管理呢?
[00:00:15.760 --> 00:00:19.280]  事實上很多事情都令我們很氣餒
[00:00:19.280 --> 00:00:22.360]  很多事情都令我們很負面
[00:00:22.360 --> 00:00:25.640]  我怎樣能夠逆流而上呢?
[00:00:25.640 --> 00:00:29.040]  我想透過這個經文成為大家的幫助
[00:00:29.040 --> 00:00:32.160]  我們請姊妹幫我們讀
[00:00:32.160 --> 00:00:37.320]  《馬太福音》二十五章一到八節
[00:00:37.320 --> 00:00:39.000]  姊妹很齊心
[00:00:39.000 --> 00:00:40.240]  讀得很快
[00:00:40.240 --> 00:00:41.400]  所以姊妹先讀
[00:00:41.400 --> 00:00:42.480]  我們請姊妹讀
[00:00:42.480 --> 00:00:48.560]  然後下面那段九到十三節弟兄加入
[00:00:48.560 --> 00:00:49.880]  我們請姊妹先
[00:00:49.880 --> 00:00:51.520]  預備一二三
[00:00:51.520 --> 00:00:55.240]  (大師 見我好比十個同類)
[00:00:55.240 --> 00:00:58.240]  (下著燈出對面前身)
[00:00:58.240 --> 00:01:01.240]  (其中有很多事預注的)
[00:01:01.240 --> 00:01:03.240]  (很多事重要的)
[00:01:03.240 --> 00:01:05.240]  (預注的下著燈)
[00:01:05.240 --> 00:01:06.920]  (不得不預約的)
[00:01:06.920 --> 00:01:08.920]  (重要的下著燈)
[00:01:08.920 --> 00:01:10.120]  (不得不預約的)
[00:01:10.120 --> 00:01:11.680]  (在面前對)
[00:01:11.680 --> 00:01:14.040]  (身旁似前的星星)
[00:01:14.040 --> 00:01:15.680]  (下落的家棟)
[00:01:15.680 --> 00:01:17.000]  (在上天)
[00:01:17.000 --> 00:01:19.360]  (本夜有人看著樹)
[00:01:19.360 --> 00:01:20.840]  (身旁外天)
[00:01:20.840 --> 00:01:23.160]  (你無所見之下)
[00:01:23.160 --> 00:01:24.760]  (那些無對手)
[00:01:24.760 --> 00:01:26.920]  (我幾何受心得)
[00:01:26.920 --> 00:01:29.400]  (預注的對方名之說)
[00:01:29.400 --> 00:01:31.760]  (請分別兩口)
[00:01:31.760 --> 00:01:34.720]  (一口的答應)
[00:01:34.720 --> 00:01:36.920]  (聰明的沒答說)
[00:01:36.920 --> 00:01:39.600]  (恐怕不夠你忙)
[00:01:39.600 --> 00:01:41.200]  (不如你們自己)
[00:01:41.200 --> 00:01:44.000]  (到買油的那裡去買吧)
[00:01:44.000 --> 00:01:46.120]  (他們去買的時候)
[00:01:46.120 --> 00:01:47.600]  (身忙到了)
[00:01:47.600 --> 00:01:49.480]  (那預備好用的)
[00:01:49.480 --> 00:01:51.600]  (同他族去助族)
[00:01:51.600 --> 00:01:53.200]  (門就關了)
[00:01:53.200 --> 00:01:56.480]  (其餘的同類隨後也來了)
[00:01:56.480 --> 00:02:00.200]  (主啊 主啊 給我們開門)
[00:02:00.200 --> 00:02:01.920]  (他卻回答說)
[00:02:01.920 --> 00:02:04.120]  (我實在告訴你們)
[00:02:04.120 --> 00:02:05.920]  (我不認識你們)
[00:02:05.920 --> 00:02:08.440]  (所以你們要警醒)
[00:02:08.440 --> 00:02:11.080]  (因為那日子那事實)
[00:02:11.080 --> 00:02:12.800]  (你們不知道)
[00:02:12.800 --> 00:02:13.880]  好 聖經獨筆
[00:02:13.880 --> 00:02:16.240]  我們一起在低頭禱告
[00:02:16.240 --> 00:02:18.760]  主耶穌說我們去到祢的面前
[00:02:18.760 --> 00:02:21.320]  我們願祢聖靈光照我們
[00:02:21.320 --> 00:02:22.680]  對祢成神
[00:02:22.680 --> 00:02:24.000]  過去日子裏面
[00:02:24.000 --> 00:02:25.720]  我們是否真的行難呢
[00:02:25.720 --> 00:02:27.480]  甚至是很敷衍呢
[00:02:27.480 --> 00:02:30.520]  甚至我們對祢不重視呢
[00:02:30.520 --> 00:02:33.320]  甚至我們沒有預備好人生
[00:02:33.320 --> 00:02:35.560]  去過一個豐盛的生活呢
[00:02:35.560 --> 00:02:38.120]  主啊 求祢透過今日的經文
[00:02:38.120 --> 00:02:40.520]  聖靈在我們生命當中的運作
[00:02:40.520 --> 00:02:42.040]  讓我們得到提醒
[00:02:42.040 --> 00:02:43.880]  讓我們明白神的心意
