
[00:00:00.000 --> 00:00:04.480]  好 謝謝勁快隊帶來我們唱詩的時間
[00:00:04.480 --> 00:00:06.080]  剛剛還有一首歌叫做
[00:00:06.080 --> 00:00:08.720]  「每一天我們都需要上帝」
[00:00:08.720 --> 00:00:10.160]  我突然想起
[00:00:10.160 --> 00:00:13.920]  我知道中一有一個小組叫做空氣夜子
[00:00:13.920 --> 00:00:17.080]  話說我問過他們為什麼會改這個名字
[00:00:17.080 --> 00:00:20.360]  他說空氣代表他們需要上帝
[00:00:20.360 --> 00:00:22.760]  好像空氣般的存在
[00:00:22.760 --> 00:00:25.960]  不知道你們今天回來這裡
[00:00:25.960 --> 00:00:27.120]  你們在想什麼
[00:00:27.120 --> 00:00:28.720]  或者你們要欽著什麼回來
[00:00:28.720 --> 00:00:31.800]  但今天我們真的很想在你們心裡
[00:00:31.800 --> 00:00:33.000]  跟上帝說話
[00:00:33.000 --> 00:00:34.040]  有一兩秒的時間
[00:00:34.040 --> 00:00:35.680]  你說上帝我真的需要你
[00:00:35.680 --> 00:00:36.680]  我們的生命需要你
[00:00:36.680 --> 00:00:37.640]  所以我坐在這裡
[00:00:37.640 --> 00:00:39.320]  願意你也打開你們的心
[00:00:39.320 --> 00:00:40.840]  去預備聽上帝的道
[00:00:40.840 --> 00:00:41.440]  好不好?
[00:00:41.440 --> 00:00:42.240]  好
[00:00:42.240 --> 00:00:44.960]  但今天在進入經文
[00:00:44.960 --> 00:00:46.880]  分享講道之前
[00:00:46.880 --> 00:00:49.920]  我們想給大家一個特別的時刻
[00:00:49.920 --> 00:00:52.160]  就是我們要先看一段影片
[00:00:52.160 --> 00:00:53.920]  先不要說這麼多
[00:00:53.920 --> 00:00:55.200]  先看看這段影片
[00:00:55.200 --> 00:00:57.640]  麻煩AV Team幫忙播放
[00:00:58.640 --> 00:01:01.640]  (音樂)
[00:01:01.640 --> 00:01:04.640]  (音樂)
[00:01:04.640 --> 00:01:07.640]  (音樂)
[00:01:07.640 --> 00:01:10.640]  (音樂)
[00:01:10.640 --> 00:01:12.080]  (沒有人喜歡你)
[00:01:12.080 --> 00:01:13.720]  (沒有人意識到你在夢中)
[00:01:13.720 --> 00:01:14.760]  (你是一個錯誤的人)
[00:01:14.760 --> 00:01:16.040]  (你不用事)
[00:01:16.040 --> 00:01:17.760]  (你不是綠色的)
[00:01:17.760 --> 00:01:19.480]  (你看起來很髒)
[00:01:19.480 --> 00:01:21.280]  (你真的是活著嗎)
[00:01:21.280 --> 00:01:23.240]  (我喜歡你)
[00:01:23.240 --> 00:01:25.320]  (看到你開花,讓我開心)
[00:01:25.320 --> 00:01:27.080]  (你在世界上有所不同)
[00:01:27.080 --> 00:01:28.720]  (你真漂亮)
[00:01:28.720 --> 00:01:32.360]  我帶他們來看花朵
[00:01:32.360 --> 00:01:34.640]  我以為是一朵下降的花朵
[00:01:34.640 --> 00:01:36.880]  這個不正常
[00:01:36.880 --> 00:01:38.400]  (你會看到我)
[00:01:38.400 --> 00:01:39.800]  (我會看到你)
[00:01:39.800 --> 00:01:41.200]  (我會看到你)
[00:01:41.200 --> 00:01:42.680]  (我會看到你)
[00:01:42.680 --> 00:01:44.160]  (我會看到你)
[00:01:44.160 --> 00:01:45.480]  (我會看到你)
[00:01:45.480 --> 00:01:48.080]  我覺得這是個很棒的計劃
[00:01:48.080 --> 00:01:52.800]  能夠有一個能夠實際參與的
[00:01:52.800 --> 00:01:55.320]  我覺得是很強大的
[00:01:55.320 --> 00:02:03.920]  在過去的幾個星期
[00:02:03.920 --> 00:02:06.680]  我開始發現被虐待的人
[00:02:06.760 --> 00:02:08.480]  開始開始被虐待
[00:02:08.480 --> 00:02:12.120]  被虐待的花朵
[00:02:12.120 --> 00:02:15.240]  是很美麗的
[00:02:15.240 --> 00:02:19.480]  (被虐待的影響力)
[00:02:19.480 --> 00:02:20.840]  (大幅提升了)
[00:02:20.840 --> 00:02:22.440]  (被虐待的影響力)
