
[00:00:00.000 --> 00:00:04.560]  今日是2024年4月最後一個主日
[00:00:04.560 --> 00:00:06.000]  我想你都有印象
[00:00:06.000 --> 00:00:10.000]  逢親第四週是教會的主題講道系列
[00:00:10.000 --> 00:00:13.880]  上一次是最後一次講《馬學福音》
[00:00:13.880 --> 00:00:17.360]  今次4月28日開始新的系列
[00:00:17.360 --> 00:00:21.960]  嘉瓊牧師已經在上個主日的中堂和五堂
[00:00:21.960 --> 00:00:25.440]  崇拜講了《二福所書》一個總論
[00:00:25.440 --> 00:00:28.320]  有興趣可以上網去聽
[00:00:28.320 --> 00:00:35.360]  教會將《二福所書》系列的主題定為「因典同行」
[00:00:35.360 --> 00:00:39.920]  同樣今年教會的土告會主題都是一樣
[00:00:39.920 --> 00:00:41.920]  「因典同行」
[00:00:41.920 --> 00:00:44.840]  《二福所書》因為保羅在當中講道
[00:00:44.840 --> 00:00:48.080]  基督救贖的因典建立了教會
[00:00:48.080 --> 00:00:51.680]  使天上、地上得知神的智慧
[00:00:51.680 --> 00:00:54.680]  我們作主的門徒的行事為人
[00:00:54.680 --> 00:00:56.680]  就要與蒙召的恩相稱
[00:00:56.680 --> 00:01:02.200]  包括行在光明中、行在愛心中、行在謹慎中
[00:01:02.200 --> 00:01:05.120]  今天早上讓我們開始
[00:01:05.120 --> 00:01:08.400]  《因典同行》講道系列的第一講
[00:01:08.400 --> 00:01:10.880]  「頌讚神的榮耀」
[00:01:10.880 --> 00:01:15.200]  我們一起從《二福所書》第一章一至十四節
[00:01:15.200 --> 00:01:19.400]  去看看神的榮耀是多麼的佩德
[00:01:19.400 --> 00:01:21.400]  我們去頌讚祂
[00:01:21.400 --> 00:01:23.400]  讓我們一起祈禱
[00:01:26.200 --> 00:01:27.600]  榮耀天父
[00:01:27.600 --> 00:01:29.200]  我們來到祢的面前
[00:01:29.200 --> 00:01:31.000]  要聽祢的說話
[00:01:31.000 --> 00:01:32.400]  求真理的聖靈
[00:01:32.400 --> 00:01:35.400]  帶領我們進入祢的真理當中
[00:01:35.400 --> 00:01:36.280]  我們禱告
[00:01:36.280 --> 00:01:39.000]  奉愛子耶穌基督的聖名祈求
[00:01:39.000 --> 00:01:40.280]  阿們
[00:01:40.280 --> 00:01:41.400]  讓我們一起重讀
[00:01:41.400 --> 00:01:44.400]  今天的經文《二福所書》一至十四節
[00:01:44.400 --> 00:01:46.000]  我請弟兄讀單節
[00:01:46.000 --> 00:01:48.000]  姐妹讀雙節
[00:01:48.000 --> 00:01:49.400]  預備起
[00:01:49.400 --> 00:01:50.800]  奉神旨意
[00:01:50.800 --> 00:01:53.720]  作基督耶穌使徒的保羅
[00:01:53.720 --> 00:01:56.800]  寫信給在二福所的聖徒
[00:01:56.800 --> 00:02:00.800]  就是在基督耶穌裡中心的人
[00:02:00.800 --> 00:02:02.120]  願祢安慰
[00:02:02.120 --> 00:02:02.720]  平安
[00:02:02.720 --> 00:02:04.120]  和神和平
[00:02:04.120 --> 00:02:07.920]  也保祢耶穌基督的安寧
[00:02:07.920 --> 00:02:09.120]  願頌讚
[00:02:09.120 --> 00:02:12.920]  歸於我們主耶穌基督的父神
[00:02:12.920 --> 00:02:14.320]  祂在基督裡
[00:02:14.320 --> 00:02:18.920]  曾賜給我們天上各樣屬靈的福氣
[00:02:18.920 --> 00:02:22.120]  就如神父和華夏世間以前
[00:02:22.120 --> 00:02:24.920]  祂在基督裡監主的王
[00:02:24.920 --> 00:02:28.120]  請我們將祂的臣子成為聖子
[00:02:28.120 --> 00:02:29.720]  和祂的伯仕
[00:02:29.720 --> 00:02:31.320]  又恩愛我們
[00:02:31.320 --> 00:02:35.120]  就按著自己的意旨所喜悅的
[00:02:35.120 --> 00:02:36.720]  預定我們藉著
[00:02:36.720 --> 00:02:40.320]  耶穌基督得意旨的名分
[00:02:40.320 --> 00:02:41.520]  此前下令
[00:02:41.520 --> 00:02:43.920]  幾人已得到聖餐
[00:02:43.920 --> 00:02:45.720]  幾人已接受了
[00:02:45.720 --> 00:02:48.520]  保佑之類的所需和禱告
[00:02:48.520 --> 00:02:52.320]  我們藉這愛子的血得蒙救贖
[00:02:52.320 --> 00:02:54.320]  過凡得而赦免
[00:02:54.320 --> 00:02:57.320]  乃是照他豐富的恩典
[00:02:57.320 --> 00:03:04.320]  (主人說話)
[00:03:04.320 --> 00:03:08.120]  都是照他自己所預定的美意
[00:03:08.120 --> 00:03:11.720]  叫我們知道他子兒的傲備
[00:03:11.720 --> 00:03:22.720]  (主人說話)
[00:03:22.720 --> 00:03:26.120]  我們也在他裡面得了基業
[00:03:26.120 --> 00:03:28.920]  這原是那位隨己而行
[00:03:28.920 --> 00:03:30.520]  做萬事的
[00:03:30.520 --> 00:03:33.720]  照著他子兒所預定的
[00:03:33.720 --> 00:03:41.720]  (主人說話)
[00:03:41.720 --> 00:03:44.520]  你們既聽見真理的道
[00:03:44.520 --> 00:03:47.720]  就是那叫你們得救的福音
[00:03:47.720 --> 00:03:49.520]  也信了基督
[00:03:49.520 --> 00:03:50.920]  既然信他
[00:03:50.920 --> 00:03:54.720]  就受了所應許的聖靈為印記
[00:03:54.720 --> 00:04:04.720]  (主人說話)
[00:04:04.720 --> 00:04:09.720]  《耳福所書》在新玉聖經被歸類為監獄書信
[00:04:09.720 --> 00:04:12.120]  你也明白了為什麼叫監獄書信
[00:04:12.120 --> 00:04:14.920]  因為它是坐牢的時候寫的
[00:04:14.920 --> 00:04:17.720]  在第三章一節保羅說到
[00:04:17.720 --> 00:04:22.720]  他為了外邦人做了基督耶穌的囚徒
[00:04:22.720 --> 00:04:24.720]  其他的監獄書信
[00:04:24.720 --> 00:04:28.320]  包括《哥羅西書》、《肥納比書》和《肥利門書》
[00:04:28.320 --> 00:04:31.720]  這四卷被歸類為監獄書信
[00:04:31.720 --> 00:04:34.720]  《耳福所書》的結構非常工整
[00:04:34.720 --> 00:04:36.120]  很對稱
[00:04:36.120 --> 00:04:37.920]  全書一共六章
[00:04:37.920 --> 00:04:38.920]  上半部分
[00:04:38.920 --> 00:04:41.320]  即一至三章是講教義
[00:04:41.320 --> 00:04:44.920]  下半部分是講生活的應用
[00:04:44.920 --> 00:04:48.920]  包括言語行為、夫妻關係、親子關係等等
[00:04:48.920 --> 00:04:53.920]  今天我們看第一章的上半部分
[00:04:53.920 --> 00:04:55.920]  即第一章的一至十四節
[00:04:55.920 --> 00:04:57.920]  下次會看第一章的下半部分
[00:04:57.920 --> 00:05:00.920]  趙全道會和大家分享
[00:05:00.920 --> 00:05:06.920]  第一、二節是書信很典型的寫信人向修信人的問安
[00:05:06.920 --> 00:05:07.920]  當然長了一點
[00:05:07.920 --> 00:05:10.920]  因為也加了一些祝福的語句在裡面
[00:05:10.920 --> 00:05:14.920]  而我會集中講第三至十四節
[00:05:14.920 --> 00:05:16.920]  這裡總共十二節
[00:05:16.920 --> 00:05:18.920]  其實跟下半章很相似
[00:05:18.920 --> 00:05:20.920]  即十五至二十三節
[00:05:20.920 --> 00:05:24.920]  都是一個很長很長的句子
[00:05:24.920 --> 00:05:27.920]  一個獨立的句子
[00:05:27.920 --> 00:05:28.920]  很難翻譯出來
[00:05:28.920 --> 00:05:32.920]  因為裡面有很多的關係代名詞
[00:05:32.920 --> 00:05:34.920]  很多的分詞
[00:05:34.920 --> 00:05:36.920]  和很多的重塑子句
[00:05:36.920 --> 00:05:39.920]  即是做翻譯真的辛苦
[00:05:39.920 --> 00:05:43.920]  不是那麼容易去到分析得清楚
[00:05:43.920 --> 00:05:46.920]  所以我會盡量講得簡單一點
[00:05:46.920 --> 00:05:49.920]  大家要聰明一點去聽
[00:05:49.920 --> 00:05:51.920]  有一點複雜的
[00:05:51.920 --> 00:05:53.920]  但我盡量講得簡單一點
[00:05:53.920 --> 00:05:57.920]  這十二節是重讚的部分
[00:05:57.920 --> 00:05:59.920]  就是重讚上帝
[00:05:59.920 --> 00:06:01.920]  複雜歸複雜
[00:06:01.920 --> 00:06:02.920]  但你只這樣觀察
[00:06:02.920 --> 00:06:07.920]  其實也不難發現有些重複的詞彙和句子
[00:06:07.920 --> 00:06:09.920]  其中最明顯的
[00:06:09.920 --> 00:06:11.920]  不知道大家能不能觀察到
[00:06:11.920 --> 00:06:15.920]  就是使他榮耀的恩典得到稱讚
[00:06:15.920 --> 00:06:17.920]  在哪裡能夠重複?
[00:06:17.920 --> 00:06:22.920]  第六節上第十二節和第十四節
[00:06:22.920 --> 00:06:24.920]  如果你有讀祖宗訓練
[00:06:24.920 --> 00:06:28.920]  你就知道一個經文的段落是如何分段的
[00:06:28.920 --> 00:06:30.920]  是如何切開的
[00:06:30.920 --> 00:06:34.920]  如果你看到有些重複的詞彙
[00:06:34.920 --> 00:06:38.920]  很可能多數都是在那裡下刀
[00:06:38.920 --> 00:06:44.920]  所以我們看到這三個重複的詞彙
[00:06:44.920 --> 00:06:48.920]  我們就可以將這十二節的經文
[00:06:48.920 --> 00:06:51.920]  分開這三個小段落
[00:06:51.920 --> 00:06:54.920]  從內容角度去看
[00:06:54.920 --> 00:06:57.920]  第一個小段落是講父上帝
[00:06:57.920 --> 00:07:00.920]  講他如何策劃救恩
[00:07:00.920 --> 00:07:04.920]  第二個小段落是講到聖子耶穌基督
