
[00:00:00.000 --> 00:00:06.000]  我們讀書的時候,書和理科就會很頭痛
[00:00:06.000 --> 00:00:11.000]  但是我兩個兒子的理科成績就很好的
[00:00:11.000 --> 00:00:17.000]  大兒子在全香港奧林匹克比賽都是名列前茅
[00:00:17.000 --> 00:00:23.000]  而我太太呢,樣子就當然是漂亮
[00:00:23.000 --> 00:00:27.000]  在我心目中,我一定要這樣說
[00:00:27.000 --> 00:00:32.000]  因為她會重看港島的六部
[00:00:32.000 --> 00:00:36.000]  而我的樣子是怎樣呢?
[00:00:36.000 --> 00:00:39.000]  大家靜下來
[00:00:39.000 --> 00:00:43.000]  很難說,因為基督徒是不應該說謊的
[00:00:43.000 --> 00:00:52.000]  大家覺得媽媽漂亮,但是爸爸又可能不漂亮
[00:00:52.000 --> 00:00:57.000]  生出來的兩個兒子的樣子是怎樣呢?
[00:00:57.000 --> 00:01:00.000]  大家都是很正面
[00:01:00.000 --> 00:01:04.000]  當然我不會展示兩個兒子的樣子給大家看
[00:01:04.000 --> 00:01:10.000]  但是我兩個兒子都是感恩,像媽媽
[00:01:10.000 --> 00:01:13.000]  我最開心就是他像媽媽
[00:01:13.000 --> 00:01:22.000]  後來我發現,他們和我有一點很相似
[00:01:22.000 --> 00:01:25.000]  就是什麼呢?
[00:01:25.000 --> 00:01:28.000]  戴眼鏡,也有戴眼鏡的
[00:01:28.000 --> 00:01:32.000]  他們都喜歡吃海鮮
[00:01:32.000 --> 00:01:41.000]  同樣,他們都喜歡同一個女人
[00:01:41.000 --> 00:01:44.000]  是誰呢?
[00:01:44.000 --> 00:01:48.000]  當然是我太太,就是他們的媽媽
[00:01:48.000 --> 00:01:54.000]  作為教會的信徒,我們又像樣不對版嗎?
[00:01:54.000 --> 00:02:00.000]  讓我們一起讀出《已忽所書》四章一召十六節
[00:02:00.000 --> 00:02:03.000]  這一段經文
[00:02:03.000 --> 00:02:07.000]  我想請弟兄讀單節,姐妹讀雙節
[00:02:07.000 --> 00:02:09.000]  預備
[00:02:09.000 --> 00:02:13.000]  我為主作囚徒的,勸你們
[00:02:13.000 --> 00:02:16.000]  既然蒙召,行事為人
[00:02:16.000 --> 00:02:26.000]  就要與你們所蒙的呼召相請
[00:02:26.000 --> 00:02:29.000]  以和平彼此聯繫
[00:02:29.000 --> 00:02:42.000]  竭力保持聖靈所賜的合一
[00:02:42.000 --> 00:02:53.000]  一主一信一使
[00:02:53.000 --> 00:03:09.000]  我們每個人蒙恩都是照基督所量級每人的恩賜
[00:03:09.000 --> 00:03:23.000]  既說他升上,豈不是指他曾降到地底下嗎?
[00:03:23.000 --> 00:03:36.000]  他所賜的,有使徒,有先知,有傳福音的,有牧者和教師
[00:03:36.000 --> 00:03:41.000]  直等到我們眾人在信仰上同歸於一
[00:03:41.000 --> 00:03:45.000]  認識神的兒子,得以長大成人
[00:03:45.000 --> 00:04:01.000]  達到基督完全長成的新娘
[00:04:01.000 --> 00:04:05.000]  我們反而要用愛心說誠實話
[00:04:05.000 --> 00:04:08.000]  各方面向著基督長進
[00:04:08.000 --> 00:04:25.000]  連於元首基督
[00:04:25.000 --> 00:04:27.000]  我們一起祈禱
[00:04:27.000 --> 00:04:36.000]  親愛的天父,感謝禰讓我們眾兒女聚集在這殿中一同敬拜
[00:04:36.000 --> 00:04:42.000]  願主禰就直著禰的說話,直著聖靈去引導我們
[00:04:42.000 --> 00:04:48.000]  好讓我們明白今天主禰要對我們說的話
[00:04:48.000 --> 00:04:57.000]  並且讓我們有信心來領受,並且回應我們祈禱奉主耶穌基督的名
[00:04:57.000 --> 00:04:59.000]  阿們
[00:04:59.000 --> 00:05:21.000]  已忽所書,由四章一節開始,是已忽所書的一個大分段
[00:05:21.000 --> 00:05:29.000]  從開始到現在,全卷書的主旨就是因點提升了我們的地位
[00:05:29.000 --> 00:05:37.000]  由這裡開始,主旨就是實際地活在地位上
[00:05:37.000 --> 00:05:41.000]  我們在基督里得著高昇的地位
[00:05:41.000 --> 00:05:46.000]  也要求我們有相應的金錢品行
[00:05:46.000 --> 00:05:57.000]  所以,第一章三章是講論天上,四章六章是講家庭、教會和社會
[00:05:57.000 --> 00:06:02.000]  在這裡,保羅第二次自稱為被囚
[00:06:02.000 --> 00:06:07.000]  保羅因為對主忠心信服而被囚
[00:06:07.000 --> 00:06:13.000]  他勸勉讀者行事為人,要和他所蒙的呼召相請
[00:06:13.000 --> 00:06:19.000]  我們如何相請,才能夠此樣對版呢?
[00:06:19.000 --> 00:06:22.000]  第一,合而為一
[00:06:22.000 --> 00:06:29.000]  第一節說到,我為主作囚徒的勸你們
[00:06:29.000 --> 00:06:37.000]  既然蒙召行事為人,就要與你們所蒙的呼召相請
[00:06:37.000 --> 00:06:44.000]  行事為人這句話在《以弗所書》中出現了七次
[00:06:44.000 --> 00:06:50.000]  行事為人的原文意思是整個生活方式舉止行為
[00:06:50.000 --> 00:07:00.000]  所謂相請的行事為人,就是基督徒要和自己作為基督身上的肢體的榮耀身份一致
[00:07:00.000 --> 00:07:13.000]  《華本》修訂版和《新漢語》譯本將《和合本》譯為蒙召的因
[00:07:13.000 --> 00:07:18.000]  《和修本》和《新漢語》譯為所蒙的呼召
[00:07:18.000 --> 00:07:24.000]  而英文ESV版本就譯為The callings to which you have been called
[00:07:24.000 --> 00:07:31.000]  保祿的原意並不是強調恩典,而是強調蒙召的內容
[00:07:31.000 --> 00:07:39.000]  即是神呼召我們所立的標準,是指悔改信徒有新的生命
[00:07:39.000 --> 00:07:45.000]  而這個新的生命應該有新的生活模式作為配合
[00:07:45.000 --> 00:07:52.000]  而相請是什麼意思呢?就是信徒的行事為人要對版
[00:07:52.000 --> 00:07:57.000]  不能夠放不對版,那我們要怎樣才能夠對版呢?
[00:07:57.000 --> 00:08:05.000]  在這封所書213-22節強調了信徒在基督里成為一體
[00:08:05.000 --> 00:08:11.000]  是神家裡的人,因此信徒要合一
[00:08:11.000 --> 00:08:15.000]  這與下面第四章2-16節的教導是一致的
[00:08:15.000 --> 00:08:20.000]  強調門徒要合而為一
[00:08:20.000 --> 00:08:28.000]  而更重要的是,大家會看到重復了很多次的字
[00:08:28.000 --> 00:08:31.000]  是一個什麼字呢?一字
[00:08:31.000 --> 00:08:36.000]  重復了多少次呢?七次
[00:08:36.000 --> 00:08:41.000]  很明顯就是這一段經文的中心,是這段經文的主題
[00:08:41.000 --> 00:08:46.000]  信徒蒙召之後應該要有什麼行事為人的表現呢?
[00:08:46.000 --> 00:08:50.000]  讓我們再讀出第二節,預備
[00:08:50.000 --> 00:08:54.000]  凡事要謙虛、溫柔、忍耐
[00:08:54.000 --> 00:08:58.000]  用愛心互相寬容,以和平彼此聯繫
[00:08:58.000 --> 00:09:02.000]  竭力保持聖靈所賜的合一
[00:09:02.000 --> 00:09:04.000]  這是第二至三節
[00:09:04.000 --> 00:09:06.000]  這裡的合一意思是什麼呢?
[00:09:06.000 --> 00:09:10.000]  是知道心靈和關係上的合一
[00:09:10.000 --> 00:09:13.000]  並不是說信徒每個人都要一息一樣
[00:09:13.000 --> 00:09:15.000]  沒有自己的想法和特色
[00:09:15.000 --> 00:09:21.000]  信徒的合一基礎是基於相同的神和救恩
[00:09:21.000 --> 00:09:26.000]  並不是要求完全一模一樣,沒有自己的想法
[00:09:26.000 --> 00:09:31.000]  而因著同一位聖靈的幫助,以至我們能夠和而不同
[00:09:31.000 --> 00:09:35.000]  就算不同,我們能夠彼此的協調
[00:09:35.000 --> 00:09:38.000]  在不同的當中,能夠彼此的尊重和配合
[00:09:38.000 --> 00:09:40.000]  同心建立神的家
[00:09:40.000 --> 00:09:46.000]  第四至六節,我們都是神的子民
[00:09:46.000 --> 00:09:50.000]  共同分享哪七樣東西呢?
[00:09:50.000 --> 00:09:58.000]  第一樣東西,只有一個身體
[00:09:58.000 --> 00:10:06.000]  就算有不同的種族、膚色、國籍、文化、言語和性情的分別
[00:10:06.000 --> 00:10:10.000]  但身體只有一個
[00:10:10.000 --> 00:10:16.000]  第二,是有同一位聖靈
[00:10:16.000 --> 00:10:20.000]  同一位聖靈是內在每一個信徒的內部
[00:10:20.000 --> 00:10:24.000]  也都住在基督的身體,即是教會的內部
[00:10:24.000 --> 00:10:28.000]  第三,我們有同一個指望
[00:10:28.000 --> 00:10:32.000]  教會每一個的肢體,每一個的蒙昭都有一個目的
[00:10:32.000 --> 00:10:34.000]  這個目的是什麼呢?
[00:10:34.000 --> 00:10:39.000]  就是和基督同在,似祂
[00:10:39.000 --> 00:10:43.000]  耶穌基督呼召我們,希望我們似祂
[00:10:43.000 --> 00:10:47.000]  有祂的樣式,也都分享祂無窮盡的榮耀
[00:10:47.000 --> 00:10:51.000]  而一個指望是包括等候主的再來
[00:10:51.000 --> 00:10:57.000]  完全恢復主的樣式,得著祂的基業的保證和憑據
