
[00:00:00.000 --> 00:00:03.000]  跟大家說一個人米的故事開始
[00:00:03.000 --> 00:00:06.000]  很簡單的一個十幾歲的女孩
[00:00:06.000 --> 00:00:09.000]  由於她家境清貧
[00:00:09.000 --> 00:00:11.000]  但她又童心未穩
[00:00:11.000 --> 00:00:15.000]  很喜歡夾公仔機的公仔
[00:00:15.000 --> 00:00:19.000]  但又不敢問媽媽拿錢去夾
[00:00:19.000 --> 00:00:23.000]  她父母都是務農為生
[00:00:23.000 --> 00:00:26.000]  從來沒有去過一些樂園
[00:00:26.000 --> 00:00:28.000]  或者動物園要給錢那些
[00:00:29.000 --> 00:00:31.000]  但她參加了奧運
[00:00:31.000 --> 00:00:34.000]  為了贏取獎金為媽媽治病
[00:00:34.000 --> 00:00:39.000]  在十米高台跳水贏了金牌
[00:00:39.000 --> 00:00:42.000]  我想大家不用說都知道是誰
[00:00:42.000 --> 00:00:45.000]  十七歲拿了兩屆奧運
[00:00:45.000 --> 00:00:50.000]  是最年輕的金牌三面的金牌得主
[00:00:50.000 --> 00:00:53.000]  成就了國家榮耀的即是
[00:00:53.000 --> 00:00:55.000]  相反
[00:00:56.000 --> 00:01:02.000]  保羅本來擁有世界上世人看為很尊貴的身份
[00:01:02.000 --> 00:01:06.000]  是自己民族猶太人當中的宗教領袖
[00:01:06.000 --> 00:01:11.000]  他的師父是那七十個議會的議員
[00:01:11.000 --> 00:01:16.000]  加上是宗教的專家
[00:01:16.000 --> 00:01:18.000]  佛利賽人的佛利賽人
[00:01:18.000 --> 00:01:20.000]  保羅擁有很大的權力
[00:01:20.000 --> 00:01:24.000]  當時還年輕有為
[00:01:24.000 --> 00:01:27.000]  但他甘願放棄身份和權力
[00:01:27.000 --> 00:01:29.000]  為了基督的緣故
[00:01:29.000 --> 00:01:32.000]  甘心成為卑微
[00:01:32.000 --> 00:01:35.000]  甚至被同族人迫害
[00:01:35.000 --> 00:01:41.000]  但他得到主親賜給他的榮耀積分
[00:01:41.000 --> 00:01:44.000]  讓我們一起讀出今天的
[00:01:44.000 --> 00:01:50.000]  《講道經萬以不所書》三章一到十三節
[00:01:51.000 --> 00:01:55.000]  因此,我保羅為你們外邦人
[00:01:55.000 --> 00:02:00.000]  作了基督耶穌囚徒的替你們祈禱
[00:02:00.000 --> 00:02:04.000]  想必你們曾聽見神賜給我
[00:02:04.000 --> 00:02:08.000]  把關切你們積分託付我
[00:02:08.000 --> 00:02:12.000]  用啟示讓我知道祝福音的奧秘
[00:02:12.000 --> 00:02:15.000]  正如以前略略提過的
[00:02:15.000 --> 00:02:20.000]  你們讀了就會知道我深深了解基督的奧秘
[00:02:20.000 --> 00:02:25.000]  這奧秘在以前的世代沒有人知道
[00:02:25.000 --> 00:02:29.000]  像如今藉著聖靈向他的聖事徒和
[00:02:29.000 --> 00:02:31.000]  先知啟示一樣
[00:02:31.000 --> 00:02:34.000]  就是外邦人在基督耶穌裡
[00:02:34.000 --> 00:02:37.000]  藉著福音得以同為後製
[00:02:37.000 --> 00:02:39.000]  同為一體
[00:02:39.000 --> 00:02:41.000]  同為蒙應許的人
[00:02:41.000 --> 00:02:44.000]  我作了這福音的服役
[00:02:44.000 --> 00:02:46.000]  是照神的恩賜
[00:02:46.000 --> 00:02:49.000]  是照祂運行的大能賜給我的
[00:02:49.000 --> 00:02:53.000]  雖然我比眾聖徒中最少的還少
[00:02:53.000 --> 00:02:56.000]  偷還賜我這恩典
[00:02:56.000 --> 00:02:59.000]  讓我把基督那插不透的豐富
[00:02:59.000 --> 00:03:01.000]  傳給外邦人
[00:03:01.000 --> 00:03:03.000]  由此眾人都明白
[00:03:03.000 --> 00:03:05.000]  怎麼是歷代以來
[00:03:05.000 --> 00:03:09.000]  隱藏在創萬物之神女的奧秘
[00:03:09.000 --> 00:03:12.000]  為要在現今藉著教會
[00:03:12.000 --> 00:03:15.000]  使天上執政的掌權
[00:03:15.000 --> 00:03:19.000]  知道神百般的智慧
[00:03:19.000 --> 00:03:22.000]  這是神在我們主耶穌裡
[00:03:22.000 --> 00:03:25.000]  所完成的永恆的計劃
[00:03:25.000 --> 00:03:27.000]  我們因著信耶穌
[00:03:27.000 --> 00:03:30.000]  就在祂裡面放膽無懼
[00:03:30.000 --> 00:03:33.000]  滿有自信地進到神面前
[00:03:33.000 --> 00:03:35.000]  所以我求你們
[00:03:35.000 --> 00:03:39.000]  不要因我為你們所受患難壯膽
[00:03:39.000 --> 00:03:42.000]  這原是你們的光榮
[00:03:42.000 --> 00:03:46.000]  在上一章就是第二章
[00:03:46.000 --> 00:03:50.000]  那下半部的內容就說到
[00:03:50.000 --> 00:03:54.000]  猶太人和外邦人在基督裡面合而為一
[00:03:54.000 --> 00:03:56.000]  成為一個新的人類群體
[00:03:56.000 --> 00:03:58.000]  成為聖靈的殿
[00:03:58.000 --> 00:04:00.000]  成為神的居所
[00:04:00.000 --> 00:04:01.000]  就是教會
[00:04:01.000 --> 00:04:03.000]  在三章一節
[00:04:03.000 --> 00:04:04.000]  剛才讀到一開始
[00:04:04.000 --> 00:04:06.000]  一開始就說因此
[00:04:06.000 --> 00:04:10.000]  因此承接第二章的內容
[00:04:10.000 --> 00:04:16.000]  第三章是一個祈禱
[00:04:16.000 --> 00:04:19.000]  祈禱內容在十四到二十一節
[00:04:19.000 --> 00:04:21.000]  而一到十三節就是
[00:04:21.000 --> 00:04:24.000]  祈禱之前的開場白
[00:04:24.000 --> 00:04:28.000]  而三章一到十三節的經文就是
[00:04:28.000 --> 00:04:33.000]  第一節和第十三節是首尾呼應的
[00:04:33.000 --> 00:04:36.000]  第一節是說到
[00:04:36.000 --> 00:04:39.000]  保羅傳科給外邦人成為囚犯
[00:04:39.000 --> 00:04:41.000]  而第三節和第十三節
[00:04:41.000 --> 00:04:44.000]  再說到保羅自己受的患難
[00:04:44.000 --> 00:04:47.000]  第二到七節其實是一句
[00:04:47.000 --> 00:04:51.000]  希臘文原文的一句過的長句
[00:04:51.000 --> 00:04:58.000]  是論述到福音的奧秘
[00:04:58.000 --> 00:05:01.000]  而八到十二節是另一句的長句
[00:05:01.000 --> 00:05:02.000]  希臘文的長句就是
[00:05:02.000 --> 00:05:07.000]  論述到保羅是怎樣宣講奧秘
[00:05:07.000 --> 00:05:14.000]  保羅為何甘願為福音受屈辱成為囚犯
[00:05:14.000 --> 00:05:17.000]  為何保羅為福音成為奴僕
[00:05:17.000 --> 00:05:21.000]  呃愛奴婦為何而感恩呢
[00:05:21.000 --> 00:05:24.000]  又為何保羅覺得自己在眾聖奴中
[00:05:24.000 --> 00:05:27.000]  是最卑微的重要卑微
[00:05:27.000 --> 00:05:29.000]  因為他領受了榮耀
[00:05:29.000 --> 00:05:33.000]  而奧秘的福音的即是
[00:05:33.000 --> 00:05:36.000]  首先我們要說說今天的經文
[00:05:36.000 --> 00:05:40.000]  保羅在一開始很開心
[00:05:40.000 --> 00:05:45.000]  就用了三個卑微的身份來介紹自己
[00:05:45.000 --> 00:05:48.000]  我不知道大家在職場
[00:05:48.000 --> 00:05:49.000]  介紹自己會怎樣介紹
[00:05:49.000 --> 00:05:52.000]  給卡片人三個title
[00:05:52.000 --> 00:05:55.000]  保羅這三個卑微的身份是甚麼呢
[00:05:55.000 --> 00:06:00.000]  第一他很鄭重宣告我保羅
[00:06:00.000 --> 00:06:02.000]  即是很鄭重宣布
[00:06:02.000 --> 00:06:03.000]  我保羅是甚麼
