
[00:00:00.000 --> 00:00:05.000]  今日講到的經文是提摩太后書四章
[00:00:05.000 --> 00:00:10.000]  提摩太后書是保羅臨終離世前寫的
[00:00:10.000 --> 00:00:14.000]  而第四章更是這封書信裡最後的一章
[00:00:14.000 --> 00:00:18.000]  過了不久 保羅就殉道了
[00:00:18.000 --> 00:00:23.000]  即將會讀出這段經文的一至十八節
[00:00:23.000 --> 00:00:27.000]  但我希望大家嘗試代入
[00:00:27.000 --> 00:00:33.000]  想像你就是提摩太 而我就是保羅
[00:00:33.000 --> 00:00:38.000]  我要在臨終之前跟你講以下的話
[00:00:38.000 --> 00:00:42.000]  大家準備好了嗎?
[00:00:42.000 --> 00:00:52.000]  我在神面前並且在那要將要審判死人活人的基督耶穌面前
[00:00:52.000 --> 00:00:57.000]  憑著他的顯現和國度叮囑你
[00:00:57.000 --> 00:01:05.000]  務要全道 無論時機是否適合都要常作準備
[00:01:05.000 --> 00:01:14.000]  要以多方的忍耐和教訓責備人 警戒人 勸勉人
[00:01:14.000 --> 00:01:18.000]  因為時候快要到了
[00:01:18.000 --> 00:01:24.000]  人必用不下純正的道理 反而以多發揚
[00:01:24.000 --> 00:01:29.000]  隨從自己的私慾增添許多教師
[00:01:29.000 --> 00:01:35.000]  而且轉來不聽真理 反倒趨向無稽之談
[00:01:35.000 --> 00:01:40.000]  你卻要凡事忍耐 忍受磨難
[00:01:40.000 --> 00:01:46.000]  作全福音者的工作 完成你的職務
[00:01:46.000 --> 00:01:49.000]  我已經被囂電
[00:01:49.000 --> 00:01:55.000]  我離世的時候也到了那美好的帳
[00:01:55.000 --> 00:01:59.000]  我已經打過了當跑的路
[00:01:59.000 --> 00:02:03.000]  我已經跑盡了所持的信仰
[00:02:03.000 --> 00:02:05.000]  我已經守住了
[00:02:05.000 --> 00:02:10.000]  從此以後 有公義的冠冕為我存留
[00:02:10.000 --> 00:02:16.000]  就是按公義審判的主 在哪日要賞給我的
[00:02:16.000 --> 00:02:24.000]  不但賞給我 也賞給所有愛慕他顯然的人
[00:02:24.000 --> 00:02:27.000]  你要盡快到我這裡來
[00:02:27.000 --> 00:02:30.000]  因為底瑪貪我現今的世界
[00:02:30.000 --> 00:02:34.000]  就離棄我到貼實羅尼加去了
[00:02:34.000 --> 00:02:40.000]  格勒斯去了加拿大 提多去了達瑪泰
[00:02:40.000 --> 00:02:44.000]  只有路加在我這裡
[00:02:44.000 --> 00:02:47.000]  你走到了馬河 就把他帶來
[00:02:47.000 --> 00:02:51.000]  因為他在聖宮上對我有益
[00:02:51.000 --> 00:02:54.000]  我差派了推基古到伊弗所去
[00:02:54.000 --> 00:02:58.000]  我在特羅亞留在加布那裡的外衣
[00:02:58.000 --> 00:03:01.000]  你來的時候要把他帶來
[00:03:01.000 --> 00:03:08.000]  還有那些書卷 特別是那些羊皮卷 也要帶來
[00:03:08.000 --> 00:03:14.000]  銅像亞歷山大 作了許多惡事陷害我
[00:03:14.000 --> 00:03:17.000]  只必按著他所行的報應他
[00:03:17.000 --> 00:03:23.000]  你也要提防他 因為他極力抵擋我們的話
[00:03:23.000 --> 00:03:26.000]  我第一次申辯的時候
[00:03:26.000 --> 00:03:32.000]  沒有一個人支持我 反而離棄我
[00:03:32.000 --> 00:03:36.000]  但願這罪不要歸在他們身上
[00:03:36.000 --> 00:03:41.000]  然而 主站在我旁邊 加給我力量
[00:03:41.000 --> 00:03:45.000]  使福音的訊息 直著我盡都傳開
[00:03:45.000 --> 00:03:48.000]  萬國的人都可以聽見
[00:03:48.000 --> 00:03:52.000]  他並且把我從獅子口中救出來
[00:03:52.000 --> 00:03:55.000]  主必救我脫離一切邪惡的事
[00:03:55.000 --> 00:03:58.000]  也必救我進入他天上的國
[00:03:58.000 --> 00:04:03.000]  願榮耀歸給他 直到永遠
[00:04:03.000 --> 00:04:05.000]  阿門
[00:04:05.000 --> 00:04:07.000]  聖經讀筆
[00:04:07.000 --> 00:04:12.000]  不知道大家聽了之後有什麼感覺
[00:04:12.000 --> 00:04:17.000]  哪句話是最深刻的呢?
[00:04:17.000 --> 00:04:22.000]  我們一起祈禱吧
[00:04:22.000 --> 00:04:28.000]  神啊 人之將死 其言也是
[00:04:28.000 --> 00:04:31.000]  保羅在臨終之前所說的話
[00:04:31.000 --> 00:04:33.000]  一定是很重要
