
[00:00:00.000 --> 00:00:03.000]  各位周六晚堂的鼎姐妹晚安
[00:00:03.000 --> 00:00:07.680]  踏入四月
[00:00:07.680 --> 00:00:11.520]  教會的統一主題系列
[00:00:11.520 --> 00:00:13.640]  開設了新的書卷
[00:00:13.640 --> 00:00:18.120]  過去我相信大家還記得我們在說甚麼書
[00:00:18.120 --> 00:00:22.520]  過去是在說《已不所書》
[00:00:22.520 --> 00:00:26.120]  現在新的一個系列是在說《雅各書》
[00:00:26.280 --> 00:00:32.280]  所以今天這兩天都是《雅各書》的訊息分享
[00:00:32.280 --> 00:00:40.520]  《雅各書》其實是一卷行動的書卷
[00:00:40.520 --> 00:00:44.160]  重點是甚麼呢?就是「淺信於行」
[00:00:44.160 --> 00:00:50.600]  所以不是停留在一個信仰的探討或分析
[00:00:50.600 --> 00:00:55.320]  而是在於信仰的實踐和行動
[00:00:55.840 --> 00:00:57.840]  細微到甚麼呢?
[00:00:57.840 --> 00:01:01.680]  就是我們怎樣說話、舌頭的管理
[00:01:01.680 --> 00:01:04.400]  日常的生活計劃
[00:01:04.400 --> 00:01:08.360]  以及人生的高低起跌等等
[00:01:08.360 --> 00:01:12.280]  對於跟隨主的門徒
[00:01:12.280 --> 00:01:18.320]  這卷書可以說是真實敬虔生命的一個指標
[00:01:18.320 --> 00:01:22.680]  特別是在《雅各書》第一章26至27節
[00:01:22.680 --> 00:01:25.400]  我就不讀了,你可以回去看看
[00:01:25.600 --> 00:01:31.160]  那裡更加可以說是門徒生活行動的一個綱領
[00:01:31.160 --> 00:01:34.120]  裡面的重點包括甚麼呢?
[00:01:34.120 --> 00:01:36.240]  就是自我的約束
[00:01:36.240 --> 00:01:39.360]  從怎樣管理自己的說話舌頭
[00:01:39.360 --> 00:01:41.880]  看到你怎樣管理自己的生命
[00:01:41.880 --> 00:01:46.200]  然後就是看顧患難中的孤兒寡婦
[00:01:46.200 --> 00:01:48.480]  還有就是保守自己
[00:01:48.480 --> 00:01:51.440]  不去沾染世俗的污穢
[00:01:51.440 --> 00:01:54.400]  整個《雅各書》
[00:01:54.560 --> 00:02:00.360]  作者從七方面讓我們思想不同的課題
[00:02:00.360 --> 00:02:01.960]  包括甚麼呢?
[00:02:01.960 --> 00:02:04.160]  就是試煉和試探
[00:02:04.160 --> 00:02:05.600]  在第一章
[00:02:05.600 --> 00:02:08.560]  然後也是聽道和行道
[00:02:08.560 --> 00:02:12.040]  還有就是虔誠和待人
[00:02:12.040 --> 00:02:14.840]  第四就是信心和行為
[00:02:14.840 --> 00:02:17.800]  第五就是言語和智慧
[00:02:17.800 --> 00:02:20.800]  第六是世俗和財富
[00:02:21.000 --> 00:02:24.760]  最後第七就是信心和禱告
[00:02:24.760 --> 00:02:29.840]  七個不同的層面
[00:02:29.840 --> 00:02:36.320]  盼望我們都能夠接住在接下來一系列的《雅各書》裡面
[00:02:36.320 --> 00:02:38.600]  我們能夠在當中反思
[00:02:38.600 --> 00:02:40.160]  或者裡面學習
[00:02:40.160 --> 00:02:41.920]  究竟作為一個信徒
