
[00:00:00.000 --> 00:00:06.000]  好,謝謝Dance Team和勁快隊帶領我們去勁快住
[00:00:06.000 --> 00:00:08.000]  以及去經歷住的愛
[00:00:08.000 --> 00:00:10.000]  可以給點掌聲給勁快隊、AV Team
[00:00:10.000 --> 00:00:16.000]  還有我猜今天也有很多詩詩、台前幕後的頂椎會幫忙
[00:00:16.000 --> 00:00:22.000]  今天報道會的主題是"哪裏自得愛共你"
[00:00:22.000 --> 00:00:24.000]  剛才阿君有說
[00:00:24.000 --> 00:00:25.000]  又不用聽到大
[00:00:25.000 --> 00:00:33.000]  不知道大家有沒有聽過本身有一首歌是D.Jane唱的"哪裏自得愛我共你"
[00:00:33.000 --> 00:00:38.000]  的確我想這次報道會主題的時候
[00:00:38.000 --> 00:00:42.000]  我也是無意中聽到這首歌的時候
[00:00:42.000 --> 00:00:45.000]  我就想不如用這首歌來做主題
[00:00:45.000 --> 00:00:50.000]  當然這首歌本身歌詞是講男女關係的
[00:00:50.000 --> 00:00:53.000]  但是我猜對於我們來說
[00:00:53.000 --> 00:01:01.000]  原來這首歌詞也有反映著我們人在生命中的一些渴求
[00:01:01.000 --> 00:01:03.000]  我不會唱出來的
[00:01:03.000 --> 00:01:06.000]  保護大家的耳朵
[00:01:06.000 --> 00:01:08.000]  不過當我看這首歌詞的時候
[00:01:08.000 --> 00:01:09.000]  我覺得挺特別的
[00:01:09.000 --> 00:01:11.000]  歌詞也有說
[00:01:11.000 --> 00:01:14.000]  我要將你拯救逃離人類荒謬
[00:01:14.000 --> 00:01:16.000]  用我的雙手帶著你走
[00:01:16.000 --> 00:01:18.000]  不掙扎指緊球
[00:01:18.000 --> 00:01:19.000]  從未低頭
[00:01:19.000 --> 00:01:23.000]  和經過幾百萬傷口站在我的身後
[00:01:23.000 --> 00:01:25.000]  要確保你無愁無憂
[00:01:25.000 --> 00:01:26.000]  話不聽閒言
[00:01:26.000 --> 00:01:29.000]  若你好就已經很足夠
[00:01:29.000 --> 00:01:31.000]  好像演唱了一樣
[00:01:31.000 --> 00:01:39.000]  不過我覺得其實大家覺得在一個很荒謬的環境裡面
[00:01:39.000 --> 00:01:44.000]  我猜我們身邊有很多不同的東西會令我們很迷惘
[00:01:44.000 --> 00:01:47.000]  有很多東西會令我們覺得很失望
[00:01:47.000 --> 00:01:49.000]  我想在這個氛圍裡面
[00:01:49.000 --> 00:01:54.000]  我們每個人都渴望在困難、困境裡面找出路
[00:01:54.000 --> 00:01:57.000]  甚至我們很想找到愛
[00:01:57.000 --> 00:02:01.000]  很想有身邊的人陪自己在這個環境裡面去走
[00:02:01.000 --> 00:02:05.000]  我們渴望的是被重視
[00:02:05.000 --> 00:02:07.000]  我們渴望的是原來有困境
[00:02:07.000 --> 00:02:09.000]  有身邊的人跟我走的時候
[00:02:09.000 --> 00:02:11.000]  我就不再孤單
[00:02:11.000 --> 00:02:13.000]  我就不再空虛
[00:02:13.000 --> 00:02:16.000]  不過在這個尋尋覓覓的過程裡面
[00:02:16.000 --> 00:02:19.000]  原來我們有時人都會很迷失
