
[00:00:00.000 --> 00:00:03.080]  各位弟兄姊妹或者新朋友晚安
[00:00:03.080 --> 00:00:05.880]  在先後敬拜詩歌裏面
[00:00:05.880 --> 00:00:07.880]  最後那首詩歌
[00:00:07.880 --> 00:00:09.880]  我心裏面有一個回應
[00:00:09.880 --> 00:00:13.640]  就是神求你給我塑造聖情
[00:00:13.640 --> 00:00:16.880]  那一刻我覺得自己的聖情
[00:00:16.880 --> 00:00:18.680]  真的很需要被神塑造
[00:00:18.680 --> 00:00:21.280]  我相信我們每次聚集在一起
[00:00:21.280 --> 00:00:22.800]  奉主的名聚集的時候
[00:00:22.800 --> 00:00:24.600]  用詩歌去敬拜的時候
[00:00:24.600 --> 00:00:27.080]  我們就可以與主相遇
[00:00:27.080 --> 00:00:28.400]  與主親近
[00:00:28.400 --> 00:00:30.200]  願意你在敬拜裏面
[00:00:30.200 --> 00:00:34.120]  神親自與你同在
[00:00:34.120 --> 00:00:36.400]  去帶領你 去啟發你
[00:00:36.400 --> 00:00:39.320]  今天我們來到正道這個部分
[00:00:39.320 --> 00:00:41.160]  今天要講的題目是
[00:00:41.160 --> 00:00:43.160]  《最終的升旗》
[00:00:43.160 --> 00:00:46.160]  經文是七字
[00:00:46.160 --> 00:00:47.360]  《舊約聖經》
[00:00:47.360 --> 00:00:48.480]  《士詩記》
[00:00:48.480 --> 00:00:50.800]  七章二十三節
[00:00:50.800 --> 00:00:53.400]  至到八章三十五節
[00:00:55.880 --> 00:01:00.160]  今天這段經文所講的一個主要人物
[00:01:00.160 --> 00:01:02.160]  是詩姬甸
[00:01:02.160 --> 00:01:07.520]  姬甸的時期
[00:01:07.520 --> 00:01:10.960]  在以色列帶領以色列人的時期
[00:01:10.960 --> 00:01:14.920]  在公元前一千一百九十二年
[00:01:14.920 --> 00:01:17.200]  至到一千一百五十二年
[00:01:17.200 --> 00:01:19.200]  這四十年裏面
[00:01:19.200 --> 00:01:22.360]  主要是由姬甸帶領以色列人
[00:01:22.360 --> 00:01:28.120]  另外一個書卷也是同一時期出現的
[00:01:28.120 --> 00:01:29.880]  就是《路德記》
[00:01:29.880 --> 00:01:31.880]  如果相對我們世界歷史
[00:01:31.880 --> 00:01:34.880]  就是等於我們的鐵器時代
[00:01:34.880 --> 00:01:38.320]  公元前一千二百年至一千一百五十年
[00:01:38.320 --> 00:01:40.800]  如果相等於我們中國歷史的時期
[00:01:40.800 --> 00:01:44.320]  就是夏商周商朝的末代
[00:01:44.320 --> 00:01:48.440]  所以在這個以色列
[00:01:48.440 --> 00:01:50.440]  這個民族裏面
[00:01:50.440 --> 00:01:52.760]  他們在姬甸的帶領之下
[00:01:52.760 --> 00:01:54.760]  經歷了些甚麼呢
[00:01:54.760 --> 00:01:58.560]  在當時來講打仗的時候
[00:01:58.560 --> 00:02:03.040]  人多還是人少會比較有利呢
[00:02:03.040 --> 00:02:10.360]  如果人多可以用人海戰術
[00:02:10.360 --> 00:02:14.560]  人少方便調動進行突襲
[00:02:14.560 --> 00:02:16.560]  或者發動游擊戰
[00:02:17.560 --> 00:02:20.960]  但在史詩記的記載裏面
[00:02:20.960 --> 00:02:25.560]  姬甸是靠著上帝耶和華的能力
[00:02:25.560 --> 00:02:30.040]  他原本召集了兩萬多兵力
[00:02:30.040 --> 00:02:36.080]  準備和以色列平原安營的米甸聯軍作戰
[00:02:36.080 --> 00:02:39.760]  但上帝說人太多了
[00:02:39.760 --> 00:02:41.760]  要減少人數
[00:02:41.760 --> 00:02:44.640]  免得以色列人自誇說
[00:02:44.640 --> 00:02:48.760]  我們用自己的力量
[00:02:48.760 --> 00:02:50.760]  用自己的手去救自己
[00:02:50.760 --> 00:02:53.760]  所以最後參戰的人
[00:02:53.760 --> 00:02:55.760]  你猜剩下多少呢
[00:02:55.760 --> 00:02:57.760]  由兩萬減到多少呢
[00:02:57.760 --> 00:03:01.760]  我聽到三百人
[00:03:01.760 --> 00:03:06.760]  充滿信心的姬甸和三百人
[00:03:06.760 --> 00:03:10.760]  用甚麼戰略去打敗敵軍呢
[00:03:10.760 --> 00:03:13.560]  敵軍是有幾個王聯合在一起的
[00:03:13.560 --> 00:03:17.560]  米甸人 他們的軍力很大
[00:03:17.560 --> 00:03:19.560]  一會兒有一個經文去形容
[00:03:19.560 --> 00:03:23.560]  他們的人數非常之多
[00:03:23.560 --> 00:03:28.560]  而姬甸用了一個製造混亂的戰術
[00:03:28.560 --> 00:03:34.560]  令到敵人亂了大龍亂了陣腳
[00:03:34.560 --> 00:03:39.560]  首先我想邀請大家讀第一個部分
[00:03:39.560 --> 00:03:43.560]  在《史詩記》七章二十三至二十五節
[00:03:43.560 --> 00:03:45.560]  我們一起讀出吧
[00:03:45.560 --> 00:03:50.560]  從那佛塔利亞前往馬來西亞
[00:03:50.560 --> 00:03:53.560]  傳遞來的以色列人被召來
[00:03:53.560 --> 00:03:56.560]  追趕米甸人
[00:03:56.560 --> 00:04:00.560]  姬甸也派人走遍伊法連山區
[00:04:00.560 --> 00:04:04.560]  說你們下來迎擊米甸人
[00:04:04.560 --> 00:04:06.560]  在他們的前面
[00:04:06.560 --> 00:04:11.560]  沿著約旦河把守渡口直到白巴拉
[00:04:11.560 --> 00:04:14.560]  於是伊法連眾人聚集
[00:04:14.560 --> 00:04:20.560]  沿著約旦河把守渡口直到白巴拉
[00:04:20.560 --> 00:04:24.560]  他們抓住了米甸的兩個領袖
[00:04:24.560 --> 00:04:26.560]  俄勒和西伊伯
[00:04:26.560 --> 00:04:31.560]  他們在俄勒盤石上殺了俄勒
[00:04:31.560 --> 00:04:35.560]  在西伊伯走前那裡殺了西伊伯
[00:04:35.560 --> 00:04:38.560]  他們追趕米甸人
[00:04:38.560 --> 00:04:44.560]  把俄勒和西伊伯的首級帶到約旦河對岸
[00:04:44.560 --> 00:04:47.560]  到姬甸那裡
[00:04:47.560 --> 00:04:48.560]  謝謝
[00:04:48.560 --> 00:04:50.560]  在這裡我們看到
[00:04:50.560 --> 00:04:53.560]  各個支派都響應
[00:04:53.560 --> 00:04:57.560]  以色列當時有十二個支派分地
[00:04:57.560 --> 00:05:01.560]  他們都出來聚集在一起
