
[00:00:00.000 --> 00:00:06.520]  標稱港島其實我們有些粵體
[00:00:06.520 --> 00:00:08.960]  大家知不知道 或者覺不覺
[00:00:08.960 --> 00:00:11.880]  我知道了 你們的回應告訴我
[00:00:11.880 --> 00:00:13.480]  你們不覺
[00:00:13.480 --> 00:00:15.240]  其實我們有些粵體
[00:00:15.240 --> 00:00:18.440]  來到六月 我們港島的粵體
[00:00:18.440 --> 00:00:21.760]  叫做由全福音到同合木樣
[00:00:21.760 --> 00:00:23.880]  即是關於團契生活方面
[00:00:23.880 --> 00:00:26.840]  我們都說很想去全福音
[00:00:26.840 --> 00:00:28.720]  很想接觸多點美上的人
[00:00:28.720 --> 00:00:30.720]  但帶了信主之後
[00:00:30.720 --> 00:00:32.840]  就回到團契生活
[00:00:32.840 --> 00:00:34.440]  團契生活裏面
[00:00:34.440 --> 00:00:37.160]  我們大家如何相處彼此之間
[00:00:37.160 --> 00:00:40.840]  這是我們很重要要學習的功課
[00:00:40.840 --> 00:00:43.640]  我想跟大家分享一個故事
[00:00:43.640 --> 00:00:46.160]  可能大家聽過這個故事
[00:00:46.160 --> 00:00:47.680]  不過不要緊
[00:00:47.680 --> 00:00:50.120]  大家都不介意我再說一次給你們聽
[00:00:50.120 --> 00:00:52.800]  你們的回應都告訴我你不介意
[00:00:52.800 --> 00:00:57.040]  這個故事是一個猶太人的故事
[00:00:57.040 --> 00:00:59.280]  關於天堂和地獄的分別
[00:00:59.280 --> 00:01:03.160]  有一天 有個天使帶一位猶太拉比
[00:01:03.160 --> 00:01:04.920]  去參觀天堂和地獄
[00:01:04.920 --> 00:01:08.360]  天使首先帶拉比去參觀地獄
[00:01:08.360 --> 00:01:11.080]  那裏有很多人 圍著一張桌子
[00:01:11.080 --> 00:01:12.840]  桌子上有食物
[00:01:12.840 --> 00:01:16.000]  每個人手上有一支叉或羹
[00:01:16.000 --> 00:01:17.320]  去舀食物
[00:01:17.320 --> 00:01:19.040]  不過叉和羹很長
[00:01:19.040 --> 00:01:21.240]  但在那裏的情況
[00:01:21.240 --> 00:01:23.200]  這班人很自私
[00:01:23.200 --> 00:01:24.680]  不肯舀食物給人
[00:01:24.680 --> 00:01:25.960]  只想舀給自己吃
[00:01:25.960 --> 00:01:27.720]  但又吃不到
[00:01:27.720 --> 00:01:29.640]  場面非常混亂
[00:01:29.640 --> 00:01:34.280]  之後天使帶拉比去參觀天堂
[00:01:34.280 --> 00:01:38.520]  發覺天堂的設定和地獄是一樣的
[00:01:38.520 --> 00:01:41.240]  但每個人都很開心
[00:01:41.240 --> 00:01:41.960]  為什麼呢
[00:01:41.960 --> 00:01:44.920]  因為那裏的人用叉或羹
[00:01:44.920 --> 00:01:47.000]  不斷餵食物
[00:01:47.000 --> 00:01:48.480]  所以每個人都吃得很開心
[00:01:48.480 --> 00:01:50.480]  每個人都吃得很胖
[00:01:50.480 --> 00:01:52.840]  可能你都聽過這個故事
[00:01:52.840 --> 00:01:55.560]  我覺得這個故事其實都很真實
