
[00:00:00.000 --> 00:00:04.000]  再次給予掌聲天上的神及各位長輩
[00:00:04.000 --> 00:00:08.000]  在他們當中帶給我們新的新年
[00:00:08.000 --> 00:00:10.000]  也很感恩在年初四
[00:00:10.000 --> 00:00:12.000]  看到大家回到我們當中
[00:00:12.000 --> 00:00:14.000]  一起敬拜神
[00:00:14.000 --> 00:00:16.000]  首先來到神的殿裏
[00:00:16.000 --> 00:00:18.000]  在神的寶座面前聚會
[00:00:18.000 --> 00:00:21.000]  我自己剛好年初一至年初三
[00:00:21.000 --> 00:00:23.000]  和兒子去了廣州
[00:00:23.000 --> 00:00:25.000]  這次不在深圳
[00:00:25.000 --> 00:00:27.000]  因為我廣州的親戚比較多
[00:00:27.000 --> 00:00:30.000]  我很想作一些見證
[00:00:30.000 --> 00:00:32.000]  剛才詩歌說敢於為上帝作見證
[00:00:32.000 --> 00:00:34.000]  很期望見到他們
[00:00:34.000 --> 00:00:36.000]  分享一些上帝的恩典
[00:00:36.000 --> 00:00:38.000]  見到他們的生活有改善
[00:00:38.000 --> 00:00:40.000]  真的很感恩
[00:00:40.000 --> 00:00:42.000]  但在家庭生活
[00:00:42.000 --> 00:00:44.000]  在屬靈生命上也有很多缺乏
[00:00:44.000 --> 00:00:47.000]  能夠見到他們也是很開心的事情
[00:00:47.000 --> 00:00:49.000]  所以今天帶來這篇經文
[00:00:49.000 --> 00:00:55.000]  想和大家分享生命和心靈的付足的秘訣
[00:00:55.000 --> 00:00:57.000]  在開始之前
[00:00:57.000 --> 00:01:00.000]  我也想用約翰三書的一段經文
[00:01:00.000 --> 00:01:02.000]  和大家拜個年
[00:01:02.000 --> 00:01:04.000]  約翰三書的第二節
[00:01:04.000 --> 00:01:07.000]  親愛的,我願你事事安寧
[00:01:07.000 --> 00:01:09.000]  身體健康
[00:01:09.000 --> 00:01:12.000]  正如你的心神安寧一樣
[00:01:12.000 --> 00:01:15.000]  我覺得這個和修本翻譯得很好
[00:01:15.000 --> 00:01:17.000]  他說:我願你事事安寧
[00:01:17.000 --> 00:01:20.000]  所有事情在正道、在直道上
[00:01:20.000 --> 00:01:22.000]  身體同時也記掛
[00:01:22.000 --> 00:01:24.000]  期望我們恩福人健康
[00:01:24.000 --> 00:01:27.000]  也期望我們的心神安寧
