
[00:00:00.000 --> 00:00:03.140]  開始之先我們低頭祈禱
[00:00:03.140 --> 00:00:06.520]  慈悲仁愛的天父來到您的面前
[00:00:06.520 --> 00:00:09.040]  我們每一個人都一無可誇
[00:00:09.040 --> 00:00:12.740]  求的是主您今天的臨在
[00:00:12.740 --> 00:00:14.660]  先高沒孩子
[00:00:14.660 --> 00:00:16.880]  在聖經裏面的領受
[00:00:16.880 --> 00:00:20.080]  又求您使用孩子的口
[00:00:20.080 --> 00:00:22.860]  能夠暢順
[00:00:22.860 --> 00:00:24.860]  能夠去講出
[00:00:24.860 --> 00:00:27.620]  上帝您自己的恩言
[00:00:28.080 --> 00:00:32.400]  又願您跟您與眾弟兄姊妹同在
[00:00:32.400 --> 00:00:34.860]  都讓他們能夠是
[00:00:34.860 --> 00:00:37.840]  因著心靈裏面的需要的時候
[00:00:37.840 --> 00:00:41.380]  他們懂得怎樣聽完您的說話
[00:00:41.380 --> 00:00:42.980]  能夠內化
[00:00:42.980 --> 00:00:47.320]  成為他們一個自我醒覺的
[00:00:47.320 --> 00:00:49.680]  一個空間
[00:00:49.680 --> 00:00:52.680]  甚至是上帝給他們的機會
[00:00:52.680 --> 00:00:55.120]  求您與我們眾人同在
[00:00:55.120 --> 00:00:57.640]  多謝主您聽我們的祈禱
[00:00:57.640 --> 00:00:59.640]  奉耶穌基督的名字
[00:00:59.640 --> 00:01:01.640]  阿們
[00:01:01.640 --> 00:01:04.480]  在我預備這篇道的時候
[00:01:04.480 --> 00:01:07.680]  在網上我找到這幅圖畫
[00:01:07.680 --> 00:01:10.960]  我邀請大家先去看一下
[00:01:10.960 --> 00:01:12.960]  你有什麼感覺
[00:01:12.960 --> 00:01:14.960]  我在個人成長裏面
[00:01:14.960 --> 00:01:18.160]  我都跟很多弟兄一起去看這幅圖片
[00:01:18.160 --> 00:01:21.600]  有很多人覺得很無奈
[00:01:21.600 --> 00:01:23.880]  有很多人覺得
[00:01:23.880 --> 00:01:25.880]  我人生去到哪裏
[00:01:25.880 --> 00:01:27.880]  亦都有人說到
[00:01:27.880 --> 00:01:29.880]  他剛剛在家裏
[00:01:29.880 --> 00:01:31.880]  有家人的離開
[00:01:31.880 --> 00:01:33.880]  他看見一些不舒服
[00:01:33.880 --> 00:01:37.880]  我不知道你是去到人生哪個階段
[00:01:37.880 --> 00:01:40.880]  但是我們看見這幅圖畫
[00:01:40.880 --> 00:01:42.880]  究竟人的一生
[00:01:42.880 --> 00:01:44.880]  給你一個正面的看法
[00:01:44.880 --> 00:01:46.880]  還是負面的看法呢
[00:01:46.880 --> 00:01:49.880]  這幅圖畫在我自己
[00:01:49.880 --> 00:01:51.880]  仍然是工作的時候
[00:01:51.880 --> 00:01:53.880]  即是未夢照之前
[00:01:53.880 --> 00:01:55.880]  若莫現在來說
[00:01:55.880 --> 00:01:57.880]  十八年前
[00:01:57.880 --> 00:01:59.880]  經常有一首不是詩歌
[00:01:59.880 --> 00:02:01.880]  是時代曲
[00:02:01.880 --> 00:02:03.880]  環繞在我心靈裏面
[00:02:03.880 --> 00:02:05.880]  那首詩歌
