
[00:00:00.000 --> 00:00:06.000]  今天讓我們一起去測驗上帝在我們生命的作為
[00:00:06.000 --> 00:00:09.000]  又讓我們一起去中讀今天講到第一點
[00:00:09.000 --> 00:00:12.000]  神是全知,求主鑒察
[00:00:12.000 --> 00:00:14.000]  讓我們一起讀詩篇139篇
[00:00:14.000 --> 00:00:16.000]  1-6節準備,1,2,3
[00:00:16.000 --> 00:00:21.000]  耶和華,你已經鑒察我,認識我
[00:00:21.000 --> 00:00:25.000]  我坐下,我起來,你都曉得
[00:00:25.000 --> 00:00:28.000]  你從遠處知道我的意念
[00:00:28.000 --> 00:00:32.000]  我行路,我躺臥,你都細察
[00:00:32.000 --> 00:00:36.000]  你也心知我一切所行的
[00:00:36.000 --> 00:00:39.000]  耶和華,我舌頭上的話
[00:00:39.000 --> 00:00:41.000]  你沒有一句不知道的
[00:00:41.000 --> 00:00:46.000]  你前後環繞我,按手在我身上
[00:00:46.000 --> 00:00:51.000]  這樣的知識奇妙,是我不能察的
[00:00:51.000 --> 00:00:54.000]  至高,是我不能及的
[00:00:54.000 --> 00:00:59.000]  詩篇139篇在不同的聖經學者有不同的分類
[00:00:59.000 --> 00:01:01.000]  有學者認為是讚美詩
[00:01:01.000 --> 00:01:03.000]  有些說是感恩詩,有些說是祈禱詩
[00:01:03.000 --> 00:01:05.000]  甚至有些說是自慰詩
[00:01:05.000 --> 00:01:10.000]  可想而知,詩篇139篇是一篇很豐富的詩篇
[00:01:10.000 --> 00:01:12.000]  從中你可以洞悉到神的屬性
[00:01:12.000 --> 00:01:17.000]  神是無所不知,無所不在,無所不能
[00:01:17.000 --> 00:01:19.000]  以及祂是全然,成結
[00:01:19.000 --> 00:01:23.000]  就讓我們今天先看一下詩篇的作者戴維
[00:01:23.000 --> 00:01:26.000]  對神的第一段禱告
[00:01:26.000 --> 00:01:29.000]  戴維在一開始的祈禱裡就這樣說
[00:01:29.000 --> 00:01:34.000]  耶和華,你已經監察我,認識我
[00:01:34.000 --> 00:01:40.000]  監察原文可以說是測驗、探索、查考
[00:01:40.000 --> 00:01:43.000]  就像一個被告在法庭上
[00:01:43.000 --> 00:01:45.000]  他要求法官審視他
[00:01:45.000 --> 00:01:48.000]  你查我吧,因為我是無罪的
[00:01:48.000 --> 00:01:51.000]  就像昔日約伯一樣,他在苦難當中
[00:01:51.000 --> 00:01:54.000]  其實他也在呼求神,為我申冤
[00:01:54.000 --> 00:01:57.000]  神是公義和全知的神
[00:01:57.000 --> 00:02:00.000]  祂看透人心中一切的詭詐
