
[00:00:00.000 --> 00:00:01.680]  今日的題目是
[00:00:01.680 --> 00:00:05.560]  「不在國人行自己眼中看為正的事」
[00:00:05.560 --> 00:00:09.120]  首先我們會先讀第十二章的第一節
[00:00:09.120 --> 00:00:10.920]  到第八節
[00:00:10.920 --> 00:00:11.880]  很簡單
[00:00:11.880 --> 00:00:13.400]  我們請姐妹
[00:00:13.400 --> 00:00:15.560]  我覺得姐妹讀經比較好
[00:00:15.560 --> 00:00:16.640]  比較響亮
[00:00:16.640 --> 00:00:17.760]  弟兄比較敷衍
[00:00:17.760 --> 00:00:18.880]  姐妹先讀
[00:00:18.880 --> 00:00:20.240]  大徒讀得好一點
[00:00:20.240 --> 00:00:23.080]  由第十二章的第一到第四節
[00:00:23.080 --> 00:00:23.640]  好不好?
[00:00:23.640 --> 00:00:24.360]  弟兄
[00:00:24.360 --> 00:00:26.440]  然後由第五節到第八節
[00:00:26.440 --> 00:00:28.600]  我們一起讀一讀這段經文
[00:00:28.600 --> 00:00:30.080]  預備,一二三
[00:00:30.440 --> 00:00:33.320]  你們存活於世的日子
[00:00:33.320 --> 00:00:35.960]  在夜和華你們滅祖的神
[00:00:35.960 --> 00:00:38.680]  所賜你們遺孽的地上
[00:00:38.680 --> 00:00:41.160]  要謹守遵行的律例
[00:00:41.160 --> 00:00:43.560]  便將乃是這樣
[00:00:43.560 --> 00:00:46.520]  你們要將我講出的國民
[00:00:46.520 --> 00:00:48.640]  是共黨的國地方
[00:00:48.640 --> 00:00:51.760]  無論在高山在小山
[00:00:51.760 --> 00:00:55.280]  在各精粹樹下都為懷了
[00:00:55.280 --> 00:00:58.080]  也要拆毀他們的祭壇
[00:00:58.080 --> 00:01:00.320]  打碎他們的柱像
[00:01:00.320 --> 00:01:03.240]  用火焚燒他們的木偶
[00:01:03.240 --> 00:01:06.240]  砍下他們的牆壁
[00:01:06.240 --> 00:01:09.640]  並將其名和那裡就取去
[00:01:09.640 --> 00:01:12.080]  你們不可照他們那樣
[00:01:12.080 --> 00:01:14.560]  侍奉夜和華你們的神
[00:01:14.560 --> 00:01:16.520]  好,第五到第八節
[00:01:16.520 --> 00:01:17.920]  預備起
[00:01:17.920 --> 00:01:20.120]  但夜和華你們的神
[00:01:20.120 --> 00:01:22.320]  從你們各支派中
[00:01:22.320 --> 00:01:26.120]  選擇何處遺納他們的居所
[00:01:26.120 --> 00:01:29.400]  你們就當往那裡去求民
[00:01:29.400 --> 00:01:31.440]  將你們的凡際
[00:01:31.440 --> 00:01:34.560]  平安際十分取一之物
[00:01:34.560 --> 00:01:36.720]  和守中的舉際
