
[00:00:00.000 --> 00:00:02.000]  很高興今天我們是猜拳主人
[00:00:02.000 --> 00:00:05.500]  我們請到OMF的宣教士蘇桓慈
[00:00:05.500 --> 00:00:09.500]  宣教士Wincy梓蕙在我們當中去政鬥的
[00:00:09.500 --> 00:00:11.500]  我們就將時間交給她
[00:00:11.500 --> 00:00:14.500]  她的工作在泰國曼谷有11年的時間
[00:00:14.500 --> 00:00:16.500]  我們恭請Wincy宣教士
[00:00:16.500 --> 00:00:24.000]  各位弟兄姊妹平安
[00:00:26.500 --> 00:00:30.500]  很高興今天能夠來到大家當中去分享
[00:00:30.500 --> 00:00:32.500]  當大家看到這個講題的時候
[00:00:32.500 --> 00:00:34.500]  動起來的時候
[00:00:34.500 --> 00:00:36.500]  你會想到些什麼呢
[00:00:36.500 --> 00:00:39.500]  過去三年的疫情
[00:00:39.500 --> 00:00:41.500]  香港人不能夠自由進出
[00:00:41.500 --> 00:00:44.500]  甚至乎有些平日我們看來
[00:00:44.500 --> 00:00:47.500]  可以很如常去做正常的事的時候
[00:00:47.500 --> 00:00:49.500]  發覺都變得不正常
[00:00:49.500 --> 00:00:51.500]  就好像回教會都受到限制
[00:00:51.500 --> 00:00:55.500]  大家還記不記得這三年怎樣過呢
[00:00:55.500 --> 00:00:57.500]  今天大家覺得是不是正常了
[00:00:57.500 --> 00:01:00.500]  如果有機會的話你怎樣動起來呢
[00:01:00.500 --> 00:01:05.500]  過去三年因為不同的原因隔離了七次
[00:01:05.500 --> 00:01:08.500]  隔離的總日數其實有100天
[00:01:08.500 --> 00:01:10.500]  不同的形式都試過
[00:01:10.500 --> 00:01:12.500]  核酸測試都試過
[00:01:12.500 --> 00:01:14.500]  給錢的不給錢的都試過
[00:01:14.500 --> 00:01:18.500]  第一次在香港隔離21天的酒店
[00:01:18.500 --> 00:01:22.500]  在三部裡面可以完成我所有東西的時候
[00:01:22.500 --> 00:01:24.500]  就發覺原來香港真的很小
[00:01:24.500 --> 00:01:27.500]  身體被困住的時候
[00:01:27.500 --> 00:01:29.500]  要活動起來都不容易
[00:01:29.500 --> 00:01:31.500]  但對某些人來說
[00:01:31.500 --> 00:01:35.500]  心靈被困住的時候更加難耐
[00:01:35.500 --> 00:01:37.500]  我們先同心吐告
[00:01:37.500 --> 00:01:44.500]  全能的父 創造天地的主
[00:01:44.500 --> 00:01:47.500]  求聖靈幫助 我們明白你的心意
[00:01:47.500 --> 00:01:50.500]  你都能夠明白過往我們所經歷的
[00:01:50.500 --> 00:01:53.500]  是要我們學習什麼 和要知道什麼
[00:01:53.500 --> 00:01:56.500]  你都現在求你幫助我們明白你的話語
[00:01:56.500 --> 00:01:59.500]  能夠每天活出你給我們的照明
[00:01:59.500 --> 00:02:02.500]  吐告奉主耶穌 基督聖名祈禱 阿們
[00:02:02.500 --> 00:02:06.500]  今天的經文我們可以看看下一章的經文
[00:02:06.500 --> 00:02:11.500]  就是在馬太福音第九章35到38節
[00:02:11.500 --> 00:02:13.500]  我們一起去讀出這段經文
[00:02:13.500 --> 00:02:16.500]  耶穌走遍各城各鄉
[00:02:16.500 --> 00:02:19.500]  在他們的會堂裡教導人
[00:02:19.500 --> 00:02:21.500]  宣講天國的福音
[00:02:21.500 --> 00:02:23.500]  又醫治各樣的病症
[00:02:23.500 --> 00:02:27.500]  他看見一大群人就憐憫他們
[00:02:27.500 --> 00:02:29.500]  因為他們困苦無助
[00:02:29.500 --> 00:02:32.500]  如同羊沒有牧人一樣
[00:02:32.500 --> 00:02:34.500]  於是他對門徒說
[00:02:34.500 --> 00:02:38.500]  要收的莊稼多 做工的人少
[00:02:38.500 --> 00:02:41.500]  所以你們要求莊稼的主
[00:02:41.500 --> 00:02:45.500]  差遣做工的人出去收他的莊稼
[00:02:45.500 --> 00:02:48.500]  這段經文一開始就說到
[00:02:48.500 --> 00:02:50.500]  耶穌走遍各城各鄉
[00:02:50.500 --> 00:02:53.500]  為天國的事工周圍行動
[00:02:53.500 --> 00:02:56.500]  現在香港人終於可以行動起來
[00:02:56.500 --> 00:02:58.500]  那你會想去哪裏呢?
[00:02:58.500 --> 00:03:02.500]  有些人就發覺要報復式去旅行
[00:03:02.500 --> 00:03:05.500]  我剛剛也去完一個地方探朋友
[00:03:05.500 --> 00:03:07.500]  發覺到周圍真的有香港人
[00:03:07.500 --> 00:03:10.500]  而你可以動起來的時候
[00:03:10.500 --> 00:03:13.500]  你真的會想做些什麼呢?
[00:03:13.500 --> 00:03:18.500]  其實這段經文在馬太福音第九章35到38節
[00:03:18.500 --> 00:03:23.500]  是說到耶穌整個全道生涯的總結
[00:03:23.500 --> 00:03:28.500]  如果像一些KOL或YouTuber要拍片的話
[00:03:28.500 --> 00:03:30.500]  就是說到耶穌之日常
[00:03:30.500 --> 00:03:35.500]  說到耶穌在這個世界上做了些什麼和怎樣去做
[00:03:35.500 --> 00:03:39.500]  而在第九章的整章裏面其實說了三組的神蹟
