
[00:00:00.000 --> 00:00:07.000]  在我們未分享訊息或是喜年生命故事之先的時間
[00:00:07.000 --> 00:00:12.000]  我也很想知道在座當中有沒有新朋友來到我們當中
[00:00:12.000 --> 00:00:13.000]  讓我們歡迎你
[00:00:13.000 --> 00:00:19.000]  如果你是今天第一次來我們恩福堂
[00:00:19.000 --> 00:00:23.000]  或者是特別來聽姊妹的訊息
[00:00:23.000 --> 00:00:24.000]  你是新來賓的
[00:00:24.000 --> 00:00:27.000]  請你舉手讓我們知道好嗎
[00:00:27.000 --> 00:00:33.000]  歡迎你們
[00:00:33.000 --> 00:00:44.000]  我們一起同心為我們要分享的訊息和故事祈禱
[00:00:44.000 --> 00:00:48.000]  抽禮給上帝我們恭敬將以後的時間交上
[00:00:48.000 --> 00:00:51.000]  求你使用你的僕人和你的侍女
[00:00:51.000 --> 00:00:57.000]  將你在我們生命中的故事和見證分享
[00:00:57.000 --> 00:01:02.000]  讓弟兄姊妹和在座的新朋友認識你
[00:01:02.000 --> 00:01:05.000]  我們祈禱交託奉主耶穌基督的聖名
[00:01:05.000 --> 00:01:06.000]  阿門
[00:01:06.000 --> 00:01:16.000]  各位弟兄姊妹和新來賓
[00:01:18.000 --> 00:01:21.000]  我是蒙敬成牧師
[00:01:21.000 --> 00:01:24.000]  新來賓有些人可能不太認識我
[00:01:24.000 --> 00:01:26.000]  我是蒙敬成牧師
[00:01:26.000 --> 00:01:31.000]  一般弟兄姊妹叫我蒙牧師
[00:01:31.000 --> 00:01:34.000]  也有些弟兄姊妹叫我蒙Sir
[00:01:34.000 --> 00:01:38.000]  我身邊這一位是陳王喜年姊妹
[00:01:38.000 --> 00:01:40.000]  我時時都叫她喜年
[00:01:40.000 --> 00:01:44.000]  今天我就叫她喜年姊妹
[00:01:44.000 --> 00:01:48.000]  今晚我很高興能在這裡和大家分享
[00:01:48.000 --> 00:01:56.000]  一位聖經人物和一個叫做格拉森人的生命故事
[00:01:56.000 --> 00:02:01.000]  也有喜年姊妹分享自己個人生命的故事
[00:02:01.000 --> 00:02:05.000]  他們都有著相類似的經歷
[00:02:05.000 --> 00:02:10.000]  就是原先他們覺得自己的生命好像沒有什麼價值
[00:02:10.000 --> 00:02:13.000]  他們的人生好像沒有什麼指望
[00:02:13.000 --> 00:02:16.000]  但當他們遇到主耶穌之後
[00:02:16.000 --> 00:02:20.000]  他們的生命和人生就不再一樣了
[00:02:20.000 --> 00:02:24.000]  我也很盼望在座當中的新朋友
[00:02:24.000 --> 00:02:26.000]  都能夠像他們一樣
[00:02:26.000 --> 00:02:28.000]  能夠認識到主耶穌
[00:02:28.000 --> 00:02:31.000]  能夠找到自己真正的價值
[00:02:31.000 --> 00:02:34.000]  能夠活出豐盛的人生
