
[00:00:00.000 --> 00:00:07.520]  大家是否記得之前我講過一篇叫做彼此洗腳的群體
[00:00:07.520 --> 00:00:14.240]  當時問過大家知不知道甚麼動物最展現出彼此伏視
[00:00:14.240 --> 00:00:17.200]  記得當時說了甚麼嗎
[00:00:17.200 --> 00:00:23.680]  對了,有人立即記得,當時說出了猴子的彼此伏視,捉蝨
[00:00:23.680 --> 00:00:33.360]  今天想問大家有甚麼動物展現出彼此擔當呢
[00:00:33.360 --> 00:00:35.080]  有甚麼分別呢?
[00:00:35.080 --> 00:00:41.320]  擔當即是在困難時彼此支持
[00:00:41.320 --> 00:00:44.160]  (矮)
[00:00:44.160 --> 00:00:48.480]  矮,子欣說矮,有其他答案嗎?
[00:00:48.480 --> 00:00:50.480]  烏龜
[00:00:50.480 --> 00:00:56.080]  烏龜我不認識,不認識牠們如何彼此支持
[00:00:56.080 --> 00:01:02.800]  (牠們在困難時彼此承擔著)
[00:01:02.800 --> 00:01:06.680]  答了,彼此承擔著
[00:01:06.680 --> 00:01:10.560]  厲害,很有想法,非常好
[00:01:10.560 --> 00:01:14.120]  我心目中想了兩種動物
[00:01:14.120 --> 00:01:17.680]  第一種是皇帝企鵝
[00:01:17.680 --> 00:01:23.360]  皇帝企鵝為了抵擋低溫和強風
[00:01:23.360 --> 00:01:27.000]  特別是保護一些初生企鵝
[00:01:27.000 --> 00:01:32.600]  會把企鵝圍成一圈,一起擋風
[00:01:32.600 --> 00:01:36.520]  並且會輪流到外圍
[00:01:36.520 --> 00:01:40.880]  去最冷的地方,會輪流去
[00:01:40.880 --> 00:01:43.640]  第二種就是硬群
[00:01:43.640 --> 00:01:48.480]  可以看到牠們會V形一起飛
[00:01:48.480 --> 00:01:51.960]  我之前說過硬群,但實在太感動了
[00:01:51.960 --> 00:01:55.840]  我還是要用它來做一個例子
[00:01:55.840 --> 00:01:57.920]  當牠們一起飛的時候
[00:01:57.920 --> 00:02:01.360]  如果其中一隻硬群病了或受傷
[00:02:01.360 --> 00:02:06.160]  會有兩隻硬群留下來保護牠
[00:02:06.160 --> 00:02:10.160]  直至牠康復或死亡
[00:02:10.160 --> 00:02:13.280]  然後牠們會再組成一個隊伍繼續飛
[00:02:13.280 --> 00:02:15.280]  要麼追回原本的一隊
[00:02:15.280 --> 00:02:18.560]  要麼再組成另一個隊伍
[00:02:18.560 --> 00:02:21.760]  而飛在後面的硬群會發出一些聲音
[00:02:21.760 --> 00:02:24.360]  鼓勵前面的硬群
[00:02:24.360 --> 00:02:27.400]  保持牠們的隊形和速度
[00:02:27.400 --> 00:02:31.400]  而領隊的硬群如果疲倦了
[00:02:31.400 --> 00:02:34.440]  會輪流移到旁邊
[00:02:34.440 --> 00:02:38.600]  而另一隻硬群會接手飛在最前端
[00:02:38.600 --> 00:02:43.120]  所以真的很彼此擔當
[00:02:43.120 --> 00:02:47.160]  不知道大家有沒有被企鵝和硬群感動到
[00:02:47.160 --> 00:02:48.840]  我也覺得很感動
[00:02:48.840 --> 00:02:52.360]  今天的講道是展現上帝國度
[00:02:52.360 --> 00:02:55.560]  會出吸引眼球生命系列
[00:02:55.560 --> 00:02:59.560]  題目是展現彼此擔當的生命
[00:02:59.560 --> 00:03:02.400]  今次的聖經人物仍然是保羅
[00:03:02.400 --> 00:03:06.800]  經文是《羅馬書》15章22至33節
[00:03:06.800 --> 00:03:08.640]  其實這段經文真的很豐富
[00:03:08.640 --> 00:03:10.400]  有很多方面的元素
[00:03:10.400 --> 00:03:13.520]  今天我主要選擇從兩個角度
[00:03:13.520 --> 00:03:15.520]  一起來看看在這段經文裏
[00:03:15.520 --> 00:03:18.040]  保羅所展現的生命和教導
[00:03:18.040 --> 00:03:21.560]  會給予我們甚麼學習和提醒
[00:03:21.560 --> 00:03:27.520]  我們先一起來讀《羅馬書》15章22至27節
[00:03:27.520 --> 00:03:30.880]  因此我多次被攔阻
[00:03:30.880 --> 00:03:33.000]  不能到你們那裡去
[00:03:33.000 --> 00:03:37.200]  但如今在這一帶再沒有可存的地方
[00:03:37.200 --> 00:03:39.160]  而且這許多年來
[00:03:39.160 --> 00:03:41.680]  我迫切想去你們那裡
[00:03:41.680 --> 00:03:44.840]  盼望到西班牙去的時候經過
[00:03:44.840 --> 00:03:46.080]  得見你們
[00:03:46.080 --> 00:03:48.200]  先與你們彼此交往
[00:03:48.200 --> 00:03:50.240]  心裡稍得滿足
[00:03:50.240 --> 00:03:52.960]  然後夢你們為我送行
[00:03:52.960 --> 00:03:56.040]  但如今我要到耶路撒冷去
[00:03:56.040 --> 00:03:58.240]  供應聖徒的需要
[00:03:58.240 --> 00:04:03.120]  因為馬其頓和阿該亞人樂意湊出一些捐款
[00:04:03.120 --> 00:04:06.400]  給耶路撒冷聖徒中的窮人
[00:04:06.400 --> 00:04:08.920]  這固然是他們樂意的
[00:04:08.920 --> 00:04:11.800]  其實也算是所欠的債
[00:04:11.800 --> 00:04:16.680]  因為外邦人既然分享了他們靈性上的好處
[00:04:16.680 --> 00:04:21.200]  就當把肉體上的需要供給他們
[00:04:21.200 --> 00:04:26.000]  《羅馬書》是保羅寫給羅馬基督徒群體的一封信
[00:04:26.000 --> 00:04:28.320]  其實保羅在《羅馬書》一開始的時候
[00:04:28.320 --> 00:04:32.000]  第一章已經說出了自己很想去羅馬探望
[00:04:32.000 --> 00:04:35.000]  羅馬基督徒群體這個計劃
[00:04:35.000 --> 00:04:39.640]  來到十五章這個接近沒了的話
[00:04:39.640 --> 00:04:41.840]  保羅又重提這個計劃
[00:04:41.840 --> 00:04:43.240]  既是首尾呼應
[00:04:43.240 --> 00:04:44.600]  亦是解釋多一點
[00:04:44.600 --> 00:04:48.080]  為什麼他那麼想去羅馬但沒有去到
[00:04:48.080 --> 00:04:50.160]  而十五節裏面保羅提到
[00:04:50.160 --> 00:04:52.680]  當時他正準備去耶路撒冷
[00:04:52.680 --> 00:04:56.400]  去供應一些信徒的需要
[00:04:56.400 --> 00:04:57.680]  我們特別來看看
[00:04:57.680 --> 00:05:00.680]  二十六至二十七節裏面
[00:05:00.680 --> 00:05:04.040]  有三個連接詞原文是「加」
[00:05:04.040 --> 00:05:08.640]  第一個「加」是帶出了保羅要去耶路撒冷的原因
[00:05:08.640 --> 00:05:11.920]  就是因為有人為耶路撒冷信徒的需要
[00:05:11.920 --> 00:05:14.520]  作出了回應和捐獻
[00:05:14.520 --> 00:05:15.880]  捐獻者是誰?
[00:05:15.880 --> 00:05:19.200]  就是馬其頓和亞該亞人
[00:05:19.200 --> 00:05:21.960]  這兩班人分別在希臘的北部
[00:05:21.960 --> 00:05:23.480]  和南部的教會
[00:05:23.480 --> 00:05:26.600]  是外邦人的信徒
[00:05:26.600 --> 00:05:28.920]  所以是很美麗的圖畫
[00:05:28.920 --> 00:05:32.120]  因為我們可以見到當時的彼此幫助
[00:05:32.120 --> 00:05:36.120]  已經是跨地域並且跨族群
[00:05:36.120 --> 00:05:40.880]  並且這裡提出了捐獻者的心態是什麼?
[00:05:40.880 --> 00:05:43.120]  是甘心樂意的
[00:05:43.120 --> 00:05:45.320]  其實神的心意就是要一個
[00:05:45.320 --> 00:05:48.480]  要有能力的人去幫助軟弱的人
