
[00:00:00.000 --> 00:00:01.660]  掌聲我們的神
[00:00:01.660 --> 00:00:05.920]  我們感謝主能夠同心敬拜祂
[00:00:05.920 --> 00:00:09.400]  今天我們想來介紹我們的講員
[00:00:09.400 --> 00:00:13.800]  因福建基於聖經的真理上
[00:00:13.800 --> 00:00:16.560]  我們今天很榮幸邀請到一位講員
[00:00:16.560 --> 00:00:20.600]  他是衛頓神學院退休的舊約教授
[00:00:20.600 --> 00:00:24.360]  他也是New Living Translation的Bible Translator
[00:00:24.360 --> 00:00:28.520]  他也是我們讀神學很清晰知道的
[00:00:28.520 --> 00:00:31.280]  NICOT這一系列的
[00:00:31.280 --> 00:00:33.760]  著色書的其中一位作者
[00:00:33.760 --> 00:00:35.280]  特別他寫了以西傑書
[00:00:35.280 --> 00:00:36.640]  兩本很厚的書
[00:00:36.640 --> 00:00:39.600]  我覺得當小說般看也是好看的
[00:00:39.600 --> 00:00:43.120]  他今年81歲高齡
[00:00:43.120 --> 00:00:46.240]  我們給點掌聲
[00:00:46.240 --> 00:00:52.720]  他告訴我
[00:00:52.720 --> 00:00:56.880]  來到因福講道是他一個Crowning的Moment
[00:00:56.880 --> 00:01:00.200]  一個很皇冠性很加冕性的時刻
[00:01:00.200 --> 00:01:02.080]  81歲是一個
[00:01:02.080 --> 00:01:05.480]  再一次給我思想退而不休的概念
[00:01:05.480 --> 00:01:07.080]  我們能夠服侍主
[00:01:07.080 --> 00:01:09.080]  可以走很遠很遠的路
[00:01:09.080 --> 00:01:12.920]  他今天跟我們分享的是摩西
[00:01:12.920 --> 00:01:14.440]  從摩西裡面
[00:01:14.440 --> 00:01:17.080]  從生命裡面如何看見福音
[00:01:17.080 --> 00:01:20.200]  裡面聖經神學和因若神學的教導
[00:01:20.200 --> 00:01:23.800]  是我自己都是一直自小領受的
[00:01:23.800 --> 00:01:26.720]  特別他今天有另一位跟他一起來的
[00:01:26.720 --> 00:01:28.720]  就是他的Translator Jeanette
[00:01:28.720 --> 00:01:30.720]  我們也給點掌聲Jeanette
[00:01:30.720 --> 00:01:37.560]  特別待會在五樓
