
[00:00:00.000 --> 00:00:03.000]  很高興看到這麼多大兄姊妹
[00:00:03.000 --> 00:00:06.840]  在大雨之下都回來繼續敬拜
[00:00:06.840 --> 00:00:11.080]  最近香港也有不尋常的事情發生
[00:00:11.080 --> 00:00:12.520]  也是關於雨的
[00:00:12.520 --> 00:00:13.960]  是什麼事情發生呢?
[00:00:13.960 --> 00:00:15.400]  大家看看這個PowerPoint
[00:00:15.400 --> 00:00:19.960]  PowerPoint說到局部放水的奇景
[00:00:19.960 --> 00:00:22.720]  是不是有外星人來了呢?
[00:00:22.720 --> 00:00:23.760]  為什麼會這樣呢?
[00:00:23.760 --> 00:00:25.120]  大家看到有什麼事情發生嗎?
[00:00:25.120 --> 00:00:28.880]  有一條水柱在這裡
[00:00:29.120 --> 00:00:31.000]  寧寧細細的下來
[00:00:31.000 --> 00:00:34.120]  剛才說到天使在上面下來
[00:00:34.120 --> 00:00:35.520]  會不會天使就在這裡走呢?
[00:00:35.520 --> 00:00:39.600]  甚至剛才說到神蹟就是這樣發生
[00:00:39.600 --> 00:00:42.360]  為什麼我會展示這幅圖出來呢?
[00:00:42.360 --> 00:00:43.760]  我看到這幅圖就想起
[00:00:43.760 --> 00:00:45.120]  稍後所說的經文
[00:00:45.120 --> 00:00:51.160]  也有說到聖子怎樣去接他的子民
[00:00:51.160 --> 00:00:52.520]  回到天家
[00:00:52.520 --> 00:00:54.800]  接的時候會不會有一條水柱下來
[00:00:54.800 --> 00:00:58.400]  然後人們就這樣一聲上去了呢?
[00:00:58.400 --> 00:01:00.400]  很感恩
[00:01:00.400 --> 00:01:02.400]  今天雖然有風雨
[00:01:02.400 --> 00:01:04.640]  但是看到弟兄姊妹也回來了
[00:01:04.640 --> 00:01:06.760]  一起去敬拜神
[00:01:06.760 --> 00:01:10.640]  不知不覺踏入2024年
[00:01:10.640 --> 00:01:14.120]  恩福家也進入了另一個階段
[00:01:14.120 --> 00:01:16.000]  什麼階段呢?
[00:01:16.000 --> 00:01:19.120]  就是用行動去回應時代
[00:01:19.120 --> 00:01:22.480]  當中就是希望可以繼續深化門訓
[00:01:22.480 --> 00:01:24.200]  敬拜場地的更新
[00:01:24.200 --> 00:01:27.840]  甚至繼續展開社關和媒體的更新
[00:01:27.840 --> 00:01:30.640]  持續與城市的同行
[00:01:30.640 --> 00:01:32.160]  並且很鼓勵會眾
[00:01:32.160 --> 00:01:33.760]  希望繼續成為門徒
[00:01:33.760 --> 00:01:36.200]  發揮因此各盡其職
[00:01:36.200 --> 00:01:38.200]  真的去活出使命
[00:01:38.200 --> 00:01:39.400]  由於這個原因
