
[00:00:00.000 --> 00:00:02.000]  各位聽眾姐妹早安
[00:00:02.000 --> 00:00:04.000]  我感覺很特別
[00:00:04.000 --> 00:00:09.000]  因為能夠經歷數年的疫情的艱難和挑戰
[00:00:09.000 --> 00:00:14.000]  我今天竟然能夠脫下口罩和大家去崇拜李便正
[00:00:14.000 --> 00:00:16.000]  我感覺很特別
[00:00:16.000 --> 00:00:18.000]  你覺不覺得很特別
[00:00:18.000 --> 00:00:20.000]  我們給些掌聲上帝
[00:00:20.000 --> 00:00:22.000]  是祂的恩手的託大
[00:00:22.000 --> 00:00:27.000]  讓我們今天能夠經過水火去服償
[00:00:27.000 --> 00:00:31.000]  能夠在艱難當中更見神恩
[00:00:31.000 --> 00:00:36.000]  不經不覺上個月在早堂崇拜
[00:00:36.000 --> 00:00:39.000]  我在1月8日和大家祝福
[00:00:39.000 --> 00:00:40.000]  我很記得
[00:00:40.000 --> 00:00:43.000]  今天是1月8日之後
[00:00:43.000 --> 00:00:47.000]  套年我第一次在台上和大家見面
[00:00:47.000 --> 00:00:51.000]  我祝願大家新心靈安康
[00:00:51.000 --> 00:00:53.000]  多多蒙福 事主得力
[00:00:53.000 --> 00:00:55.000]  為何我記得是1月8日
[00:00:55.000 --> 00:01:00.000]  因為那天1月8日凌晨我回教會前半夜驚醒
[00:01:00.000 --> 00:01:01.000]  為何驚醒呢
[00:01:01.000 --> 00:01:04.000]  喉嚨確確鼻氣氣
[00:01:04.000 --> 00:01:05.000]  很不對勁
[00:01:05.000 --> 00:01:07.000]  半夜三點多起床
[00:01:07.000 --> 00:01:09.000]  撩一下鼻子做一下快刷
[00:01:09.000 --> 00:01:10.000]  一條線
[00:01:10.000 --> 00:01:11.000]  沒事的
[00:01:11.000 --> 00:01:14.000]  然後到第二天起床
[00:01:14.000 --> 00:01:15.000]  覺得真的好一點
[00:01:15.000 --> 00:01:17.000]  可能心理作用
[00:01:17.000 --> 00:01:20.000]  和太太回來教會崇拜
[00:01:20.000 --> 00:01:21.000]  早堂就祝福了
[00:01:21.000 --> 00:01:24.000]  然後中堂去教主學
[00:01:24.000 --> 00:01:26.000]  但教完後越來越覺得自己不對勁
[00:01:26.000 --> 00:01:29.000]  尖寒尖毒
[00:01:29.000 --> 00:01:32.000]  本來下午有個社會服務
[00:01:32.000 --> 00:01:34.000]  可能要接觸百多個青少年
[00:01:34.000 --> 00:01:36.000]  去經前理服務
[00:01:36.000 --> 00:01:38.000]  想想還是不對勁
[00:01:38.000 --> 00:01:41.000]  突然上報要和百多人接觸
[00:01:41.000 --> 00:01:43.000]  真是不妙
[00:01:43.000 --> 00:01:45.000]  於是就跌下心水
[00:01:45.000 --> 00:01:46.000]  交大同工
[00:01:46.000 --> 00:01:47.000]  辛苦大家了
[00:01:47.000 --> 00:01:48.000]  我真的不能過去
[00:01:48.000 --> 00:01:50.000]  就去做核酸
[00:01:50.000 --> 00:01:52.000]  結果
[00:01:52.000 --> 00:01:54.000]  1月9日凌晨一點多
[00:01:54.000 --> 00:01:56.000]  收到SMS
[00:01:56.000 --> 00:01:59.000]  閣下陽性確診
[00:01:59.000 --> 00:02:01.000]  我打了四針復必泰
[00:02:01.000 --> 00:02:04.000]  其實禮拜一凌晨收到消息
[00:02:04.000 --> 00:02:06.000]  第二天早上家人就說
[00:02:06.000 --> 00:02:07.000]  你快點去看醫生
[00:02:07.000 --> 00:02:08.000]  拿特效藥
[00:02:08.000 --> 00:02:10.000]  真的讓我拿
[00:02:10.000 --> 00:02:11.000]  吃了五天
[00:02:11.000 --> 00:02:14.000]  去到第五天
[00:02:14.000 --> 00:02:16.000]  其實那條T線
[00:02:16.000 --> 00:02:19.000]  即是下面那條確認確診那條
[00:02:19.000 --> 00:02:21.000]  就已經越來越淡
[00:02:21.000 --> 00:02:22.000]  打算跌下心水
[00:02:22.000 --> 00:02:24.000]  過兩天出關
[00:02:24.000 --> 00:02:26.000]  怎知
[00:02:26.000 --> 00:02:29.000]  去到再下個禮拜二
[00:02:29.000 --> 00:02:31.000]  都未恢復一條線
[00:02:31.000 --> 00:02:33.000]  然後還要去到禮拜二那條線
[00:02:33.000 --> 00:02:34.000]  bounce back
[00:02:34.000 --> 00:02:36.000]  鬼死那麼紅
[00:02:36.000 --> 00:02:38.000]  結果前後十六日
[00:02:38.000 --> 00:02:41.000]  大年初一我還是兩條線
[00:02:41.000 --> 00:02:42.000]  坦白說
[00:02:42.000 --> 00:02:44.000]  中間是有些情緒低落
[00:02:44.000 --> 00:02:45.000]  覺得自己很沒用
[00:02:45.000 --> 00:02:46.000]  真的坦白說
[00:02:46.000 --> 00:02:49.000]  當時理性上我告訴自己
[00:02:49.000 --> 00:02:54.000]  侍奉的人必須更深體會這份無力感
[00:02:54.000 --> 00:02:57.000]  才能更深體會
[00:02:57.000 --> 00:02:59.000]  倚靠上帝的正義
[00:02:59.000 --> 00:03:01.000]  是更加盡心
