
[00:00:00.000 --> 00:00:02.640]  咁呢今日呢係主餐主日啦
[00:00:02.640 --> 00:00:05.540]  但係呢我都想同大家分享一個題目
[00:00:05.540 --> 00:00:09.220]  叫做「克服人生能源危機」
[00:00:09.220 --> 00:00:12.260]  好似好無油咁樣講
[00:00:12.260 --> 00:00:14.060]  其實呢唔知你有冇發覺呢
[00:00:14.060 --> 00:00:15.200]  你冇電
[00:00:15.200 --> 00:00:16.400]  你冇力
[00:00:16.400 --> 00:00:18.760]  你冇能量嘅一刻呀
[00:00:18.760 --> 00:00:21.000]  我哋唔係叫「Heh」呀
[00:00:21.000 --> 00:00:23.680]  我哋叫做呢「好攰」呀
[00:00:23.680 --> 00:00:26.680]  我哋話我哋冇能力再行落去啦
[00:00:26.680 --> 00:00:29.520]  我哋願意今日經民成為你嘅幫助
[00:00:29.520 --> 00:00:30.640]  今日我哋會睇呢
[00:00:30.640 --> 00:00:33.480]  撒加利亞書嘅第四章一到十四節
[00:00:33.480 --> 00:00:35.880]  我哋呢就有三個power point嘅
[00:00:35.880 --> 00:00:38.480]  第一個power point就請姊妹讀先
[00:00:38.480 --> 00:00:40.480]  第二個power point就請弟兄讀
[00:00:40.480 --> 00:00:43.000]  第三個power point大家一齊讀好冇呀
[00:00:43.000 --> 00:00:44.240]  好我哋一齊呢
[00:00:44.240 --> 00:00:45.480]  睇到啲字囉
[00:00:45.480 --> 00:00:48.520]  咁我哋一齊讀呢段嘅經文
[00:00:48.520 --> 00:00:51.000]  預備一二三 姊妹先
[00:00:51.000 --> 00:00:55.320]  「乃與我說話的天使又叫醒我」
[00:00:55.320 --> 00:00:58.600]  好似有人就叫醒我
[00:00:58.600 --> 00:01:02.000]  「我問我說 你看見了什麼」
[00:01:02.000 --> 00:01:06.040]  「我說 我看見了一座純金的燈台」
[00:01:06.040 --> 00:01:10.400]  「上章有層燈 燈台上有七盞燈」
[00:01:10.400 --> 00:01:13.000]  「每盞有七個管子」
[00:01:13.000 --> 00:01:15.720]  「旁邊有兩個橄欖樹」
[00:01:15.720 --> 00:01:18.480]  「一個在燈台的右邊」
[00:01:18.480 --> 00:01:21.120]  「一個在燈台的左邊」
[00:01:21.120 --> 00:01:24.120]  「我問與我說話的天使說」
[00:01:24.120 --> 00:01:26.720]  「主啊 這是什麼意思」
[00:01:26.720 --> 00:01:30.080]  「與我說話的天使回答說」
[00:01:30.080 --> 00:01:33.040]  「你不知道這是什麼意思嗎」
[00:01:33.040 --> 00:01:35.480]  「我說 主啊 我不知道」
[00:01:35.480 --> 00:01:37.800]  跟著弟兄 一二三
[00:01:37.800 --> 00:01:39.320]  「他對我說」
[00:01:39.320 --> 00:01:42.840]  「這是耶和華指示所羅巴巴的」
[00:01:42.840 --> 00:01:45.040]  「萬軍之耶和華說」
[00:01:45.040 --> 00:01:48.840]  「不要倚靠勢力 不要倚靠才能」
[00:01:48.840 --> 00:01:52.440]  「乃是倚靠我的能 方能成事」
[00:01:52.440 --> 00:01:55.040]  「大山啊 你說什麼」
[00:01:55.040 --> 00:01:59.360]  「在所羅巴巴面前 你必成為平地」
[00:01:59.360 --> 00:02:04.040]  「你必踐出一塊石頭 安在殿頂上」
[00:02:04.040 --> 00:02:06.640]  「人且大聲呼叫說」
[00:02:06.640 --> 00:02:09.960]  「願因為因為歸於這殿」
[00:02:09.960 --> 00:02:12.960]  「耶和華的話又臨到我說」
[00:02:12.960 --> 00:02:16.880]  「所羅巴巴的手 納了這殿的根基」
[00:02:16.880 --> 00:02:19.720]  「他的手也必完成這功」
[00:02:19.720 --> 00:02:22.680]  「你就知道萬軍之耶和華」
[00:02:22.680 --> 00:02:25.760]  「猜起我道 你們這裏來了」
[00:02:25.760 --> 00:02:27.760]  跟著一起讀 預備起
[00:02:27.760 --> 00:02:31.080]  「誰藐視這日的事為少呢」
[00:02:31.080 --> 00:02:34.480]  「這七眼 乃是耶和華的眼睛」
[00:02:34.480 --> 00:02:36.160]  「遍測全地」
[00:02:36.160 --> 00:02:40.360]  「見所羅巴巴手 納善陀就歡喜」
[00:02:40.360 --> 00:02:42.360]  「我又問天使說」
[00:02:42.360 --> 00:02:45.840]  「這燈台左右的兩個橄欖樹」
[00:02:45.840 --> 00:02:47.560]  「是什麼意思」
[00:02:47.560 --> 00:02:49.640]  「第二次問他說」
[00:02:49.640 --> 00:02:54.320]  「這兩根橄欖枝 在兩座流出金色的油」
[00:02:54.320 --> 00:02:57.320]  「金嘴旁邊 是什麼意思」
[00:02:57.320 --> 00:02:58.760]  「他對我說」
[00:02:58.760 --> 00:03:01.840]  「你不知道這是什麼意思嗎」
[00:03:01.840 --> 00:03:04.600]  「我說 主啊 我不知道」
[00:03:04.600 --> 00:03:07.800]  「他說 這是兩個受告者」
[00:03:07.800 --> 00:03:10.960]  「站在普天下的主旁邊」
[00:03:10.960 --> 00:03:12.240]  好 聖經讀筆
[00:03:12.240 --> 00:03:14.240]  我們一起有禱告
[00:03:14.240 --> 00:03:15.840]  七位天父
[00:03:15.840 --> 00:03:18.600]  當我們世人在你面前的時候
[00:03:18.600 --> 00:03:20.440]  我們算不得什麼
[00:03:20.440 --> 00:03:21.480]  我們的能力
[00:03:21.480 --> 00:03:22.560]  我們的才剛
[00:03:22.560 --> 00:03:23.440]  我們的努力
[00:03:23.440 --> 00:03:25.440]  甚至我們跨過的地方
[00:03:25.440 --> 00:03:26.760]  在你面前
[00:03:26.760 --> 00:03:28.880]  都好像是微塵一樣
[00:03:28.880 --> 00:03:31.160]  但願我們躺開我們的心
[00:03:31.160 --> 00:03:33.680]  我們看清楚上帝的能力
[00:03:33.680 --> 00:03:36.080]  更加我們不是靠己力去侍奉
[00:03:36.080 --> 00:03:38.560]  我們不是靠我們的才華、才智
[00:03:38.560 --> 00:03:40.200]  甚至人世間的力量
[00:03:40.200 --> 00:03:41.240]  去侍奉你
[00:03:41.240 --> 00:03:45.000]  我們靠的是一位創造天地萬物的神
[00:03:45.000 --> 00:03:46.680]  主啊 就讓我們存一個
[00:03:46.680 --> 00:03:49.240]  謙卑仰望、肅靈的視野
[00:03:49.240 --> 00:03:51.000]  去行走前面的道路
[00:03:51.000 --> 00:03:51.920]  我們的禱告
[00:03:51.920 --> 00:03:53.520]  奉耶穌命求
[00:03:53.520 --> 00:03:54.520]  Amen
[00:03:54.520 --> 00:03:58.400]  最近呢
[00:03:58.400 --> 00:04:00.840]  伊朗和美國打仗
[00:04:00.840 --> 00:04:03.240]  然後珀爾木斯海峽封閉
[00:04:03.240 --> 00:04:06.200]  那麼全世界都有些能源危機
[00:04:06.200 --> 00:04:08.120]  「不知道你有沒有開車」
