
[00:00:00.000 --> 00:00:05.000]  我們進入上帝的說話之前我們有個祈禱
[00:00:05.000 --> 00:00:09.000]  親天父感謝你派耶穌去為我們死
[00:00:09.000 --> 00:00:12.000]  確實沒有上帝的愛
[00:00:12.000 --> 00:00:14.000]  沒有你擦牌而知的愛
[00:00:14.000 --> 00:00:18.000]  我們確實都不懂得、不敢、不願意
[00:00:18.000 --> 00:00:20.000]  去為你獻上我們的一生
[00:00:20.000 --> 00:00:22.000]  有時就算我們獻上願意的
[00:00:22.000 --> 00:00:24.000]  我們都未必做到
[00:00:24.000 --> 00:00:26.000]  所以上帝感恩你就是這樣愛我們
[00:00:26.000 --> 00:00:29.000]  如果我們今晚聽到你的說話
[00:00:29.000 --> 00:00:32.000]  如果你藉著你的說話
[00:00:32.000 --> 00:00:34.000]  對我們有些要求
[00:00:34.000 --> 00:00:36.000]  對我們有些想望
[00:00:36.000 --> 00:00:38.000]  去問我們要拿些東西的時候
[00:00:38.000 --> 00:00:41.000]  我禱告你聖靈在我們心裡工作
[00:00:41.000 --> 00:00:43.000]  給我們勇氣
[00:00:43.000 --> 00:00:47.000]  給我們對你有信心去回應你的說話
[00:00:47.000 --> 00:00:50.000]  以上的禱告奉主名求,阿們
[00:00:50.000 --> 00:00:53.000]  說之前我先說我自己
[00:00:53.000 --> 00:00:55.000]  我叫Sorens
[00:00:55.000 --> 00:00:57.000]  以防你不認識我
[00:00:57.000 --> 00:00:59.000]  我是青少部其中一個同工
[00:00:59.000 --> 00:01:01.000]  很少在大人世界出現
[00:01:01.000 --> 00:01:03.000]  所以我叫Sorens
[00:01:03.000 --> 00:01:05.000]  這裡也有些是我熟面口的
[00:01:05.000 --> 00:01:08.000]  很開心見到老面孔
[00:01:08.000 --> 00:01:10.000]  好,說完了
[00:01:10.000 --> 00:01:12.000]  說一下這件事
[00:01:12.000 --> 00:01:16.000]  從前在恩福有個牧師
[00:01:16.000 --> 00:01:20.000]  他在半年前開始想去換車
[00:01:20.000 --> 00:01:23.000]  因為他的車已經很舊了
[00:01:23.000 --> 00:01:25.000]  不是很舊,已經舊了
[00:01:25.000 --> 00:01:29.000]  但是維修的次數開始頻密
[00:01:29.000 --> 00:01:30.000]  多了
[00:01:30.000 --> 00:01:32.000]  而每次維修要付的錢
[00:01:32.000 --> 00:01:34.000]  又越來越貴
[00:01:34.000 --> 00:01:37.000]  所以這輛車就越來越不划算
[00:01:37.000 --> 00:01:39.000]  他就想換車
[00:01:39.000 --> 00:01:40.000]  他想換什麼車呢?
[00:01:40.000 --> 00:01:42.000]  他想換一部電動車
[00:01:42.000 --> 00:01:46.000]  因為他覺得電動車都是大趨勢
[00:01:46.000 --> 00:01:49.000]  另外就是開電動車不用加油
[00:01:49.000 --> 00:01:52.000]  長遠來說應該節省一點
[00:01:52.000 --> 00:01:54.000]  他就做資料搜集
[00:01:54.000 --> 00:01:56.000]  結論是
[00:01:56.000 --> 00:02:02.000]  原來買一輛賓士的電動車
[00:02:02.000 --> 00:02:05.000]  和買一輛Toyota的油車
[00:02:05.000 --> 00:02:07.000]  最終應該不是差很多
[00:02:07.000 --> 00:02:09.000]  甚至有機會便宜一點
[00:02:09.000 --> 00:02:11.000]  原因是因為
[00:02:11.000 --> 00:02:13.000]  可能型號
[00:02:13.000 --> 00:02:15.000]  賓士的型號最低
[00:02:15.000 --> 00:02:18.000]  Toyota的型號最高
[00:02:18.000 --> 00:02:20.000]  加上有政府的資助
[00:02:20.000 --> 00:02:24.000]  所以可能買賓士的電動車
[00:02:24.000 --> 00:02:29.000]  和買Toyota日本的車應該差不多
[00:02:29.000 --> 00:02:32.000]  如果計算長期不用加油的錢
[00:02:32.000 --> 00:02:34.000]  應該會更便宜
[00:02:34.000 --> 00:02:37.000]  但是他到了這一刻
[00:02:37.000 --> 00:02:38.000]  還是在猶豫
[00:02:38.000 --> 00:02:40.000]  還是沒有買到
[00:02:40.000 --> 00:02:44.000]  原因是因為那輛是賓士
[00:02:44.000 --> 00:02:47.000]  他覺得他是一個恩福的牧師
[00:02:47.000 --> 00:02:49.000]  他心想
[00:02:49.000 --> 00:02:52.000]  如果一個牧師開一輛賓士
[00:02:52.000 --> 00:02:57.000]  他覺得應該會令會友不舒服
