
[00:00:00.000 --> 00:00:03.000]  多謝敬拜隊帶領我們一起讚美神
[00:00:03.000 --> 00:00:06.000]  實在覺得很難得 我也很感動
[00:00:06.000 --> 00:00:11.000]  可以跟大家一起去敬拜神不是必然的事
[00:00:11.000 --> 00:00:13.000]  我們一起祈禱
[00:00:13.000 --> 00:00:20.000]  榮耀父 天上君王
[00:00:20.000 --> 00:00:25.000]  很多謝你 讓我們有機會可以叫彼此做弟兄姊妹
[00:00:25.000 --> 00:00:31.000]  讓我們可以成為一家人 一路學習的去敬拜和讚美你
[00:00:31.000 --> 00:00:35.000]  因為你的美善改變了我們的生命
[00:00:35.000 --> 00:00:40.000]  求主你真的幫助我們時時刻刻的點記著你的話語
[00:00:40.000 --> 00:00:44.000]  讓你的生命可以反映主耶穌的美善
[00:00:44.000 --> 00:00:48.000]  讓其他人看到我們的生命的時候 知道我們是屬於你的
[00:00:48.000 --> 00:00:51.000]  求你多看顧我們一會 聽到的時間
[00:00:51.000 --> 00:00:55.000]  幫助我們每個人都有一個開放的心
[00:00:55.000 --> 00:00:58.000]  讓我們都可以讓你的話語藏在我們心裏
[00:00:58.000 --> 00:01:01.000]  我們感謝神來聽我們祈禱 祈求貫之耶穌得性命
[00:01:01.000 --> 00:01:12.000]  今天我講的題目是 令人洗心革面的福音
[00:01:12.000 --> 00:01:15.000]  當我們聽到洗心革面這個詞
[00:01:15.000 --> 00:01:20.000]  通常都會想到犯了滔天大罪 或者黑社會人物
[00:01:20.000 --> 00:01:25.000]  他們怎樣痛改前非 生命怎樣作出180度的改變
[00:01:25.000 --> 00:01:32.000]  沒錯 我今天就很想跟大家講一個已經已故的江湖大佬
[00:01:32.000 --> 00:01:36.000]  人人都叫他Teddy哥 有沒有人聽過他的故事呢
[00:01:36.000 --> 00:01:39.000]  都有些弟兄會聽過 是吧
[00:01:39.000 --> 00:01:42.000]  他的真名就叫做洪漢義弟兄
[00:01:42.000 --> 00:01:45.000]  我會講他的信主和信主之後
[00:01:45.000 --> 00:01:49.000]  生命怎樣作出翻天覆地的改變的事蹟
[00:01:49.000 --> 00:01:54.000]  洪漢義弟兄原本是一個黑社會的頭目
[00:01:54.000 --> 00:01:59.000]  十幾歲的時候加入了一個叫做14K的組織
[00:01:59.000 --> 00:02:02.000]  之後憑著他個人的才智和膽量
[00:02:02.000 --> 00:02:06.000]  在很短的時間就成為了他們的領導人
[00:02:06.000 --> 00:02:09.000]  在20年代的時候初期
[00:02:09.000 --> 00:02:14.000]  就有一班牧者去了他開的一間很出名的野種會
[00:02:14.000 --> 00:02:18.000]  跟他傳福音 他那時候很抗拒
[00:02:18.000 --> 00:02:21.000]  告訴他們最需要耶穌的不是他自己
[00:02:21.000 --> 00:02:23.000]  因為他本來就是一個太子爺
[00:02:23.000 --> 00:02:26.000]  他說最需要耶穌的就是他的手足
[00:02:26.000 --> 00:02:30.000]  因為他們是真正的受害者
[00:02:30.000 --> 00:02:34.000]  因為他們大多數都是出生於很貧窮的家庭
[00:02:34.000 --> 00:02:36.000]  在家裏得不到愛
[00:02:36.000 --> 00:02:40.000]  因為沒有錢 經常被人看不起 被人欺負
[00:02:40.000 --> 00:02:46.000]  所以迫不得已 進入了黑社會去得到認同和愛
[00:02:46.000 --> 00:02:48.000]  他就告訴那班牧者
[00:02:48.000 --> 00:02:50.000]  他說你不要跟我說耶穌
[00:02:50.000 --> 00:02:55.000]  我讓你們在野種會裏面跟我的手足去傳福音
[00:02:55.000 --> 00:03:00.000]  於是那班牧者就開始在野種會裏面跟我的手足去傳福音
[00:03:00.000 --> 00:03:04.000]  但是那班牧者並沒有因為這樣而放過洪帝兄
[00:03:04.000 --> 00:03:09.000]  他們一方面用他的場地向兄弟去傳福音
[00:03:09.000 --> 00:03:11.000]  另一方面繼續向他傳
[00:03:11.000 --> 00:03:14.000]  最後洪帝兄信了耶穌
[00:03:14.000 --> 00:03:17.000]  不單止這樣 還讀了神學
[00:03:17.000 --> 00:03:24.000]  他之後也開了一間特別向黑幫人士傳福音的教會
[00:03:24.000 --> 00:03:26.000]  叫做德勝教會
[00:03:26.000 --> 00:03:31.000]  也去過不同的國家去講見證
[00:03:31.000 --> 00:03:35.000]  弟兄姊妹 不知道你們會不會跟我一樣
[00:03:35.000 --> 00:03:40.000]  每次聽到這些見證都覺得很神奇
[00:03:40.000 --> 00:03:45.000]  在想 這些人為甚麼他們的生命可以有這麼大的轉變呢
[00:03:45.000 --> 00:03:47.000]  接著又想想自己
[00:03:47.000 --> 00:03:50.000]  看自己信了主都一段時間了
[00:03:50.000 --> 00:03:51.000]  都不短了
[00:03:51.000 --> 00:03:56.000]  但是屬靈生命都好像一直停滯不前
[00:03:56.000 --> 00:04:00.000]  在生活當中仍然感到很多拉扯
[00:04:00.000 --> 00:04:03.000]  感到聖經裏面所提及的
[00:04:03.000 --> 00:04:06.000]  信了耶穌之後的真正的自由
[00:04:06.000 --> 00:04:08.000]  或者豐盛的生命
[00:04:08.000 --> 00:04:11.000]  好像離我很遠
[00:04:11.000 --> 00:04:16.000]  其實聖經當中有另一位信徒
[00:04:16.000 --> 00:04:18.000]  他的生命都是因為遇見耶穌之後
[00:04:18.000 --> 00:04:20.000]  就有了180度的轉變
[00:04:20.000 --> 00:04:25.000]  沒錯 他就是我們很熟悉的使徒保羅
[00:04:25.000 --> 00:04:29.000]  他本來也是一個碧巴教會的猶太教徒
[00:04:29.000 --> 00:04:31.000]  但是信了耶穌之後
[00:04:31.000 --> 00:04:33.000]  他就脫胎換骨
[00:04:33.000 --> 00:04:40.000]  後來還成為神差派他向外幫人傳福音的使徒
[00:04:40.000 --> 00:04:47.000]  我們今天一起和保羅這個過來人一起學習
[00:04:47.000 --> 00:04:50.000]  從他所寫的哥羅西書去了解
[00:04:50.000 --> 00:04:55.000]  信徒是可以怎樣落實地活出信仰
[00:04:55.000 --> 00:04:57.000]  是怎樣可以洗心革面
[00:04:57.000 --> 00:05:03.000]  活出不再一樣滿有使命的生命
[00:05:03.000 --> 00:05:07.000]  保羅寫信給哥羅西教會的外幫信徒
[00:05:07.000 --> 00:05:13.000]  是因為他們剛才受了很多異端邪說的影響
[00:05:13.000 --> 00:05:19.000]  有不同的人將一些不合乎聖經的教導帶入教會
[00:05:19.000 --> 00:05:21.000]  就好像現在的教會
[00:05:21.000 --> 00:05:26.000]  有時候也受了很多異端、思想、方家的看法
[00:05:26.000 --> 00:05:29.000]  甚至一些哲理所衝擊
[00:05:29.000 --> 00:05:33.000]  所以保羅在哥羅西書第一、第二章
[00:05:33.000 --> 00:05:35.000]  就向信徒講解
[00:05:35.000 --> 00:05:38.000]  幫助他們分辨什麼是聖經的教導
