
[00:00:00.000 --> 00:00:06.000]  (教會的教士們)
[00:00:06.000 --> 00:00:08.000]  各位姐妹們,早安!
[00:00:08.000 --> 00:00:12.000]  今天很感恩,敬拜隊藉著詩歌
[00:00:12.000 --> 00:00:18.000]  讓我們思想和主耶穌的關係
[00:00:18.000 --> 00:00:22.000]  讓我們每一天都跟隨主和釋放神
[00:00:22.000 --> 00:00:26.000]  這個敬拜隊是第四子的敬拜隊
[00:00:26.000 --> 00:00:29.000]  我們很開心地給他們掌聲
[00:00:29.000 --> 00:00:35.000]  我們很希望能夠繼續建立更多在第四子服侍的
[00:00:35.000 --> 00:00:40.000]  無論是敬拜還是其他不同的服侍隊伍
[00:00:40.000 --> 00:00:44.000]  讓我們在未來到北區建立第四子堂的時候
[00:00:44.000 --> 00:00:50.000]  我們都在上帝的豐富預備當中在北區藉堂
[00:00:50.000 --> 00:00:53.000]  今天也是一個很特別的日子
[00:00:53.000 --> 00:00:58.000]  如果今天是媽媽,應該也有一些慶祝
[00:00:58.000 --> 00:01:00.000]  今天是母親節
[00:01:00.000 --> 00:01:06.000]  祝願在座各位母親身心健康,主恩滿日
[00:01:06.000 --> 00:01:09.000]  我們也給一些掌聲我們的母親
[00:01:09.000 --> 00:01:14.000]  她在我們生命裡付出了很多去養育我們
[00:01:14.000 --> 00:01:21.000]  今天說到我用了一個母親節的電影
[00:01:21.000 --> 00:01:26.000]  不知道大家有沒有看過這套戲《苦獨得》
[00:01:26.000 --> 00:01:29.000]  有沒有看過?沒有吧?
[00:01:29.000 --> 00:01:33.000]  昨天是電影日,應該是30元一張票
[00:01:33.000 --> 00:01:38.000]  不知道大家有沒有把握這些便宜價票的機會
[00:01:38.000 --> 00:01:42.000]  這套戲其實是關於一個媽媽
[00:01:42.000 --> 00:01:45.000]  這套戲詳細說什麼我就不說太多了
[00:01:45.000 --> 00:01:46.000]  大家可以看了
[00:01:46.000 --> 00:01:51.000]  這套戲其實是在探討一個社會的問題
[00:01:51.000 --> 00:01:57.000]  原來今天做媽媽對於新一代的婦女來說
[00:01:57.000 --> 00:01:59.000]  也不是一件很容易的事
[00:01:59.000 --> 00:02:02.000]  因為也要面對很多不同的挑戰
[00:02:02.000 --> 00:02:05.000]  這套戲其實是在說一個新手的媽媽
[00:02:05.000 --> 00:02:08.000]  她面對一個新生命的時候
[00:02:08.000 --> 00:02:11.000]  她背後面對著很多不同的問題
[00:02:11.000 --> 00:02:13.000]  還有她怎樣去面對
[00:02:13.000 --> 00:02:16.000]  所以這套戲其實是在說一個媽媽
[00:02:16.000 --> 00:02:20.000]  值得大家去看一下
[00:02:20.000 --> 00:02:24.000]  大家都知道今天做媽媽不容易
[00:02:24.000 --> 00:02:29.000]  其實今天在香港也面對一個問題
[00:02:29.000 --> 00:02:32.000]  就是生育率偏低
[00:02:32.000 --> 00:02:34.000]  大家知不知道?都知道吧?
[00:02:34.000 --> 00:02:38.000]  原來在一些調查裏發現
[00:02:38.000 --> 00:02:44.000]  香港現在的生育率是創了歷年的新低
[00:02:44.000 --> 00:02:49.000]  只有0.7%
[00:02:49.000 --> 00:02:53.000]  一個媽媽生育0.7個小朋友
[00:02:53.000 --> 00:02:54.000]  不知道怎樣去計算
[00:02:54.000 --> 00:02:56.000]  總之是0.7%
[00:02:56.000 --> 00:03:02.000]  其實今天這個問題背後都牽涉很多不同的因素
[00:03:02.000 --> 00:03:08.000]  這個問題其實不單止是香港的情況
[00:03:08.000 --> 00:03:12.000]  其實全世界都在發生一個這樣的問題
[00:03:12.000 --> 00:03:17.000]  Elon Musk Tesla的總裁馬斯克
[00:03:17.000 --> 00:03:22.000]  他都說過一個問題就是全球小子化的問題
[00:03:22.000 --> 00:03:29.000]  他說這個原因可能是導致人類絕種的其中一個原因
[00:03:29.000 --> 00:03:33.000]  大家知不知道Elon Musk生了多少個小朋友?
[00:03:33.000 --> 00:03:35.000]  他生了14個
[00:03:35.000 --> 00:03:38.000]  當然他不是一個很好的榜樣
[00:03:38.000 --> 00:03:43.000]  但這個人就帶出了一個全球的其中一個問題
[00:03:43.000 --> 00:03:46.000]  就是關於小子化的問題
[00:03:46.000 --> 00:03:52.000]  其實這個問題不單止是香港的問題
[00:03:52.000 --> 00:03:54.000]  其實都是全球的問題
[00:03:54.000 --> 00:04:00.000]  原來現在在全球237個國家裏面
[00:04:00.000 --> 00:04:02.000]  其實香港排第二
[00:04:02.000 --> 00:04:05.000]  即是略高於澳門一點點
[00:04:05.000 --> 00:04:10.000]  但其他一些國家一些經濟發展程度很高的國家
[00:04:10.000 --> 00:04:17.000]  譬如新加坡、加拿大、德國、英國和美國等等的國家
[00:04:17.000 --> 00:04:21.000]  其實都是生育率不合格
[00:04:21.000 --> 00:04:25.000]  如果一個生育率合格
[00:04:25.000 --> 00:04:28.000]  即是維持一個人口不變的水平是2.1的話
[00:04:28.000 --> 00:04:33.000]  其實以上這些國家都是低於2.1
[00:04:33.000 --> 00:04:38.000]  所以其實這個情況是全球面對的一個問題
[00:04:38.000 --> 00:04:44.000]  香港面對這個問題其實都對教會都帶來一定的衝擊
[00:04:44.000 --> 00:04:47.000]  因為教會大家如果知道
[00:04:47.000 --> 00:04:51.000]  其實今日比起過去十年的時間
[00:04:51.000 --> 00:04:54.000]  在兒童的數目來講
[00:04:54.000 --> 00:04:56.000]  其實今日教會都是少了
[00:04:56.000 --> 00:04:59.000]  我相信不單止是因福
[00:04:59.000 --> 00:05:04.000]  全港的教會都面對小子化的一個問題
[00:05:04.000 --> 00:05:08.000]  這個問題其實帶來一個教會傳承
[00:05:08.000 --> 00:05:12.000]  都是一個需要去思考的一個題目
[00:05:12.000 --> 00:05:15.000]  教會應該怎樣在未來這段時間
[00:05:15.000 --> 00:05:21.000]  怎樣去幫助小朋友在裏面成長、傳承、福音
[00:05:21.000 --> 00:05:24.000]  這個都是需要去考慮的
[00:05:24.000 --> 00:05:30.000]  今日我們的講道來到文掃記是最後一次的講道
[00:05:30.000 --> 00:05:34.000]  不知道過去第四子堂的講道系列
[00:05:34.000 --> 00:05:40.000]  文掃記會不會對大家對書卷的了解加深了認識
[00:05:40.000 --> 00:05:42.000]  我們希望可以做到這樣
[00:05:42.000 --> 00:05:46.000]  但今日我們看最後一篇的講道裏面
[00:05:46.000 --> 00:05:50.000]  我們都嘗試去透過文掃記最後兩章的經文
[00:05:50.000 --> 00:05:56.000]  讓我們去看看當中帶給我們有什麼需要留意的地方
[00:05:56.000 --> 00:06:01.000]  今日我們講道的題目就是關於傳承
[00:06:01.000 --> 00:06:05.000]  這個都是當時的以色列人面對一個問題
[00:06:05.000 --> 00:06:07.000]  就是新一代的以色列人
[00:06:07.000 --> 00:06:10.000]  他們都要面對進入迦南地之後
[00:06:10.000 --> 00:06:14.000]  他們怎樣去將他們先祖的信仰
[00:06:14.000 --> 00:06:17.000]  繼續在一個新的地方裏面傳承下去
[00:06:17.000 --> 00:06:20.000]  我們今日主要會看兩章的經文
[00:06:20.000 --> 00:06:22.000]  我們進入經文之前
[00:06:22.000 --> 00:06:24.000]  我們一起有一個禱告
[00:06:24.000 --> 00:06:26.000]  我們同心祈禱
[00:06:26.000 --> 00:06:27.000]  至愛的天父
[00:06:27.000 --> 00:06:30.000]  我們都求你幫助我們在文掃記裏面
[00:06:30.000 --> 00:06:34.000]  繼續透過35和36章去思想
[00:06:34.000 --> 00:06:39.000]  今日你透過這兩章的經文給我們今天的提醒
[00:06:39.000 --> 00:06:42.000]  讓我們今日去預備我們自己
[00:06:42.000 --> 00:06:45.000]  去進入一個新的地方的時候
[00:06:45.000 --> 00:06:48.000]  我們同樣都是面對信仰怎樣傳承
[00:06:48.000 --> 00:06:50.000]  一個很重要的功課
[00:06:50.000 --> 00:06:54.000]  我相信這個問題不單止是恩福堂面對的
[00:06:54.000 --> 00:06:59.000]  其實很多的教會都是面對著一個傳承的挑戰
