
[00:00:00.000 --> 00:00:02.520]  我們看回《史台行傳》
[00:00:02.520 --> 00:00:06.520]  其實頭五章就講到福音在耶路撒冷
[00:00:06.520 --> 00:00:09.680]  之後就傳到撒瑪利亞
[00:00:09.680 --> 00:00:13.840]  最後傳到地極
[00:00:13.840 --> 00:00:17.720]  當中保羅有三次宣教旅程
[00:00:17.720 --> 00:00:22.200]  就已經講到他完成了這幾個宣教旅程
[00:00:22.200 --> 00:00:24.040]  他就上耶路撒冷
[00:00:24.040 --> 00:00:27.720]  今天就講到他上耶路撒冷過節的時候
[00:00:27.720 --> 00:00:30.560]  被捕和被人拘捕
[00:00:30.560 --> 00:00:31.760]  在逆境裡面
[00:00:31.760 --> 00:00:34.480]  究竟保羅是怎樣去面對呢?
[00:00:34.480 --> 00:00:36.720]  《史台行傳》二十一章
[00:00:36.720 --> 00:00:38.720]  今天我用新漢語譯本
[00:00:38.720 --> 00:00:40.560]  第二十七節講到
[00:00:40.560 --> 00:00:43.800]  在七日之期快要完結
[00:00:43.800 --> 00:00:47.480]  這個七日之期很可能是猶太人的住棚節
[00:00:47.480 --> 00:00:51.080]  是猶太人一個很重要的節期
[00:00:51.080 --> 00:00:55.360]  所有猶太的男性都會上耶路撒冷過節
[00:00:55.360 --> 00:00:58.680]  包括保羅都是上耶路撒冷
[00:00:58.680 --> 00:01:00.680]  但是這裡講到二十七節
[00:01:00.680 --> 00:01:02.680]  七日之期快要完結
[00:01:02.680 --> 00:01:05.840]  從亞西亞尼的猶太人
[00:01:05.840 --> 00:01:08.280]  看到保羅在聖殿裡面
[00:01:08.280 --> 00:01:10.760]  就煽動所有的群眾
[00:01:10.760 --> 00:01:12.240]  向保羅下手
[00:01:12.240 --> 00:01:13.440]  向他下手
[00:01:13.440 --> 00:01:15.800]  就全部人在大喊
[00:01:15.800 --> 00:01:16.680]  喊什麼呢?
[00:01:16.680 --> 00:01:19.160]  各位以色列人
[00:01:19.160 --> 00:01:20.640]  快點來幫忙
[00:01:20.640 --> 00:01:23.960]  這個人保羅四處教導國人
[00:01:23.960 --> 00:01:25.960]  跟民眾跟我們以色列人
[00:01:25.960 --> 00:01:29.240]  跟俄羅斯律法跟這個地方作對
[00:01:29.240 --> 00:01:31.000]  跟我們猶太人作對
[00:01:31.000 --> 00:01:34.160]  而且保羅還將希臘人這些愛邦人
[00:01:34.160 --> 00:01:34.960]  愛族人
[00:01:34.960 --> 00:01:36.320]  帶入聖殿裡面
[00:01:36.320 --> 00:01:38.960]  玷污了這個神聖的地方
[00:01:38.960 --> 00:01:43.000]  為什麼他們給保羅這麼嚴重的指控呢?
[00:01:43.000 --> 00:01:44.800]  如果違背俄羅斯律法
[00:01:44.800 --> 00:01:45.640]  嚴不嚴重?
[00:01:45.640 --> 00:01:46.600]  如果猶太人來說
[00:01:46.600 --> 00:01:47.360]  很嚴重
[00:01:47.360 --> 00:01:49.360]  還要玷污聖殿
[00:01:49.360 --> 00:01:51.160]  真的很嚴重的指控
[00:01:51.160 --> 00:01:53.840]  為什麼他們會這樣去說保羅呢?
[00:01:53.840 --> 00:01:55.840]  29節這裡說到
[00:01:55.840 --> 00:01:58.120]  這個是因為這一幫猶太人
[00:01:58.120 --> 00:02:00.680]  曾經看見以弗所人
[00:02:00.680 --> 00:02:03.840]  特羅非摩和保羅一起在城裡面
[00:02:03.840 --> 00:02:05.200]  在耶路撒冷裡面
[00:02:05.200 --> 00:02:08.200]  就以為保羅將愛邦人
