
[00:00:00.000 --> 00:00:04.000]  多謝敬拜隊帶給我們這麼美好的敬拜詩歌
[00:00:04.000 --> 00:00:06.000]  預備我們的心靈
[00:00:06.000 --> 00:00:08.000]  各位姐妹早安
[00:00:08.000 --> 00:00:15.000]  有一位著名印象派的畫家叫做樊谷
[00:00:15.000 --> 00:00:19.000]  他生前只賣出一幅畫
[00:00:19.000 --> 00:00:25.000]  他一生都被貧困和精神疾病困擾
[00:00:25.000 --> 00:00:30.000]  但他從未放棄對繪畫的熱愛
[00:00:30.000 --> 00:00:38.000]  他畢生的心願就是他的作品能夠被世人理解和欣賞
[00:00:38.000 --> 00:00:42.000]  他去世之後,他的作品逐漸被認可
[00:00:42.000 --> 00:00:48.000]  現在被譽為後印象派大師
[00:00:49.000 --> 00:00:55.000]  他所畫的星夜和向日葵在螢光幕上顯示出來
[00:00:55.000 --> 00:01:00.000]  這兩幅畫成為了人類藝術的貴寶
[00:01:00.000 --> 00:01:12.000]  他的心願是希望在他身後以超越想像的方式達成
[00:01:12.000 --> 00:01:16.000]  我們都看到,確實是達成了
[00:01:17.000 --> 00:01:22.000]  我記得前一兩年去花展
[00:01:22.000 --> 00:01:27.000]  有一個花展的設計
[00:01:27.000 --> 00:01:35.000]  是用樊谷的畫來堆砌出花的樣式
[00:01:35.000 --> 00:01:44.000]  可見人對這位大師的畫都已經深深地接受
[00:01:45.000 --> 00:01:50.000]  被以色列國民愛戴的大衛王
[00:01:50.000 --> 00:01:53.000]  他一生都有一個心願
[00:01:53.000 --> 00:01:58.000]  在他有生的年日,他未能達成這個心願
[00:01:58.000 --> 00:02:04.000]  但他的兒子為他超水準地完成了
[00:02:04.000 --> 00:02:10.000]  今天我們會看看這件事是如何成就的
[00:02:10.000 --> 00:02:13.000]  我們一起來祈禱吧
[00:02:14.000 --> 00:02:17.000]  稱號天父,我們求你引導
[00:02:17.000 --> 00:02:19.000]  我們今天回來敬拜你
[00:02:19.000 --> 00:02:22.000]  我們聆聽你的話語的時候
[00:02:22.000 --> 00:02:26.000]  求你讓我們的內心能夠謙卑
[00:02:26.000 --> 00:02:30.000]  亦有聖靈的引導,讓我們明白聖經
[00:02:30.000 --> 00:02:35.000]  在神的面前,讓我們有聖靈給我們的觸動
[00:02:35.000 --> 00:02:39.000]  讓聽的、說的都一同得著益處
[00:02:39.000 --> 00:02:41.000]  在此我們仰望你
[00:02:41.000 --> 00:02:45.000]  我們禱告奉耶穌的名求,阿們
[00:02:45.000 --> 00:02:49.000]  相信大家在過去的幾週
[00:02:49.000 --> 00:02:55.000]  都聽到《列王記》上四章
[00:02:55.000 --> 00:03:00.000]  已經說了所羅門如何接續大衛做以色列王
[00:03:00.000 --> 00:03:02.000]  神也賜福給所羅門
[00:03:02.000 --> 00:03:10.000]  賜給所羅門有超乎所有人的智慧和榮華
[00:03:10.000 --> 00:03:12.000]  今天我們會說到第五章
