
[00:00:00.000 --> 00:00:02.560]  讓姐妹處於內平安
[00:00:02.560 --> 00:00:06.440]  多謝同宮敬拜隊
[00:00:06.440 --> 00:00:16.280]  多謝同宮敬拜隊帶領我們向神獻上敬拜
[00:00:16.280 --> 00:00:22.400]  亦帶領我們進入思想人與神 人與人
[00:00:22.400 --> 00:00:24.400]  關係隔絕的思考
[00:00:24.400 --> 00:00:27.920]  亦預備我們的心進入聆聽神的話語
[00:00:27.920 --> 00:00:33.200]  我們很感恩仍然可以透過網上敬拜
[00:00:33.200 --> 00:00:35.200]  Stay Connected
[00:00:35.200 --> 00:00:39.440]  但我們相信大家也希望疫情早日受控
[00:00:39.440 --> 00:00:42.240]  我們可以一起實體敬拜
[00:00:42.240 --> 00:00:44.240]  面對面開祖
[00:00:44.240 --> 00:00:48.720]  上星期日繼續不能在街上吃飯
[00:00:48.720 --> 00:00:52.600]  我和太太買了兩個外賣的菜
[00:00:52.600 --> 00:00:54.600]  回家吃晚飯
[00:00:54.600 --> 00:00:56.600]  吃完飯過了一會
[00:00:56.600 --> 00:01:02.200]  太太說剛才吃了一塊生的洋蔥
[00:01:02.200 --> 00:01:06.400]  胃部有點不舒服 正在被攻擊
[00:01:06.400 --> 00:01:09.080]  她說不如吃一顆胃藥
[00:01:09.080 --> 00:01:11.280]  但太太又不想
[00:01:11.280 --> 00:01:13.280]  為了安慰太太
[00:01:13.280 --> 00:01:17.840]  我就說明天要去買洋蔥回來
[00:01:17.840 --> 00:01:19.840]  煮到她很熟
[00:01:19.840 --> 00:01:23.800]  吃了它 因為它令太太不舒服
[00:01:23.800 --> 00:01:25.800]  所以我要對付她
[00:01:25.800 --> 00:01:27.800]  太太笑了
[00:01:27.800 --> 00:01:29.800]  雖然這是一個爛劇
[00:01:29.800 --> 00:01:33.320]  但思路也很合理
[00:01:33.320 --> 00:01:39.200]  有些人令我們自己或我們所愛的人不舒服
[00:01:39.200 --> 00:01:41.200]  我們是受害者
[00:01:41.200 --> 00:01:43.200]  他就是壞蛋
[00:01:43.200 --> 00:01:45.200]  我們要想想怎樣對付他
[00:01:45.200 --> 00:01:47.200]  很正常 很合理
[00:01:47.200 --> 00:01:52.000]  但我現在正在預備
[00:01:52.000 --> 00:01:54.000]  從心裡的遙恕
[00:01:54.000 --> 00:01:58.000]  我是否應該遙恕洋蔥呢
[00:01:58.000 --> 00:02:00.000]  沒錯
[00:02:00.000 --> 00:02:02.000]  我今天要講的題目是
[00:02:02.000 --> 00:02:04.000]  從心裡的遙恕
[00:02:04.000 --> 00:02:07.000]  亦是我們全福音系列的分題
[00:02:07.000 --> 00:02:11.000]  福音讓人關係復和
[00:02:11.000 --> 00:02:16.000]  讓我們透過馬太福音18:21-35
[00:02:16.000 --> 00:02:18.000]  來看看主耶穌有什麼要跟我們說
[00:02:18.000 --> 00:02:23.000]  我們先讀馬太福音18:21-27
[00:02:23.000 --> 00:02:25.000]  1 2 3
[00:02:25.000 --> 00:02:29.000]  那時彼得進前來對耶穌說
[00:02:29.000 --> 00:02:31.000]  主啊 我弟兄得罪我
[00:02:31.000 --> 00:02:33.000]  我當遙恕他幾次呢
[00:02:33.000 --> 00:02:35.000]  到七次夠嗎?
[00:02:35.000 --> 00:02:37.000]  耶穌說 我告訴你
[00:02:37.000 --> 00:02:39.000]  不是到七次 而是到七十個七次
[00:02:39.000 --> 00:02:43.000]  因為天國好像一個王要和他僕人算帳
[00:02:43.000 --> 00:02:45.000]  他開始算的時候
[00:02:45.000 --> 00:02:49.000]  有人帶了一個欠一萬他年得的僕人來
[00:02:49.000 --> 00:02:51.000]  因為他沒有什麼償還之物
[00:02:51.000 --> 00:02:54.000]  主人下令把他和他妻子兒女
[00:02:54.000 --> 00:02:58.000]  以及一切所有的都賣了來償還
[00:02:58.000 --> 00:03:00.000]  那僕人就苦服向他叩頭
[00:03:00.000 --> 00:03:04.000]  說 寬容我吧 我都會還你的
[00:03:04.000 --> 00:03:06.000]  那僕人的主人就動了持心
[00:03:06.000 --> 00:03:10.000]  把他釋放了 並且免了他的債
[00:03:10.000 --> 00:03:14.000]  從一開始21節彼得問主耶穌的問題
[00:03:14.000 --> 00:03:19.000]  可以看到是想問關於遙恕的主題
[00:03:19.000 --> 00:03:21.000]  彼得問主耶穌 如果有人得罪我
[00:03:21.000 --> 00:03:23.000]  我應該遙恕他多少次呢
[00:03:23.000 --> 00:03:25.000]  七次夠不夠啊
[00:03:25.000 --> 00:03:29.000]  彼得為什麼會問用七次來做上限呢
[00:03:29.000 --> 00:03:34.000]  原來在猶太拉比的傳統教導裡面
