
[00:00:00.000 --> 00:00:04.000]  今早六時多的時候下大雨
[00:00:04.000 --> 00:00:06.000]  很怕大家回不來
[00:00:06.000 --> 00:00:07.000]  但很開心很感恩
[00:00:07.000 --> 00:00:13.000]  能夠回到殿裡敬拜天父上帝的一件美事和恩典
[00:00:13.000 --> 00:00:15.000]  大家知不知道明天是什麼日子?
[00:00:15.000 --> 00:00:18.000]  有多少個父親來?舉舉手
[00:00:18.000 --> 00:00:21.000]  也不是很多
[00:00:21.000 --> 00:00:27.000]  我很想祝願所有父親
[00:00:27.000 --> 00:00:29.000]  父親節快樂
[00:00:29.000 --> 00:00:31.000]  因為是一份榮耀
[00:00:31.000 --> 00:00:33.000]  你們的擔子在家裡很重
[00:00:33.000 --> 00:00:35.000]  又要做丈夫顧著家庭
[00:00:35.000 --> 00:00:37.000]  當然現在有些社會是相反的
[00:00:37.000 --> 00:00:38.000]  太太出去工作
[00:00:38.000 --> 00:00:40.000]  我也見過這樣的家庭
[00:00:40.000 --> 00:00:42.000]  丈夫在家裡照顧家庭
[00:00:42.000 --> 00:00:43.000]  這些相當少數
[00:00:43.000 --> 00:00:45.000]  不過擔子不輕
[00:00:45.000 --> 00:00:46.000]  面對工作
[00:00:46.000 --> 00:00:48.000]  又要做父親的責任各方面的事
[00:00:48.000 --> 00:00:50.000]  所以一點都不容易
[00:00:50.000 --> 00:00:53.000]  但說句實在話
[00:00:53.000 --> 00:00:55.000]  做爸爸是很不簡單的
[00:00:55.000 --> 00:00:57.000]  母親永遠都是偉大
[00:00:57.000 --> 00:00:59.000]  我自己親身感受到
[00:00:59.000 --> 00:01:01.000]  不過不要緊
[00:01:01.000 --> 00:01:03.000]  上帝會祝福我們
[00:01:03.000 --> 00:01:06.000]  當我們願意盡上本份
[00:01:06.000 --> 00:01:07.000]  做丈夫
[00:01:07.000 --> 00:01:10.000]  在屬靈上帶領整個家庭的時候
[00:01:10.000 --> 00:01:12.000]  我見過很多個家庭
[00:01:12.000 --> 00:01:14.000]  因為做爸爸的
[00:01:14.000 --> 00:01:17.000]  靠著上帝盡職的時候
[00:01:17.000 --> 00:01:19.000]  上帝會賜福這個家庭
[00:01:19.000 --> 00:01:21.000]  所以你們的角色相當重要
[00:01:21.000 --> 00:01:23.000]  我日日心切為你們祈禱
[00:01:25.000 --> 00:01:27.000]  回到今天的講道
[00:01:27.000 --> 00:01:29.000]  大家看完經文
[00:01:29.000 --> 00:01:31.000]  有沒有感覺到
[00:01:31.000 --> 00:01:33.000]  「根叔,你今天講安息禮信息?」
[00:01:33.000 --> 00:01:37.000]  其實不是的
[00:01:37.000 --> 00:01:40.000]  其實如果大家心水清的時候
[00:01:40.000 --> 00:01:42.000]  你們知道我過去兩三年
[00:01:42.000 --> 00:01:43.000]  因為斷斷續續
[00:01:43.000 --> 00:01:46.000]  都嘗試去講約翰福音
[00:01:46.000 --> 00:01:50.000]  裡面的「七個我事」這個信息
[00:01:50.000 --> 00:01:52.000]  其實今天的講
[00:01:52.000 --> 00:01:55.000]  是「七個我事」裡面的第五講
[00:01:55.000 --> 00:01:56.000]  不知道有沒有機會
[00:01:56.000 --> 00:01:58.000]  日後再繼續跟大家講其餘兩講
[00:01:58.000 --> 00:02:00.000]  所以求上帝為我們開路
[00:02:00.000 --> 00:02:02.000]  講的時候
[00:02:02.000 --> 00:02:05.000]  都很想大家一起重讀這段經文
[00:02:05.000 --> 00:02:11.000]  就是約翰福音十一章的十七到二十七節
[00:02:11.000 --> 00:02:13.000]  如果大家有聖經的話
[00:02:13.000 --> 00:02:14.000]  可以用手記聖經
[00:02:14.000 --> 00:02:17.000]  或者崇拜的周刊裡面的內容
[00:02:17.000 --> 00:02:20.000]  找到的時候我們一起讀出來
[00:02:20.000 --> 00:02:23.000]  約翰福音十一章的十七到二十七節
[00:02:23.000 --> 00:02:24.000]  第十七節開始說
[00:02:24.000 --> 00:02:30.000]  「耶穌到了就知道拉撒路在墳墓裡已經四天了
[00:02:30.000 --> 00:02:33.000]  伯達利尼耶路撒冷不遠
[00:02:33.000 --> 00:02:35.000]  約有六里路
[00:02:35.000 --> 00:02:39.000]  有好些猶太人來看馬大和瑪利亞
[00:02:39.000 --> 00:02:42.000]  要為他們的兄弟安慰他們
[00:02:42.000 --> 00:02:45.000]  馬大聽見耶穌來了
[00:02:45.000 --> 00:02:47.000]  就出去迎接他
[00:02:47.000 --> 00:02:50.000]  瑪利亞卻仍然坐在家裡
[00:02:50.000 --> 00:02:52.000]  馬大對耶穌說
[00:02:52.000 --> 00:02:54.000]  「主啊!祢若早在這裡
[00:02:54.000 --> 00:02:56.000]  我兄弟必不死
[00:02:56.000 --> 00:02:58.000]  就算現在我也知道
[00:02:58.000 --> 00:03:01.000]  祢無論向神求什麼
[00:03:01.000 --> 00:03:03.000]  神也必賜給你」
[00:03:03.000 --> 00:03:04.000]  耶穌說
[00:03:04.000 --> 00:03:07.000]  「你兄弟必然復活」
[00:03:07.000 --> 00:03:08.000]  馬大說
[00:03:08.000 --> 00:03:10.000]  「我知道在末日復活的時候
[00:03:10.000 --> 00:03:12.000]  他必復活」
[00:03:12.000 --> 00:03:14.000]  耶穌對他說
[00:03:14.000 --> 00:03:17.000]  「復活在我,生命也在我
[00:03:17.000 --> 00:03:21.000]  信我的人雖然死了,也必復活
[00:03:21.000 --> 00:03:25.000]  凡活著信我的,必永遠不死
[00:03:25.000 --> 00:03:27.000]  你信這話嗎?」
[00:03:27.000 --> 00:03:28.000]  耶穌說
