
[00:00:00.000 --> 00:00:05.040]  第一姐妹早安 初中都幾多人
[00:00:05.040 --> 00:00:09.720]  好多謝勁派對 詩詩隊 和AVT
[00:00:09.720 --> 00:00:11.720]  可不可以給他們掌聲
[00:00:11.720 --> 00:00:16.000]  我相信星期日大力一點的掌聲
[00:00:16.000 --> 00:00:20.560]  因為我想不是只給他們 也給我們的天父
[00:00:20.560 --> 00:00:24.480]  因為我覺得他們是回應天父給他們的感動
[00:00:24.480 --> 00:00:32.160]  他們在這裡都是早過你們在這裡幫忙設置
[00:00:32.160 --> 00:00:35.720]  令我們很專心敬拜主
[00:00:35.720 --> 00:00:37.720]  多謝他們的付出
[00:00:37.720 --> 00:00:41.680]  感謝天父 有哥哥姐姐在我們當中
[00:00:41.680 --> 00:00:45.560]  幫忙一起在教會裡服事
[00:00:45.560 --> 00:00:47.560]  很鼓勵初中的弟兄姐妹
[00:00:47.560 --> 00:00:50.760]  中二中三都開始想想
[00:00:50.760 --> 00:00:54.760]  究竟我可以在教會裡怎樣幫忙
[00:00:54.760 --> 00:00:56.760]  怎樣付出 一起建立教會
[00:00:56.760 --> 00:01:01.720]  我叫Billy 是大專的傳道
[00:01:01.720 --> 00:01:05.000]  我想初中都很少見面
[00:01:05.000 --> 00:01:10.120]  我也很喜歡初中 因為我以前也是初中的導師
[00:01:10.120 --> 00:01:14.360]  我覺得大家都是很可愛的弟兄姐妹
[00:01:14.360 --> 00:01:18.200]  希望有多點機會認識到
[00:01:18.200 --> 00:01:23.080]  我今天繼續會說聖經人物
[00:01:23.080 --> 00:01:25.080]  我今天會說約書亞
[00:01:25.080 --> 00:01:31.000]  約書亞是聖經描述的戰士
[00:01:31.000 --> 00:01:33.560]  很勇敢 很堅毅的戰士
[00:01:33.560 --> 00:01:36.200]  很多生命特質都很值得學習
[00:01:36.200 --> 00:01:40.200]  經常都說很多正面的東西
[00:01:40.200 --> 00:01:43.640]  其實約書亞是不是真的這麼好
[00:01:43.640 --> 00:01:47.240]  其實他在生命中有沒有一些東西是掙扎的
[00:01:47.240 --> 00:01:51.560]  就像我們這樣 其實都面對生活或內心的一些掙扎
[00:01:51.560 --> 00:01:57.800]  我搜尋了聖經 也找到了
[00:01:57.800 --> 00:02:01.400]  原來他帶領一群以色列人
[00:02:01.400 --> 00:02:06.040]  他不是摩西 他是一個很堅毅很勇敢的
[00:02:06.040 --> 00:02:09.000]  但他當中的性格特質
[00:02:09.000 --> 00:02:17.320]  原來同時他內心也充滿一些比較人性化的表現
[00:02:17.320 --> 00:02:19.320]  或是一些軟弱的地方
[00:02:19.320 --> 00:02:21.320]  可以在聖經中看到
[00:02:21.320 --> 00:02:25.080]  我們一會兒一起進入經文去看看
[00:02:25.080 --> 00:02:31.000]  在說聖經之前 也想分享一下我自己
[00:02:31.000 --> 00:02:33.000]  我做了兩個星期
[00:02:33.000 --> 00:02:37.000]  放假在家中看一套電影
[00:02:37.000 --> 00:02:41.720]  那套電影是一套港產片
[00:02:41.720 --> 00:02:45.640]  是一套所謂黑色幽默的喜劇
[00:02:45.640 --> 00:02:47.640]  有沒有人看過
[00:02:47.640 --> 00:02:49.640]  有導師看過
[00:02:49.640 --> 00:02:51.640]  初中的你可能未必有興趣
[00:02:51.640 --> 00:02:56.120]  那套電影很特別
[00:02:56.120 --> 00:03:00.120]  其實故事很誇張很荒誕
[00:03:00.120 --> 00:03:02.120]  我不說內容了
[00:03:02.120 --> 00:03:06.120]  不過在內容中也能表現到
[00:03:06.120 --> 00:03:10.120]  他當然有諷刺香港的現象
[00:03:10.120 --> 00:03:18.120]  但他同時也在描述人性內心的一些掙扎或軟弱的地方
[00:03:18.120 --> 00:03:22.120]  我覺得在電影中有一個很特別的角色
[00:03:22.120 --> 00:03:26.120]  有一群老人家是信徒
[00:03:26.120 --> 00:03:32.120]  但我也有想 如果一個信徒面對著這麼荒誕的事情
[00:03:32.120 --> 00:03:34.120]  究竟我會怎樣回應呢
