
[00:00:00.000 --> 00:00:04.800]  這首詩歌將我帶到一個很遠的地方
[00:00:04.800 --> 00:00:08.480]  可能是一個復常的詩歌
[00:00:08.480 --> 00:00:11.120]  可能在想有很多的虎杯
[00:00:11.120 --> 00:00:12.400]  有很多的重擔
[00:00:12.400 --> 00:00:15.840]  回顧過去美妙的歲月
[00:00:15.840 --> 00:00:18.080]  如果大家認識潘博華是哪一位
[00:00:18.080 --> 00:00:21.800]  可以想像這首詩歌是在德國的監獄裏面
[00:00:21.800 --> 00:00:22.840]  他所寫的
[00:00:22.840 --> 00:00:26.120]  上帝的虎杯正抵在他的手裏
[00:00:27.000 --> 00:00:30.200]  他亦不會再看到過往的歲月
[00:00:30.200 --> 00:00:36.480]  因為在柏林被解放之前
[00:00:36.480 --> 00:00:38.080]  他已經被希特拉殺了
[00:00:38.080 --> 00:00:43.200]  是一個挺身對抗納粹統治的一個牧者
[00:00:43.200 --> 00:00:45.120]  回顧這首歌
[00:00:45.120 --> 00:00:50.440]  早前知道Roger牧師在中堂唱中文
[00:00:50.440 --> 00:00:51.720]  我家裏聽了很多次
[00:00:51.720 --> 00:00:53.240]  他唱得很好
[00:00:53.240 --> 00:00:54.880]  正如弟兄剛才所說
[00:00:54.880 --> 00:00:57.120]  原來聽到普通話
[00:00:57.120 --> 00:01:00.480]  更加感受到監獄裏面的絕望
[00:01:00.480 --> 00:01:03.280]  以及等候上帝的來臨
[00:01:03.280 --> 00:01:06.760]  世界可能都像這首詩歌所說
[00:01:06.760 --> 00:01:10.960]  邁向一個很期望的復常安排
[00:01:10.960 --> 00:01:13.000]  很想回到以往的歲月
[00:01:13.000 --> 00:01:14.520]  這個可能是很多人的期望
[00:01:14.520 --> 00:01:17.560]  但正當人類剛剛要起步
[00:01:17.560 --> 00:01:20.200]  在上星期我們又聽到困擾了
[00:01:20.200 --> 00:01:23.160]  戰火多年的土耳其和敘利亞
[00:01:23.160 --> 00:01:25.760]  發生了很大的地震
[00:01:25.760 --> 00:01:31.600]  聽新聞說還有二十多萬人未找到
[00:01:31.600 --> 00:01:34.520]  是一個相當龐大和絕望的數字
[00:01:34.520 --> 00:01:39.400]  離世的已經有二萬多人
[00:01:39.400 --> 00:01:43.840]  令人覺得世事無常
[00:01:43.840 --> 00:01:46.600]  面對著鏡頭下面
[00:01:46.600 --> 00:01:50.080]  有一個爸爸握著一個已經離世的女兒
[00:01:50.080 --> 00:01:51.240]  救不出來
[00:01:52.720 --> 00:01:54.400]  親情的可貴
[00:01:54.400 --> 00:01:59.600]  但是這些國家又何時能夠復常呢?
[00:01:59.600 --> 00:02:02.280]  何時能夠回到它美好的歲月呢?
[00:02:02.280 --> 00:02:04.880]  我想以十年計
