
[00:00:00.000 --> 00:00:05.560]  我們五堂崇拜繼續有《仕途行傳》的講道系列
[00:00:05.560 --> 00:00:07.640]  今天的講題是什麼呢?
[00:00:07.640 --> 00:00:12.240]  是「神掌管面對挑戰」的教會
[00:00:12.240 --> 00:00:16.160]  你覺得今天的教會面對的挑戰多不多?
[00:00:16.160 --> 00:00:17.160]  很多吧?
[00:00:17.160 --> 00:00:18.800]  多到說不完
[00:00:18.800 --> 00:00:20.000]  崇拜完也說不完
[00:00:20.000 --> 00:00:21.760]  所以我們不會每個都說
[00:00:21.760 --> 00:00:23.000]  在這麼多挑戰裡面
[00:00:23.000 --> 00:00:26.000]  我們又相信主耶穌是助著為王
[00:00:26.000 --> 00:00:27.440]  是我們教會的元首
[00:00:27.440 --> 00:00:30.760]  究竟耶穌是如何帶領我們
[00:00:30.760 --> 00:00:33.640]  去跨過這麼多教會面對的挑戰呢?
[00:00:33.640 --> 00:00:35.400]  我們繼續看《仕途行傳》
[00:00:35.400 --> 00:00:38.160]  我們看回第一世紀初期的教會
[00:00:38.160 --> 00:00:43.040]  他們其實是不停面對很多的挑戰
[00:00:43.040 --> 00:00:45.000]  我們就從他們身上學習
[00:00:45.000 --> 00:00:47.040]  在這麼多的困難裡面
[00:00:47.040 --> 00:00:48.360]  如何靠著基督
[00:00:48.360 --> 00:00:50.000]  如何靠著神的話
[00:00:50.000 --> 00:00:51.960]  可以跨過這些挑戰呢?
[00:00:51.960 --> 00:00:54.440]  願意我們在《仕途行傳》裡面
[00:00:54.440 --> 00:00:55.640]  拿到一些亮光
[00:00:55.640 --> 00:00:56.560]  一些的 insight
[00:00:56.560 --> 00:00:59.160]  然後應用在我們今天的教會裡面
[00:00:59.160 --> 00:01:02.440]  如何面對這麼多的挑戰
[00:01:02.440 --> 00:01:03.960]  我們一起祈禱吧
[00:01:03.960 --> 00:01:05.560]  親愛的天父
[00:01:05.560 --> 00:01:06.440]  我們感謝祢
[00:01:06.440 --> 00:01:07.920]  賜給我們《仕途行傳》
[00:01:07.920 --> 00:01:09.360]  這麼寶貴的書卷
[00:01:09.360 --> 00:01:11.040]  求祢開我們的眼睛
[00:01:11.040 --> 00:01:12.960]  讓我們看到神祢自己
[00:01:12.960 --> 00:01:14.760]  如何在教會裡面工作
[00:01:14.760 --> 00:01:17.800]  也讓我們從祢的話語裡面
[00:01:17.800 --> 00:01:19.840]  得到智慧和指引
[00:01:19.840 --> 00:01:21.640]  也求祢加力量給教會
[00:01:21.640 --> 00:01:24.200]  去面對現今種種的挑戰
[00:01:24.200 --> 00:01:25.360]  我們祈禱奉耶穌基督
[00:01:25.360 --> 00:01:26.360]  聖命祈求
[00:01:26.360 --> 00:01:27.360]  阿們
[00:01:27.360 --> 00:01:30.440]  好 有一個
[00:01:30.440 --> 00:01:32.720]  計數的問題
[00:01:32.720 --> 00:01:33.720]  就是
[00:01:33.720 --> 00:01:35.880]  初期教會
[00:01:35.880 --> 00:01:41.160]  開頭有多少信徒在一起呢?
[00:01:41.160 --> 00:01:42.920]  最開頭
[00:01:42.920 --> 00:01:46.000]  就是耶穌升天之後
[00:01:46.000 --> 00:01:47.120]  我們先看回上文
[00:01:47.120 --> 00:01:49.600]  就看回《仕途行傳》一章十五節
[00:01:49.600 --> 00:01:51.280]  一章十五節這裡說到
[00:01:51.280 --> 00:01:55.960]  彼得曾在弟兄中間站起來說話
[00:01:55.960 --> 00:02:00.480]  那時和他們一起聚集的人約有一百二十名
[00:02:00.480 --> 00:02:01.600]  所以
[00:02:01.600 --> 00:02:06.600]  最開頭教會的人數就是一百二十
[00:02:06.600 --> 00:02:08.160]  到了第二章
[00:02:08.160 --> 00:02:10.640]  彼得在五重節說到
[00:02:10.640 --> 00:02:14.800]  五重節是猶太人三大節期的其中一個
[00:02:14.800 --> 00:02:17.680]  所有以色列的成年的男人
[00:02:17.680 --> 00:02:20.000]  都要去耶路撒冷過節
[00:02:20.000 --> 00:02:21.240]  就是說
[00:02:21.240 --> 00:02:22.200]  在五重節的時候
[00:02:22.200 --> 00:02:24.080]  耶路撒冷是很多人
[00:02:24.080 --> 00:02:26.160]  也是很多男人
[00:02:26.160 --> 00:02:28.160]  彼得在五重節說到
[00:02:28.160 --> 00:02:30.320]  有多少人信了主呢?
[00:02:30.320 --> 00:02:32.080]  二章四十一節這裡說
[00:02:32.080 --> 00:02:35.360]  領受彼得的話的人都受了洗
[00:02:35.360 --> 00:02:36.800]  就是信了福音
[00:02:36.800 --> 00:02:38.200]  然後立刻受洗
