
[00:00:00.000 --> 00:00:04.040]  我們在教會的節日裡仍然是復活節的節日
[00:00:04.040 --> 00:00:07.120]  先來由詩歌裡說到「數不盡」
[00:00:07.120 --> 00:00:10.160]  人生有很多數不盡的事
[00:00:10.160 --> 00:00:12.840]  可能你想起的就是一些感恩的事
[00:00:12.840 --> 00:00:14.800]  但詩歌裡所說
[00:00:14.800 --> 00:00:18.600]  「數不清我心中的感謝」
[00:00:18.600 --> 00:00:22.360]  「數不清」可能有很多很多的破碎
[00:00:22.360 --> 00:00:25.320]  耶穌復活有一個印記
[00:00:25.320 --> 00:00:27.000]  就像這條詩歌所說
[00:00:27.000 --> 00:00:30.000]  是愛的印記 留下的痕跡
[00:00:30.000 --> 00:00:32.000]  就是一個釘痕的印記
[00:00:32.000 --> 00:00:35.640]  人生很感恩的事 你當然是數不清
[00:00:35.640 --> 00:00:40.480]  但如果有一些是艱難 受傷 困苦
[00:00:40.480 --> 00:00:42.360]  你又會不會感謝呢?
[00:00:42.360 --> 00:00:44.360]  今天一樣我們也透過
[00:00:44.360 --> 00:00:46.520]  繼續我們中堂崇拜的講道系列
[00:00:46.520 --> 00:00:48.880]  《藉著薩姆爾記下》這本書
[00:00:48.880 --> 00:00:50.400]  透過大衛開始
[00:00:50.400 --> 00:00:53.960]  我們認識了不同的君王和一些領袖的生命
[00:00:53.960 --> 00:00:56.960]  反思作為一個屬靈領袖
[00:00:57.040 --> 00:00:59.840]  有什麼特質和品格是值得我們學習的
[00:00:59.840 --> 00:01:02.280]  同樣在我們生命當中有什麼惡行
[00:01:02.280 --> 00:01:04.760]  未見的罪 我們可以引以為鑒
[00:01:04.760 --> 00:01:07.480]  上個星期Ada師母就和我們分享到
[00:01:07.480 --> 00:01:09.960]  大衛和他的兒子亞沙隆之間
[00:01:09.960 --> 00:01:12.640]  父子關係當中的情與義
[00:01:12.640 --> 00:01:15.280]  慈愛和公義之間如何取捨
[00:01:15.280 --> 00:01:17.880]  並且如何在生命當中找到平衡
[00:01:17.880 --> 00:01:20.560]  真正活出上帝的心意
[00:01:20.560 --> 00:01:23.800]  今天我們會進到《薩姆爾記下》的十九章
[00:01:23.800 --> 00:01:25.800]  可以說是一個故事的終結
[00:01:26.800 --> 00:01:29.160]  如果你留意看大衛
[00:01:29.160 --> 00:01:30.680]  其中一個很重要的
[00:01:30.680 --> 00:01:33.200]  就是在《薩姆爾記下》十一章
[00:01:33.200 --> 00:01:36.480]  你記得我們年初開始這個講道系列的時候
[00:01:36.480 --> 00:01:38.760]  就講到他平定天下
[00:01:38.760 --> 00:01:40.800]  他作為以色列的王
[00:01:40.800 --> 00:01:42.800]  出去打仗都不用了
[00:01:42.800 --> 00:01:45.520]  結果就派了他的將領約翰去
[00:01:45.520 --> 00:01:49.640]  自己就太陽平西的時候才起身
[00:01:49.640 --> 00:01:52.000]  接著發生什麼事你知道了
[00:01:52.000 --> 00:01:53.480]  一件的錯事
[00:01:53.480 --> 00:01:55.440]  大衛和拔士巴犯奸淫
[00:01:55.760 --> 00:01:58.480]  一次得罪神和得罪人的事件
[00:01:58.480 --> 00:02:00.400]  引致不單止大衛一家
[00:02:00.400 --> 00:02:03.160]  甚至是整個國家都面對一個
[00:02:03.160 --> 00:02:05.280]  萬劫不復的轉變
