
[00:00:00.000 --> 00:00:02.500]  親愛的各位電影姊妹,你們好
[00:00:02.500 --> 00:00:04.280]  我想問問大家
[00:00:04.280 --> 00:00:08.480]  大家知不知道四月份有什麼節日?
[00:00:08.480 --> 00:00:12.380]  報國節,就有呢?
[00:00:12.380 --> 00:00:14.940]  清明節,就有呢?
[00:00:14.940 --> 00:00:17.880]  對,就有兒童節
[00:00:17.880 --> 00:00:21.740]  就有愚人節
[00:00:21.740 --> 00:00:27.620]  其中有兩個節日是跟人的生命有關的
[00:00:27.920 --> 00:00:34.220]  一個就是中國傳統的節日,清明節
[00:00:34.220 --> 00:00:39.120]  另一個就是基督教的復活節
[00:00:39.120 --> 00:00:47.320]  清明節讓我們懷念先人
[00:00:47.320 --> 00:00:53.220]  想起人無論有多長命
[00:00:53.220 --> 00:00:55.520]  始終我們都會死去
[00:00:55.720 --> 00:00:58.920]  所以清明節的氣氛會怎樣呢?
[00:00:58.920 --> 00:01:04.520]  會比較嚴肅,有傷感
[00:01:04.520 --> 00:01:10.620]  但復活節的氣氛卻是開心的
[00:01:10.620 --> 00:01:12.120]  是快樂的
[00:01:12.120 --> 00:01:16.420]  因為復活節是宣告主耶穌已經復活了
[00:01:16.420 --> 00:01:18.620]  祂戰勝了死亡
[00:01:18.620 --> 00:01:22.420]  祂為世人帶來了永生的盼望
[00:01:23.420 --> 00:01:26.020]  然而對於主耶穌的復活
[00:01:26.020 --> 00:01:29.220]  我們苦心自問
[00:01:29.220 --> 00:01:32.620]  其實我們的信心有多大呢?
[00:01:32.620 --> 00:01:36.020]  我們對於主耶穌復活的信心
[00:01:36.020 --> 00:01:39.220]  有沒有足夠的理性基礎呢?
[00:01:39.220 --> 00:01:45.820]  我們今天就藉著《約翰福音》19章的經文
[00:01:45.820 --> 00:01:47.720]  我們一起去思考一下
[00:01:47.720 --> 00:01:50.020]  耶穌復活的真實性
[00:01:50.020 --> 00:01:52.720]  和祂對我們有什麼意義
[00:01:52.720 --> 00:02:00.520]  我們就一起穿越時空
[00:02:00.520 --> 00:02:05.520]  透過經文回到耶穌釘十字架之後的時空
[00:02:05.520 --> 00:02:09.320]  去看看當時發生過的事情和對話
[00:02:09.320 --> 00:02:16.320]  我們先請弟兄讀出第一節
[00:02:16.320 --> 00:02:17.520]  我請弟兄
[00:02:17.720 --> 00:02:20.720]  七日的第一日
[00:02:20.720 --> 00:02:23.520]  清早天還黑的時候
