
[00:00:00.000 --> 00:00:02.880]  各位北區堂的大兄姊妹
[00:00:02.880 --> 00:00:06.200]  我們很感恩今天可以相聚
[00:00:06.200 --> 00:00:07.720]  大兄姊妹平安
[00:00:07.720 --> 00:00:08.920]  新朋友也平安
[00:00:08.920 --> 00:00:10.120]  早安
[00:00:10.120 --> 00:00:11.080]  很感恩
[00:00:11.080 --> 00:00:12.440]  今天回到這裡
[00:00:12.440 --> 00:00:14.040]  我第一次來很開心
[00:00:14.040 --> 00:00:15.680]  很榮幸可以來這裡
[00:00:15.680 --> 00:00:20.600]  跟大家慶祝第一個母親節的主日
[00:00:20.600 --> 00:00:23.960]  今天可以在這裡為大家好感恩
[00:00:23.960 --> 00:00:26.960]  上個星期我們滿月
[00:00:26.960 --> 00:00:33.600]  好像媽媽看到自己的寶寶滿月的興奮
[00:00:33.600 --> 00:00:36.680]  所以我心裡也很為大家感恩
[00:00:36.680 --> 00:00:38.560]  看到神建立這間教會
[00:00:38.560 --> 00:00:41.920]  還有看到很多大兄姊妹在當中參與服侍
[00:00:41.920 --> 00:00:43.640]  也是很感動
[00:00:43.640 --> 00:00:45.480]  神的愛在這裡
[00:00:45.480 --> 00:00:46.680]  很感動
[00:00:46.680 --> 00:00:48.040]  今天是母親節
[00:00:48.040 --> 00:00:49.760]  我也想問一下
[00:00:49.760 --> 00:00:54.040]  有沒有媽媽在我們當中可以舉手?
[00:00:54.720 --> 00:00:57.080]  是的,很好
[00:00:57.080 --> 00:00:59.320]  各位母親節快樂
[00:00:59.320 --> 00:01:00.560]  我自己也是媽媽
[00:01:00.560 --> 00:01:05.840]  真的很開心今天可以跟大家一起聽神的話
[00:01:05.840 --> 00:01:08.400]  是的,大家也辛苦了
[00:01:08.400 --> 00:01:10.920]  所以很盼望大家都能夠珍惜
[00:01:10.920 --> 00:01:16.360]  今天神給我們媽媽這麼尊貴的身分
[00:01:16.360 --> 00:01:19.440]  我們也一同在聽到之前禱告
[00:01:19.440 --> 00:01:23.000]  慈愛的天父,多謝祢
[00:01:23.000 --> 00:01:25.080]  多謝祢賜給我們生命
[00:01:25.080 --> 00:01:27.400]  無論是北區堂的生命
[00:01:27.400 --> 00:01:29.520]  還是我們孩子的生命
[00:01:29.520 --> 00:01:31.640]  或者是我們自己的生命
[00:01:31.640 --> 00:01:34.480]  不僅給我們生命
[00:01:34.480 --> 00:01:37.760]  也讓我們這個生命可以成長
[00:01:37.760 --> 00:01:42.160]  求祢也幫助孩子今天能夠將道講得清楚
[00:01:42.160 --> 00:01:43.880]  讓全會眾都能夠感受
[00:01:43.880 --> 00:01:47.160]  天父送了這份成長的禮物給我們
[00:01:47.160 --> 00:01:48.560]  是多麼的寶貴
[00:01:48.560 --> 00:01:50.280]  我們祈禱奉主名求
[00:01:50.280 --> 00:01:51.120]  阿門
[00:01:51.840 --> 00:01:54.200]  是的,今天我的講題是
[00:01:54.200 --> 00:01:55.480]  母親節的禮物
[00:01:55.480 --> 00:01:57.600]  誇大的成長
[00:01:57.600 --> 00:01:58.880]  我不知道大家是否認同
[00:01:58.880 --> 00:02:02.880]  孩子的成長是一份很寶貴的禮物
[00:02:02.880 --> 00:02:04.200]  對於媽媽來說
[00:02:04.200 --> 00:02:08.840]  相信我們每一位媽媽都不會忘記
[00:02:08.840 --> 00:02:13.400]  第一次你的胎兒在你的肚子裡
[00:02:13.400 --> 00:02:15.600]  你聽到他的心跳聲
[00:02:15.600 --> 00:02:17.240]  我還很記得那一刻
[00:02:17.240 --> 00:02:19.160]  嘩,很震撼
[00:02:19.160 --> 00:02:22.400]  突然間肚子裡有心跳聲
[00:02:22.400 --> 00:02:26.640]  第一次,孩子在你的肚子裡踢你
[00:02:26.640 --> 00:02:31.640]  第一次,孩子用很可愛的聲音跟你說
[00:02:31.640 --> 00:02:37.200]  媽媽,還記不記得這些時刻
[00:02:37.200 --> 00:02:38.960]  記不記得
[00:02:38.960 --> 00:02:41.240]  我自己就很記得
[00:02:41.240 --> 00:02:44.840]  現在說起來也覺得很溫暖
[00:02:44.840 --> 00:02:47.640]  不過當孩子慢慢地長大
[00:02:47.640 --> 00:02:51.440]  到了兩歲就開始麻煩了
[00:02:51.440 --> 00:02:55.160]  所謂的麻煩
[00:02:55.160 --> 00:02:57.120]  到他們的青春期了
[00:02:57.120 --> 00:02:59.720]  有沒有孩子是青春期的?
[00:02:59.720 --> 00:03:00.920]  有沒有?
[00:03:00.920 --> 00:03:03.880]  我的孩子剛剛過了
[00:03:03.880 --> 00:03:07.440]  或者可能你的孩子要去外地讀書了
[00:03:07.440 --> 00:03:09.440]  或者成家立室了
[00:03:09.440 --> 00:03:10.440]  或者要搬出去住
[00:03:10.440 --> 00:03:13.280]  甚至可能有些孩子要移民了
[00:03:13.280 --> 00:03:14.560]  這些階段的成長
[00:03:14.560 --> 00:03:18.880]  令我們做媽媽的也很失落
[00:03:18.880 --> 00:03:22.680]  不過,就是說孩子沒有離開我們家
[00:03:22.680 --> 00:03:24.360]  還在我們家裡
[00:03:24.360 --> 00:03:26.880]  有時候我們同一屋簷下
[00:03:26.880 --> 00:03:30.520]  都好像大家活在兩個的世界
[00:03:30.520 --> 00:03:32.600]  大家都聽不明白大家
[00:03:32.600 --> 00:03:36.320]  也聽不到大家裡面的心聲
[00:03:36.320 --> 00:03:40.240]  有人說兩代之間就好像這個圖一樣
[00:03:40.240 --> 00:03:46.600]  是怎樣?好像太平洋那麼遠的代溝
[00:03:46.600 --> 00:03:49.120]  今天的《正道經文已忽所書》
[00:03:49.120 --> 00:03:50.400]  六章一至四節
[00:03:50.400 --> 00:03:53.920]  就是要說我們這麼不同的兩代人
[00:03:53.920 --> 00:03:57.080]  怎樣可以拉近大家的距離呢?
[00:03:57.080 --> 00:03:59.280]  而這段經文的上一段
[00:03:59.280 --> 00:04:01.200]  就是說到神設立的婚姻
[00:04:01.200 --> 00:04:05.840]  一男一女同樣都是超級不同的
[00:04:05.840 --> 00:04:06.800]  是不是?
[00:04:06.800 --> 00:04:08.400]  《男女大不同》這本書
[00:04:08.400 --> 00:04:10.040]  大家有沒有看過?
[00:04:10.040 --> 00:04:15.560]  就是說到男和女是來自兩個不同的星球
[00:04:15.560 --> 00:04:19.480]  為什麼神要將這麼不同的人
[00:04:19.480 --> 00:04:21.800]  又男又女,又有這麼多代人
[00:04:21.800 --> 00:04:24.640]  要放在同一個家裡呢?
[00:04:24.640 --> 00:04:26.400]  今天就是透過《已忽所書》
[00:04:26.400 --> 00:04:28.480]  說《合一》這本書
[00:04:28.480 --> 00:04:30.120]  跟大家找出神的心意
[00:04:30.120 --> 00:04:32.000]  作為一份母親節的禮物
[00:04:32.000 --> 00:04:33.800]  很想送給大家
[00:04:33.800 --> 00:04:34.800]  不單送給媽媽
[00:04:34.800 --> 00:04:37.720]  也送給每一個家庭的成員
[00:04:37.720 --> 00:04:40.080]  我先跟大家去看《已忽所書》
[00:04:40.080 --> 00:04:42.680]  四章十一至十三節
[00:04:42.680 --> 00:04:45.760]  那裡說到神賜給教會
[00:04:45.760 --> 00:04:51.040]  有很多不同的恩賜和能力的人
[00:04:51.040 --> 00:04:52.400]  目的是什麼呢?
[00:04:52.400 --> 00:04:54.120]  我們一起讀,好嗎?
[00:04:54.120 --> 00:04:56.680]  讀《螢光幕》
[00:04:56.680 --> 00:04:58.320]  為了什麼呢?
