
[00:00:00.000 --> 00:00:04.000]  人一生只活一次
[00:00:04.000 --> 00:00:09.000]  就好像摩西在詩篇90篇第十節這樣說
[00:00:09.000 --> 00:00:12.000]  我們一生的年日是七十歲
[00:00:12.000 --> 00:00:16.000]  若是強壯的可到八十
[00:00:16.000 --> 00:00:22.000]  不知道你現在活了生命的多少分之幾
[00:00:22.000 --> 00:00:29.000]  三分一?二分一?還是已經是四分三?
[00:00:29.000 --> 00:00:32.000]  無論你的生命去到哪個階段
[00:00:32.000 --> 00:00:35.000]  總有一天會結束的
[00:00:35.000 --> 00:00:38.000]  在短短的數十年之中
[00:00:38.000 --> 00:00:42.000]  你認為人生最寶貴的是什麼呢?
[00:00:42.000 --> 00:00:45.000]  最重要的又是什麼呢?
[00:00:45.000 --> 00:00:49.000]  我在網上看到
[00:00:49.000 --> 00:00:53.000]  人一生裡面最重要的五件事
[00:00:53.000 --> 00:00:56.000]  第一是健康
[00:00:56.000 --> 00:01:00.000]  他說身體是革命的本錢
[00:01:00.000 --> 00:01:03.000]  如果沒有健康強大的身體
[00:01:03.000 --> 00:01:05.000]  很多事你都做不到
[00:01:05.000 --> 00:01:07.000]  也做不好
[00:01:07.000 --> 00:01:09.000]  第二是家人
[00:01:09.000 --> 00:01:11.000]  他說家人的支持很重要
[00:01:11.000 --> 00:01:14.000]  是個人成長和職業成長
[00:01:14.000 --> 00:01:17.000]  提供了強大的力量
[00:01:17.000 --> 00:01:19.000]  第三是朋友
[00:01:19.000 --> 00:01:22.000]  生命裡面有同伴也是很重要的
[00:01:22.000 --> 00:01:26.000]  是自己的啦啦隊
[00:01:26.000 --> 00:01:29.000]  第四是愛和激情
[00:01:29.000 --> 00:01:31.000]  為人能夠帶來動力
[00:01:31.000 --> 00:01:33.000]  無論是人際關係
[00:01:33.000 --> 00:01:35.000]  或者是我們參與不同的活動
[00:01:35.000 --> 00:01:37.000]  我們的興趣
[00:01:37.000 --> 00:01:40.000]  我們有力去繼續去追尋
[00:01:40.000 --> 00:01:42.000]  最後一樣是教育
[00:01:42.000 --> 00:01:44.000]  一有教育有知識
[00:01:44.000 --> 00:01:47.000]  就能夠幫助我們生活有進步
[00:01:47.000 --> 00:01:50.000]  不知道大家覺得怎樣
[00:01:50.000 --> 00:01:53.000]  不過這些確是重要的
[00:01:53.000 --> 00:01:56.000]  但是不是最重要的呢?
[00:01:56.000 --> 00:01:58.000]  我們今天是從
[00:01:58.000 --> 00:02:02.000]  《肥立比書》三章一至十一節去看看
[00:02:02.000 --> 00:02:06.000]  到底什麼是我們人生最重要的
[00:02:06.000 --> 00:02:09.000]  我們先一起禱告吧
[00:02:09.000 --> 00:02:14.000]  天父多謝你
[00:02:14.000 --> 00:02:19.000]  讓我們能夠一起去學習你自己的話語
[00:02:19.000 --> 00:02:22.000]  求你帶領我們以下的時間
[00:02:22.000 --> 00:02:26.000]  讓聽的、說的都能夠被你得著
[00:02:26.000 --> 00:02:29.000]  多謝你聽我們的禱告奉主耶穌名求
[00:02:29.000 --> 00:02:30.000]  阿門
[00:02:30.000 --> 00:02:33.000]  我們先一起讀這段經文
[00:02:33.000 --> 00:02:36.000]  《肥立比書》三章一至十一節
[00:02:36.000 --> 00:02:38.000]  預備起
[00:02:38.000 --> 00:02:41.000]  弟兄們,我還有話說
[00:02:41.000 --> 00:02:44.000]  你們要靠主喜樂
[00:02:44.000 --> 00:02:47.000]  我把這話再捨給你們
[00:02:47.000 --> 00:02:49.000]  於我並不為難
[00:02:49.000 --> 00:02:52.000]  於你們卻是妥當
[00:02:52.000 --> 00:02:55.000]  應當防備犬類
[00:02:55.000 --> 00:02:57.000]  防備作惡的
[00:02:57.000 --> 00:03:00.000]  防備妄自行各的
[00:03:00.000 --> 00:03:02.000]  因為真受各禮的
[00:03:02.000 --> 00:03:09.000]  乃是我們在基督耶穌裡誇口
[00:03:09.000 --> 00:03:12.000]  不靠著肉體的
[00:03:12.000 --> 00:03:15.000]  其實我也可以靠肉體
[00:03:15.000 --> 00:03:19.000]  若是別人想可以靠肉體
[00:03:19.000 --> 00:03:22.000]  我更可以靠著了
[00:03:22.000 --> 00:03:25.000]  我第八天受各禮
[00:03:25.000 --> 00:03:27.000]  我是以色列族
[00:03:27.000 --> 00:03:29.000]  變雅敏支派的人
[00:03:29.000 --> 00:03:33.000]  是希伯來人所生的希伯來人
[00:03:33.000 --> 00:03:35.000]  就律法說
[00:03:35.000 --> 00:03:37.000]  我是法理才人
[00:03:37.000 --> 00:03:39.000]  就熱心說
[00:03:39.000 --> 00:03:41.000]  我是碧巴教會的
[00:03:41.000 --> 00:03:44.000]  就律法上的易說
[00:03:44.000 --> 00:03:47.000]  我是無可指責的
[00:03:47.000 --> 00:03:51.000]  只是我先前以為與我有益的
[00:03:51.000 --> 00:03:56.000]  我現在因基督都當作有損的
[00:03:56.000 --> 00:03:57.000]  不但如此
[00:03:57.000 --> 00:04:01.000]  我也將萬事當作有損的
[00:04:01.000 --> 00:04:06.000]  因我已認識我主耶穌為至寶
[00:04:06.000 --> 00:04:09.000]  我為他已經凋棄萬事
[00:04:09.000 --> 00:04:11.000]  看作糞土
[00:04:11.000 --> 00:04:14.000]  為要得著基督
[00:04:14.000 --> 00:04:17.000]  並且得以在他裡面
[00:04:17.000 --> 00:04:21.000]  不是有自己因律法而得的義
[00:04:21.000 --> 00:04:24.000]  乃是有信基督的義
[00:04:24.000 --> 00:04:27.000]  就是因信神而來的義
[00:04:27.000 --> 00:04:29.000]  使我認識基督
[00:04:29.000 --> 00:04:32.000]  曉得他復活的大能
[00:04:32.000 --> 00:04:36.000]  並且曉得和他一同受苦
[00:04:36.000 --> 00:04:38.000]  效法他的死
[00:04:38.000 --> 00:04:42.000]  或者我也得以從死裡復活
[00:04:42.000 --> 00:04:44.000]  謝謝
[00:04:44.000 --> 00:04:47.000]  其實這段時間
[00:04:47.000 --> 00:04:49.000]  我一直在說《肥勒比書》
[00:04:49.000 --> 00:04:52.000]  所以很想和大家重溫一下《肥勒比書》
[00:04:52.000 --> 00:04:53.000]  在第一、二章
