
[00:00:00.000 --> 00:00:03.520]  很感謝神,今天有機會在大家當中來分享神的訊息
[00:00:03.520 --> 00:00:07.440]  有一點心情比較特別一點
[00:00:07.440 --> 00:00:13.200]  因為今天是我在恩福堂崇拜最後一個伏事
[00:00:13.200 --> 00:00:15.520]  下星期我就退休了
[00:00:15.520 --> 00:00:17.320]  願神去祝福大家
[00:00:17.320 --> 00:00:24.280]  神是很有恩典的
[00:00:24.280 --> 00:00:29.240]  當我知道我是最後一天崇拜
[00:00:29.440 --> 00:00:31.120]  神給了我一篇這樣的訊息
[00:00:31.120 --> 00:00:34.120]  其實這篇訊息對我來說是很大激勵的
[00:00:34.120 --> 00:00:37.880]  因為它是說到八十五歲的迦勒
[00:00:37.880 --> 00:00:40.280]  他是怎樣來伏事神
[00:00:40.280 --> 00:00:41.800]  讓我們一起祈禱
[00:00:41.800 --> 00:00:44.920]  求神預備我們的心來領受祂自己的說話
[00:00:44.920 --> 00:00:47.880]  參加這次我們感謝祢
[00:00:47.880 --> 00:00:50.400]  帶領我們今天有生命氣息
[00:00:50.400 --> 00:00:53.240]  回到祢的家裡來敬拜祢
[00:00:53.240 --> 00:00:58.200]  神求祢真是使用孩子在祢面前的領受
[00:00:58.640 --> 00:01:03.160]  又讓這篇訊息成為我們弟兄姊妹彼此的激勵
[00:01:03.160 --> 00:01:06.000]  讓我們同行在神的角度裡面
[00:01:06.000 --> 00:01:08.320]  能夠為神打美好的仗
[00:01:08.320 --> 00:01:10.080]  帶領我們以下時間
[00:01:10.080 --> 00:01:11.640]  預備我們眾人的心
[00:01:11.640 --> 00:01:13.120]  聽我的祈禱
[00:01:13.120 --> 00:01:15.280]  是奉耶穌基督得勝民求
[00:01:15.280 --> 00:01:16.160]  阿們
[00:01:16.160 --> 00:01:19.000]  在開始講到詩詩
[00:01:19.000 --> 00:01:21.520]  我想跟大家一起去讀一讀這段經文
[00:01:21.520 --> 00:01:26.240]  今天所講到的經文來自《約書亞記》第十四章
[00:01:26.240 --> 00:01:28.320]  第六到第十五節
[00:01:28.720 --> 00:01:34.200]  我想請弟兄們先讀《約書亞記》的十四章
[00:01:34.200 --> 00:01:35.720]  六到九節
[00:01:35.720 --> 00:01:38.720]  姐妹就讀十到十五節
[00:01:38.720 --> 00:01:41.320]  我們一起去讀這個經文
[00:01:41.320 --> 00:01:44.800]  弟兄們
[00:01:44.800 --> 00:01:45.920]  預備起
[00:01:45.920 --> 00:01:51.080]  「猶大的子孫來到吉甲見約書亞
[00:01:51.080 --> 00:01:57.080]  幾利洗人耶夫利的兒子迦納對約書亞說
[00:01:57.480 --> 00:02:02.200]  耶和華在迦底斯巴尼亞對神人摩西所說
[00:02:02.200 --> 00:02:04.200]  關於你和我的話
[00:02:04.200 --> 00:02:06.360]  你自己是知道的
[00:02:06.360 --> 00:02:11.640]  耶和華對的僕人摩西從迦底斯巴尼亞
[00:02:11.640 --> 00:02:15.160]  派我去偵察這地的時候
[00:02:15.160 --> 00:02:16.920]  我是四十歲
[00:02:16.920 --> 00:02:19.920]  我誠實地向他回報
[00:02:19.920 --> 00:02:22.960]  雖然與我一同上去的
[00:02:22.960 --> 00:02:26.920]  眾弟兄使人民心裡驚不懼
[00:02:27.240 --> 00:02:30.480]  我卻完全順從耶和華我的神
[00:02:30.480 --> 00:02:33.080]  那時摩西起誓說
[00:02:33.080 --> 00:02:35.320]  你腳踏過的地
[00:02:35.320 --> 00:02:40.080]  都必歸你和你的子孫作為產業
[00:02:40.080 --> 00:02:41.680]  直到永遠
[00:02:41.680 --> 00:02:45.800]  因為你完全順從耶和華我的神」
[00:02:45.800 --> 00:02:46.760]  請姐妹
