
[00:00:00.000 --> 00:00:05.000]  好,在聽到的時候我們都一起同心祈禱
[00:00:05.000 --> 00:00:09.000]  好,親愛的天父多謝你帶領我們有平安的腳步回來
[00:00:09.000 --> 00:00:15.000]  今天早上我們又安坐,又靜心聆聽你的話語的時候
[00:00:15.000 --> 00:00:18.000]  我們懇求聖靈藉著神的話語
[00:00:18.000 --> 00:00:23.000]  親自對我們每一個人的心靈來說話
[00:00:23.000 --> 00:00:26.000]  讓我們通過神的話語,你的訊息
[00:00:26.000 --> 00:00:29.000]  我們的心靈得到你鼓舞
[00:00:29.000 --> 00:00:33.000]  我們的信心得到你更加的加力
[00:00:33.000 --> 00:00:36.000]  讓我們人生更加有力
[00:00:36.000 --> 00:00:40.000]  向著你給我們美好的應許目標來邁進
[00:00:40.000 --> 00:00:42.000]  願祢祝福帶領以下時間
[00:00:42.000 --> 00:00:46.000]  我們誠心禱告奉耶穌基督的名求,阿們
[00:00:46.000 --> 00:00:50.000]  好,頂姐妹我想問一下
[00:00:50.000 --> 00:00:56.000]  最近全城最狂熱的是有什麼活動?
[00:00:56.000 --> 00:01:00.000]  世界盃,是的
[00:01:00.000 --> 00:01:03.000]  現在正在進行得如火如荼
[00:01:03.000 --> 00:01:06.000]  大家喜不喜歡看球賽?
[00:01:06.000 --> 00:01:10.000]  喜歡?聲音都挺多的
[00:01:10.000 --> 00:01:15.000]  每四年一度全世界的人都關注
[00:01:15.000 --> 00:01:19.000]  叫人看得熱血沸騰
[00:01:19.000 --> 00:01:24.000]  各個國家的隊伍為了奪金牌
[00:01:24.000 --> 00:01:28.000]  精彩的賽事會經過年的苦戰
[00:01:28.000 --> 00:01:31.000]  一分一分的去爭取
[00:01:31.000 --> 00:01:39.000]  這些比賽都是技術、智慧、耐力和鬥志的比拼
[00:01:39.000 --> 00:01:42.000]  成為世界頂尖的球隊
[00:01:42.000 --> 00:01:46.000]  或者是成為最有價值的球員的光輝燦爛的背後
[00:01:46.000 --> 00:01:51.000]  是有著他們所付出的生命和血汗的代價
[00:01:51.000 --> 00:01:54.000]  當他們奪到金牌
[00:01:54.000 --> 00:01:57.000]  或者是達成這個金牌夢的時候
[00:01:57.000 --> 00:02:01.000]  他們的心底是何等的快樂
[00:02:01.000 --> 00:02:07.000]  我們在周邊的人也都很佩服這些運動場上的精英
[00:02:07.000 --> 00:02:11.000]  今天我跟大家說一下
[00:02:11.000 --> 00:02:16.000]  神國道中一位夢想成真的精英
[00:02:16.000 --> 00:02:18.000]  就是迦勒
[00:02:20.000 --> 00:02:26.000]  今天我們要看的經文是在約書亞記
[00:02:26.000 --> 00:02:30.000]  十四章六至十五節
