
[00:00:00.000 --> 00:00:01.480]  各位定姐妹
[00:00:01.480 --> 00:00:02.980]  接下來
[00:00:02.980 --> 00:00:06.320]  會有聖誕節
[00:00:06.320 --> 00:00:10.040]  今天是張臨期我們迎接主耶穌降臨的第一天
[00:00:10.040 --> 00:00:13.940]  其實在我們的社會裏面
[00:00:13.940 --> 00:00:17.440]  在不同的節日前夕
[00:00:17.440 --> 00:00:20.380]  很多時候不知道大家有沒有見到商場商戶
[00:00:20.380 --> 00:00:24.260]  都推出一個叫做期間限定的優惠
[00:00:24.260 --> 00:00:25.260]  大家有沒有見過
[00:00:25.260 --> 00:00:28.960]  或者已經在留意或者已經在撲
[00:00:29.400 --> 00:00:33.300]  這些期間限定有什麼特點
[00:00:33.300 --> 00:00:36.940]  有什麼特點要留意
[00:00:36.940 --> 00:00:38.440]  第一一定是
[00:00:38.440 --> 00:00:40.160]  划算
[00:00:40.160 --> 00:00:43.960]  一定是有一些特價優惠
[00:00:43.960 --> 00:00:47.680]  第二限定是怎樣
[00:00:47.680 --> 00:00:51.240]  特別一點 矜貴一點
[00:00:51.240 --> 00:00:53.920]  可能包裝設計各方面
[00:00:53.920 --> 00:00:55.460]  是不同一點
[00:00:55.460 --> 00:00:57.720]  所以因為這麼矜貴的緣故
[00:00:57.720 --> 00:00:59.220]  我們要怎麼做才行
[00:01:00.220 --> 00:01:02.180]  要去撲
[00:01:02.180 --> 00:01:04.620]  很多時候這些優惠一推出
[00:01:04.620 --> 00:01:07.040]  就會引來排長龍
[00:01:07.040 --> 00:01:09.620]  或者去等 去撲
[00:01:09.620 --> 00:01:10.880]  或者搭人馬
[00:01:10.880 --> 00:01:13.300]  目的就是要買得到
[00:01:13.300 --> 00:01:15.640]  很怕去撿書
[00:01:15.640 --> 00:01:19.760]  或者很怕手快有手慢沒有
[00:01:19.760 --> 00:01:22.500]  所以我們習慣了
[00:01:22.500 --> 00:01:24.800]  我們有一些好東西推出
[00:01:24.800 --> 00:01:26.800]  我們就要去搶
[00:01:27.060 --> 00:01:29.060]  去找 去搶
[00:01:29.060 --> 00:01:31.060]  我們才能得到
[00:01:31.060 --> 00:01:34.620]  今天我們分享正道的經文
[00:01:34.620 --> 00:01:36.620]  是在初一及二十六章
[00:01:36.620 --> 00:01:41.120]  這段經文其實我早在一兩個月前已經領受
[00:01:41.120 --> 00:01:44.160]  但隨著我們近日所遭遇的事
[00:01:44.160 --> 00:01:47.860]  我仍然相信神今天就要向我們每一個人說話
[00:01:47.860 --> 00:01:48.360]  好嗎
[00:01:48.360 --> 00:01:48.800]  弟兄姊妹
[00:01:48.800 --> 00:01:51.060]  我們一同領受神的說話
[00:01:51.060 --> 00:01:52.960]  在這段經文裡面
[00:01:52.960 --> 00:01:56.760]  其實都講述了一次期間限定
[00:01:57.760 --> 00:01:59.760]  但這個限定就發生在
[00:01:59.760 --> 00:02:01.760]  並不是一個節日
[00:02:01.760 --> 00:02:06.460]  而是在曠野裡面發生的期間限定
[00:02:06.460 --> 00:02:09.260]  讓我們一同進入這個經文裡面
[00:02:09.260 --> 00:02:09.760]  好嗎
[00:02:09.760 --> 00:02:12.760]  請弟兄姊妹一同讀出經文
[00:02:12.760 --> 00:02:13.760]  經文比較長
[00:02:13.760 --> 00:02:16.260]  但願意我們都投入在當中
[00:02:16.260 --> 00:02:17.260]  預備起
[00:02:18.260 --> 00:02:23.260]  (以色列傳媒眾在曠野向摩西和亞倫發怨言)
[00:02:23.260 --> 00:02:25.260]  (以色列人對他們說)
[00:02:25.260 --> 00:02:29.260]  (我們寧願在埃及地死在耶和華手中)
[00:02:29.260 --> 00:02:33.260]  (那時我們坐在浴窩旁吃餅得飽)
[00:02:33.260 --> 00:02:35.260]  (你們卻不肯吃)
[00:02:35.260 --> 00:02:37.260]  (以色列人對他們說)
[00:02:37.260 --> 00:02:41.260]  (我們寧願在埃及地死在耶和華手中)
[00:02:41.260 --> 00:02:45.260]  (那時我們坐在浴窩旁吃餅得飽)
[00:02:45.260 --> 00:02:47.260]  (你們卻不肯吃)
[00:02:47.260 --> 00:02:49.260]  (以色列人對他們說)
[00:02:49.260 --> 00:02:53.260]  (我們寧願在埃及地死在耶和華手中)
[00:02:53.260 --> 00:02:57.260]  (那時我們坐在浴窩旁吃餅得飽)
[00:02:57.260 --> 00:02:59.260]  (你們卻不肯吃)
[00:02:59.260 --> 00:03:01.260]  (以色列人對他們說)
[00:03:01.260 --> 00:03:05.260]  (我們寧願在埃及地死在耶和華手中)
[00:03:05.260 --> 00:03:09.260]  (那時我們坐在浴窩旁吃餅得飽)
[00:03:09.260 --> 00:03:11.260]  (你們卻不肯吃)
[00:03:11.260 --> 00:03:13.260]  (以色列人對他們說)
[00:03:13.260 --> 00:03:15.260]  (我們收集的份量)
[00:03:15.260 --> 00:03:17.260]  (要比每天所收的多一倍)
[00:03:17.260 --> 00:03:21.260]  (摩西和亞倫對以色列眾人說)
[00:03:21.260 --> 00:03:23.260]  (到了晚上)
[00:03:23.260 --> 00:03:25.260]  (你們不想知道)
[00:03:25.260 --> 00:03:27.260]  (以色列和亞倫將會)
[00:03:27.260 --> 00:03:29.260]  (重大地毀滅基督教國際)
[00:03:29.260 --> 00:03:31.260]  (早上你們會看到)
[00:03:31.260 --> 00:03:33.260]  (以色列和亞倫在地面)
[00:03:33.260 --> 00:03:35.260]  (將會在地和亞倫的面前)
[00:03:35.260 --> 00:03:37.260]  (向埃及和亞倫的面前)
[00:03:37.260 --> 00:03:39.260]  (說出真話)
[00:03:39.260 --> 00:03:41.260]  (你們會看到)
[00:03:41.260 --> 00:03:43.260]  (摩西又說)
[00:03:43.260 --> 00:03:46.260]  (耶和華晚上必給你們浴吃)
[00:03:46.260 --> 00:03:49.260]  (早上必給你們食物得飽)
[00:03:49.260 --> 00:03:51.260]  (因為耶和華已經聽見)
[00:03:51.260 --> 00:03:54.260]  (你們向他所發的怨言)
[00:03:54.260 --> 00:03:56.260]  (我們算什麼呢)
[00:03:56.260 --> 00:03:59.260]  (你們的怨言不是向我們發的)
[00:03:59.260 --> 00:04:01.260]  (而是向耶和華發的)
[00:04:01.260 --> 00:04:03.260]  (摩西對亞倫說)
[00:04:03.260 --> 00:04:05.260]  (你對以色列傳媒眾說)
[00:04:05.260 --> 00:04:08.260]  (你們來到耶和華面前)
[00:04:08.260 --> 00:04:11.260]  (因為他已經聽見你們的怨言)
[00:04:11.260 --> 00:04:15.260]  (亞倫正對以色列傳媒眾說話的時候)
[00:04:15.260 --> 00:04:17.260]  (他們轉向曠野)
[00:04:17.260 --> 00:04:21.260]  (看那耶和華的榮光在雲中顯現)
[00:04:21.260 --> 00:04:24.260]  (耶和華吩咐摩西說)
[00:04:24.260 --> 00:04:28.260]  (我已經聽見以色列人的怨言了)
[00:04:28.260 --> 00:04:31.260]  (到黃昏的時候)
[00:04:31.260 --> 00:04:33.260]  (你們要吃肉)
[00:04:33.260 --> 00:04:36.260]  (早上也必有食物得飽)
[00:04:36.260 --> 00:04:40.260]  (你們就知道我是耶和華你們的神)
[00:04:40.260 --> 00:04:42.260]  (好,謝謝大家)
[00:04:42.260 --> 00:04:48.260]  以色列傳媒眾在曠野上
[00:04:48.260 --> 00:04:53.260]  其實經文發生的時間和地點在哪裡呢?
[00:04:53.260 --> 00:04:58.260]  是在他們出埃及之後兩個多月的時間
[00:04:58.260 --> 00:05:01.260]  在一個曠野上
[00:05:02.260 --> 00:05:08.260]  當時以色列傳媒眾向摩西和亞倫發怨言
[00:05:08.260 --> 00:05:12.260]  他說我們寧願死在埃及地
[00:05:12.260 --> 00:05:14.260]  在神的手中
[00:05:14.260 --> 00:05:16.260]  我們寧願死
[00:05:16.260 --> 00:05:20.260]  因為那時候起碼我們可以坐在肉窩旁
[00:05:20.260 --> 00:05:22.260]  吃餅得飽
[00:05:22.260 --> 00:05:24.260]  有肉吃,有餅吃
[00:05:24.260 --> 00:05:26.260]  但是你們卻將我領出來
[00:05:26.260 --> 00:05:28.260]  來到這個曠野
[00:05:28.260 --> 00:05:31.260]  要叫我們全部會眾都要餓死
[00:05:32.260 --> 00:05:36.260]  曠野是他們發怨言的開始
[00:05:36.260 --> 00:05:40.260]  曠野實在帶給我們信心的考驗
[00:05:40.260 --> 00:05:43.260]  挑戰他們的是沒有東西吃
[00:05:43.260 --> 00:05:45.260]  所以他們發怨言
[00:05:45.260 --> 00:05:48.260]  其實他們發怨言
[00:05:48.260 --> 00:05:50.260]  在這段經文
[00:05:50.260 --> 00:05:55.260]  一共有七次出現
[00:05:55.260 --> 00:05:58.260]  怨言這個詞有七次出現
[00:05:58.260 --> 00:06:00.260]  怨言是什麼意思?
[00:06:00.260 --> 00:06:02.260]  不知道大家有沒有發過怨言
[00:06:02.260 --> 00:06:07.260]  有沒有人告訴我沒有發過怨言?
[00:06:07.260 --> 00:06:13.260]  怨言可以是以吟吟細細聲說的
[00:06:13.260 --> 00:06:18.260]  也可以是大大聲去罵和不滿的
[00:06:18.260 --> 00:06:21.260]  怨言是埋怨,是抱怨
[00:06:21.260 --> 00:06:24.260]  是發牢騷,是發脾氣
[00:06:24.260 --> 00:06:30.260]  也是受苦,訴苦,投訴,甚至責怪
[00:06:30.260 --> 00:06:35.260]  如果我們停留在怨言當中,埋怨當中的話
[00:06:35.260 --> 00:06:37.260]  有一個引伸的意思
[00:06:37.260 --> 00:06:41.260]  就是我們好像住在怨言裡面
[00:06:41.260 --> 00:06:44.260]  停留在這種不滿的狀態裡面
[00:06:44.260 --> 00:06:51.260]  其實他們在這段經文來發怨言
[00:06:51.260 --> 00:06:54.260]  但並不是他們第一次來發怨言
[00:06:54.260 --> 00:06:56.260]  這裡是十六章
[00:06:56.260 --> 00:06:59.260]  在上文十五章二十二至二十五節
[00:06:59.260 --> 00:07:02.260]  當時他們在紅海離開的時候
[00:07:02.260 --> 00:07:04.260]  去到哪個地方?
[00:07:04.260 --> 00:07:05.260]  他們沒有水喝
[00:07:05.260 --> 00:07:08.260]  仍然在礦野,在以林附近
[00:07:08.260 --> 00:07:10.260]  沒有水喝
[00:07:10.260 --> 00:07:12.260]  因為當時的水在那裡
[00:07:12.260 --> 00:07:13.260]  本來水是苦的
[00:07:13.260 --> 00:07:15.260]  所以他們沒有水喝
[00:07:15.260 --> 00:07:18.260]  因為沒有水喝,他們就發怨言
[00:07:18.260 --> 00:07:20.260]  於是摩西圍土告
[00:07:20.260 --> 00:07:22.260]  然後他們按神的吩咐
[00:07:22.260 --> 00:07:23.260]  把樹丟進水裡
[00:07:23.260 --> 00:07:26.260]  水就變甜了
[00:07:26.260 --> 00:07:28.260]  於是他們有水喝
[00:07:28.260 --> 00:07:32.260]  之前他們因為沒有水喝而發出埋怨
[00:07:32.260 --> 00:07:34.260]  到了十六章這裡
[00:07:34.260 --> 00:07:37.260]  他們因為沒有東西吃而發出埋怨
[00:07:37.260 --> 00:07:40.260]  弟兄姊妹
[00:07:40.260 --> 00:07:42.260]  你試過埋怨吧
[00:07:42.260 --> 00:07:43.260]  我相信
