
[00:00:00.000 --> 00:00:03.560]  首先我不如介紹一下自己吧
[00:00:03.560 --> 00:00:04.560]  我是Edith
[00:00:04.560 --> 00:00:05.960]  Edith傳道
[00:00:05.960 --> 00:00:09.400]  第一次跟大家分享神話
[00:00:09.400 --> 00:00:12.760]  希望今天可以準時
[00:00:12.760 --> 00:00:14.200]  大家不用擔心
[00:00:14.200 --> 00:00:15.400]  我曾經練習
[00:00:15.400 --> 00:00:16.400]  還有
[00:00:16.400 --> 00:00:17.720]  該怎麼說呢
[00:00:17.720 --> 00:00:20.040]  我也是在以洛
[00:00:20.040 --> 00:00:21.480]  有沒有以洛的弟兄姊妹
[00:00:21.480 --> 00:00:22.320]  樣樣相
[00:00:22.320 --> 00:00:23.120]  Yeah
[00:00:23.120 --> 00:00:23.680]  吸力
[00:00:23.680 --> 00:00:25.960]  我是在以洛成長的
[00:00:25.960 --> 00:00:28.360]  也是在蒙召
[00:00:28.360 --> 00:00:30.280]  也是X的弟兄姊妹
[00:00:30.280 --> 00:00:31.480]  又樣樣相
[00:00:31.480 --> 00:00:32.480]  是
[00:00:32.480 --> 00:00:34.960]  這個X字其實一點也不陌生
[00:00:34.960 --> 00:00:37.040]  因為迪Sir最喜歡的是
[00:00:37.040 --> 00:00:38.920]  EX什麼什麼
[00:00:38.920 --> 00:00:41.800]  我們以前對敬拜的隊伍就叫做Exalters
[00:00:41.800 --> 00:00:43.040]  同樣原因
[00:00:43.040 --> 00:00:44.560]  也是將我們的自我
[00:00:44.560 --> 00:00:47.000]  放在十字架的底下
[00:00:47.000 --> 00:00:48.560]  然後我們一起學
[00:00:48.560 --> 00:00:50.160]  怎麼背負十架
[00:00:50.160 --> 00:00:51.480]  跟隨著人數
[00:00:51.480 --> 00:00:54.600]  大家都看到我穿了這件什麼衣服
[00:00:54.600 --> 00:00:56.000]  Hoplite的衣服
[00:00:56.000 --> 00:00:57.760]  其實不是我的
[00:00:57.760 --> 00:00:58.760]  是我先生的
[00:00:58.760 --> 00:01:00.000]  我先生是Watchman
[00:01:00.000 --> 00:01:02.000]  他以前戴的那一組
[00:01:02.000 --> 00:01:04.320]  就是叫基督的精兵Hoplite
[00:01:04.320 --> 00:01:06.600]  所以其實我們也是
