
[00:00:00.000 --> 00:00:02.000]  鄧英哲你好
[00:00:02.000 --> 00:00:06.500]  很感謝競拜隊帶領我們競拜
[00:00:06.500 --> 00:00:09.000]  我不知道你們有什麼感受
[00:00:09.000 --> 00:00:11.000]  我剛才很感動
[00:00:11.000 --> 00:00:21.000]  一開始主席說你會不會希望我們一齊競拜
[00:00:21.000 --> 00:00:24.000]  其實真的不是那麼
[00:00:24.000 --> 00:00:27.000]  我想大家都知道近來疫情
[00:00:27.000 --> 00:00:32.000]  不知道會不會實體聚會
[00:00:32.000 --> 00:00:38.000]  我想大家都好好珍惜一切競拜主的時間
[00:00:38.000 --> 00:00:40.000]  我也介紹一下自己
[00:00:40.000 --> 00:00:43.000]  因為我今天第一次實體跟大家講道
[00:00:43.000 --> 00:00:45.000]  我叫Billy
[00:00:45.000 --> 00:00:48.000]  主要是負責大專團契的傳道
[00:00:48.000 --> 00:00:52.000]  因為我上次應該是我剛剛入職
[00:00:52.000 --> 00:00:54.000]  在3月的時候跟大家
[00:00:54.000 --> 00:00:57.000]  在YouTube那時候講道
[00:00:57.000 --> 00:00:59.000]  那時候還在直播
[00:00:59.000 --> 00:01:01.000]  我想我很開心的
[00:01:01.000 --> 00:01:05.000]  還有一點興奮跟大家實體講道
[00:01:05.000 --> 00:01:07.000]  雖然都是有一點緊張
[00:01:07.000 --> 00:01:10.000]  但是我覺得實體講道
[00:01:10.000 --> 00:01:12.000]  我覺得感受真的很不同
[00:01:12.000 --> 00:01:16.000]  能夠和實體有什麼眼目接觸
[00:01:16.000 --> 00:01:20.000]  青少崇拜每個月都有不同的主題
[00:01:20.000 --> 00:01:22.000]  上個月記得是什麼嗎
[00:01:22.000 --> 00:01:25.000]  是擁抱別人生命的能力
[00:01:25.000 --> 00:01:27.000]  而這個月的主題
[00:01:27.000 --> 00:01:30.000]  是由福音到牧養同行
[00:01:30.000 --> 00:01:32.000]  而今天我要講的主題
[00:01:32.000 --> 00:01:35.000]  是要以心的同行
[00:01:35.000 --> 00:01:37.000]  今天講的經文
[00:01:37.000 --> 00:01:39.000]  是新的裡面提摩太後書
[00:01:39.000 --> 00:01:41.000]  一章三至七節
[00:01:41.000 --> 00:01:44.000]  我們會看看聖經裡面
[00:01:44.000 --> 00:01:48.000]  保羅和提摩太一段牧養同行的關係
[00:01:48.000 --> 00:01:50.000]  上帝藉著保羅的書信
[00:01:50.000 --> 00:01:52.000]  去提醒我們今天
[00:01:52.000 --> 00:01:55.000]  我們教會團契的生活裡面
[00:01:55.000 --> 00:01:58.000]  有什麼提醒和鼓勵
[00:01:58.000 --> 00:01:59.000]  剛剛講了
[00:01:59.000 --> 00:02:01.000]  我們今天要看的經文就是新的裡面
[00:02:01.000 --> 00:02:04.000]  提摩太後書一章三至七節
[00:02:04.000 --> 00:02:06.000]  在大家讀經文之前
