
[00:00:00.000 --> 00:00:02.640]  再次向頂姐妹們說聲午安
[00:00:02.640 --> 00:00:03.840]  午安
[00:00:03.840 --> 00:00:05.520]  今天我們要思想的經文
[00:00:05.520 --> 00:00:09.640]  是記載在詩篇的第138篇1至8節
[00:00:09.640 --> 00:00:13.660]  我很想邀請姐妹們幫我們讀出
[00:00:13.660 --> 00:00:16.420]  第1至第3節
[00:00:16.420 --> 00:00:19.260]  然後第4至6節請弟兄讀
[00:00:19.260 --> 00:00:21.800]  最後那一版由我讀出
[00:00:21.800 --> 00:00:24.940]  預備起
[00:00:24.940 --> 00:00:29.100]  大衛的詩 我要一心稱謝你
[00:00:29.100 --> 00:00:32.340]  在諸神面前歌頌你
[00:00:32.340 --> 00:00:35.500]  我要向你的聖殿下拜
[00:00:35.500 --> 00:00:38.740]  我要因你的慈愛和信實
[00:00:38.740 --> 00:00:40.580]  重揚你的名
[00:00:40.580 --> 00:00:45.280]  因你使你的名和你的言語顯為大
[00:00:45.280 --> 00:00:47.160]  超乎一切
[00:00:47.160 --> 00:00:50.760]  我呼求的日子 你應允我
[00:00:50.760 --> 00:00:54.120]  使我壯膽 心裡有能力
[00:00:54.120 --> 00:00:55.560]  弟兄
[00:00:55.560 --> 00:01:00.200]  你讓我 被上帝安排 高高以至聖聖
[00:01:00.200 --> 00:01:04.000]  讓我 向你傳授 神聖的傳承
[00:01:04.000 --> 00:01:07.540]  讓我 向你傳授 神聖的傳承
[00:01:07.540 --> 00:01:10.380]  讓我 向你傳授 神聖的傳承
[00:01:10.380 --> 00:01:12.580]  讓我 向你傳授 神聖的傳承
[00:01:12.580 --> 00:01:14.940]  向我 向你傳授 神聖的傳承
[00:01:14.940 --> 00:01:16.220]  讓我 向你傳授 神聖的傳承
[00:01:16.220 --> 00:01:19.980]  讓我 向你傳授 神聖的傳承
[00:01:19.980 --> 00:01:22.380]  我雖困在患難中
[00:01:22.380 --> 00:01:24.460]  你必將我救活
[00:01:24.460 --> 00:01:26.160]  我的仇敵發怒
[00:01:26.160 --> 00:01:28.660]  你必伸手抵擋他們
[00:01:28.660 --> 00:01:31.760]  你的右手也必拯救我
[00:01:31.760 --> 00:01:36.000]  耶護說必成全他在我身上的旨意
[00:01:36.000 --> 00:01:39.940]  耶護說 你的慈愛永遠長存
[00:01:39.940 --> 00:01:43.200]  求你不要離棄你所做的
[00:01:43.200 --> 00:01:46.740]  我們一起同心同告
[00:01:46.740 --> 00:01:47.940]  親愛的天父
[00:01:47.940 --> 00:01:53.460]  感謝你讓我們今天再一次回來崇拜
[00:01:53.460 --> 00:01:55.720]  或者我們今天進入這個禮堂
[00:01:55.720 --> 00:01:58.560]  我們都帶著不同的心情
[00:01:58.560 --> 00:02:00.960]  若果我們心裡
[00:02:00.960 --> 00:02:05.840]  好像這幾天外面正下狂風暴雨
[00:02:05.840 --> 00:02:11.000]  求主將我們心裡的重擔挪開
[00:02:11.000 --> 00:02:15.840]  讓我們很專心地在你的說話上
[00:02:15.840 --> 00:02:18.740]  求真理的聖靈開啟我們的心
[00:02:18.740 --> 00:02:22.920]  好讓我們看見一個新的角度
[00:02:22.920 --> 00:02:25.920]  去面對我們眼前的問題
[00:02:25.920 --> 00:02:28.520]  奉耶穌基督得勝的名字祈求
[00:02:28.520 --> 00:02:29.520]  阿們
[00:02:29.520 --> 00:02:34.760]  弟兄姊妹
[00:02:34.760 --> 00:02:36.160]  如果有人問你
[00:02:36.160 --> 00:02:39.740]  怎樣才能令自己變得更好呢?
[00:02:39.740 --> 00:02:43.240]  你會怎樣回答他呢?
[00:02:43.240 --> 00:02:45.500]  可能買好衣服
