
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹各位朋友早安
[00:00:02.000 --> 00:00:05.440]  各位媽媽請問坐在哪裏
[00:00:05.440 --> 00:00:08.880]  舉手 母親節快樂
[00:00:08.880 --> 00:00:21.040]  有人說做母親是世上一份最難做的工作
[00:00:21.040 --> 00:00:22.760]  有沒有人認同的請舉手
[00:00:22.760 --> 00:00:27.000]  母親認同 有沒有父親都認同
[00:00:27.000 --> 00:00:29.440]  子女都認同可能
[00:00:30.440 --> 00:00:33.760]  作為母親有很多事情要做
[00:00:33.760 --> 00:00:35.760]  要做甚麼
[00:00:35.760 --> 00:00:40.440]  全年無休 講了一會兒的重點
[00:00:40.440 --> 00:00:45.760]  作為母親撫養孩子成人當然是首要任務
[00:00:45.760 --> 00:00:48.360]  而這份工作是怎樣的
[00:00:48.360 --> 00:00:50.360]  有沒有上班下班時間
[00:00:50.360 --> 00:00:52.240]  沒有的
[00:00:52.240 --> 00:00:55.720]  由出生那天上班一直都不下班
[00:00:55.720 --> 00:00:59.040]  尤其是在你的孩子生病時
[00:00:59.040 --> 00:01:00.440]  還要怎樣
[00:01:00.440 --> 00:01:02.640]  半夜都不能睡
[00:01:02.640 --> 00:01:07.040]  而這份工作年中無休
[00:01:07.040 --> 00:01:10.040]  尤其是如果你的孩子放假
[00:01:10.040 --> 00:01:12.040]  暑假 聖誕假特別長
[00:01:12.040 --> 00:01:16.040]  他放假母親會比平時更加忙碌
[00:01:16.040 --> 00:01:20.440]  而且這份工作是永久制的
[00:01:20.440 --> 00:01:24.440]  入了職就不能辭職
[00:01:24.440 --> 00:01:26.040]  代表甚麼意思
[00:01:26.040 --> 00:01:28.040]  就是當你的孩子很小的時候
[00:01:28.040 --> 00:01:30.040]  當然是圍在你的腳邊
[00:01:30.040 --> 00:01:33.040]  有時很妨礙你
[00:01:33.040 --> 00:01:35.040]  沒空理他那麼多
[00:01:35.040 --> 00:01:37.040]  到他長大了
[00:01:37.040 --> 00:01:40.040]  去外面讀書 工作就業
[00:01:40.040 --> 00:01:43.040]  甚或其實是已經長大成人
[00:01:43.040 --> 00:01:46.040]  成家立室 搬離了家也好
[00:01:46.040 --> 00:01:51.040]  作為母親仍然是用一份不同的方式
[00:01:51.040 --> 00:01:56.040]  但一直一生都維持著這份永久的合約
