
[00:00:00.000 --> 00:00:04.000]  各位大姐姊妹、各位來賓,晚安
[00:00:04.000 --> 00:00:09.000]  我叫Joanne,我是一個生命人士
[00:00:09.000 --> 00:00:12.000]  我在2012年突然之間病
[00:00:12.000 --> 00:00:16.000]  病傷了我的視神經,拿走了我的視力
[00:00:16.000 --> 00:00:21.000]  不單止這樣,病還傷了我的頸椎神經
[00:00:21.000 --> 00:00:27.000]  當時最嚴重的時候,四肢和腰部都完全不能動
[00:00:27.000 --> 00:00:30.000]  可能大家看到我今天好像沒什麼
[00:00:30.000 --> 00:00:33.000]  可能不相信當時的情況這麼嚴重
[00:00:33.000 --> 00:00:36.000]  當時的確是這麼差
[00:00:36.000 --> 00:00:38.000]  不過很感謝神的醫治
[00:00:38.000 --> 00:00:40.000]  大家看到我今天能走能走
[00:00:40.000 --> 00:00:42.000]  神的作為真的很奇妙
[00:00:42.000 --> 00:00:45.000]  往往都超過我們所想
[00:00:45.000 --> 00:00:48.000]  一會兒我會再說多一點關於我的病
[00:00:48.000 --> 00:00:50.000]  和我信主的經過
[00:00:50.000 --> 00:00:53.000]  現在首先想說一下病前的我
[00:00:53.000 --> 00:00:56.000]  我在小時候也有接觸教會
[00:00:56.000 --> 00:00:58.000]  因為在我十幾歲的時候
[00:00:58.000 --> 00:01:01.000]  媽媽相信了耶穌,也有帶我回教會
[00:01:01.000 --> 00:01:05.000]  但是那時候回教會就沒什麼太大感覺
[00:01:05.000 --> 00:01:09.000]  甚至有時候聽到會睡著
[00:01:09.000 --> 00:01:12.000]  當時很多人問我,為什麼你不相信?
[00:01:12.000 --> 00:01:14.000]  我說,通常人們有信仰
[00:01:14.000 --> 00:01:18.000]  都是因為自己不夠堅強,想找個靠山
[00:01:18.000 --> 00:01:22.000]  其實很多人為什麼要求神拜佛?
[00:01:22.000 --> 00:01:25.000]  都是希望自己信風信水,健健康康
[00:01:25.000 --> 00:01:27.000]  如果真的這麼靈的話
[00:01:27.000 --> 00:01:30.000]  這個世界沒有窮人,沒有人病
[00:01:30.000 --> 00:01:33.000]  我不相信這些,我相信自己
[00:01:33.000 --> 00:01:37.000]  我覺得靠自己,只要好好計劃
[00:01:37.000 --> 00:01:39.000]  做好風險管理
[00:01:39.000 --> 00:01:42.000]  就可以掌管自己的未來
[00:01:42.000 --> 00:01:44.000]  其實那時候我也挺現實的
[00:01:44.000 --> 00:01:47.000]  我覺得錢也挺重要
[00:01:47.000 --> 00:01:51.000]  那時候讀完書,出來工作
[00:01:51.000 --> 00:01:52.000]  也很用心
[00:01:52.000 --> 00:01:55.000]  希望可以升職加薪
[00:01:55.000 --> 00:02:00.000]  賺多一點錢,生活就有更大的保障
[00:02:00.000 --> 00:02:04.000]  出來工作也順利,慢慢也有得上
[00:02:04.000 --> 00:02:07.000]  後來認識了我現在的先生
[00:02:07.000 --> 00:02:09.000]  拍拖了幾年
[00:02:09.000 --> 00:02:11.000]  後來覺得自己的事業也穩定了
[00:02:11.000 --> 00:02:14.000]  而且也是一個適婚年齡
[00:02:14.000 --> 00:02:17.000]  所以在2011年和先生結婚
[00:02:17.000 --> 00:02:19.000]  打算遲些有小朋友
[00:02:19.000 --> 00:02:21.000]  誰知道結婚一年
[00:02:21.000 --> 00:02:24.000]  突然發現雙眼看東西有點模糊
[00:02:24.000 --> 00:02:26.000]  於是去看醫生
[00:02:26.000 --> 00:02:29.000]  醫生說我視神經發炎
[00:02:29.000 --> 00:02:32.000]  要我用大劑量類固醇消炎
[00:02:32.000 --> 00:02:34.000]  那時候看得出來
[00:02:34.000 --> 00:02:35.000]  問醫生為什麼會這樣
[00:02:35.000 --> 00:02:38.000]  醫生說是不是工作壓力太大
[00:02:38.000 --> 00:02:40.000]  放鬆一點
[00:02:40.000 --> 00:02:42.000]  誰知道過了幾個月
[00:02:42.000 --> 00:02:44.000]  有一隻眼看東西又出現問題了
[00:02:44.000 --> 00:02:46.000]  又去找醫生
[00:02:46.000 --> 00:02:48.000]  醫生說我視神經又發炎
[00:02:48.000 --> 00:02:51.000]  又是要我用大劑量類固醇消炎
[00:02:51.000 --> 00:02:53.000]  但這次看不出來
[00:02:53.000 --> 00:02:55.000]  後來弄了很久
[00:02:55.000 --> 00:02:59.000]  醫生發現我確診了一個罕有的免疫系統病
[00:02:59.000 --> 00:03:02.000]  病名叫視神經脊髓炎
[00:03:02.000 --> 00:03:05.000]  就是身體不知為什麼
[00:03:05.000 --> 00:03:08.000]  有些正常的細胞傻了
[00:03:08.000 --> 00:03:11.000]  打自己的視神經和脊椎神經
[00:03:11.000 --> 00:03:14.000]  那時候是很短時間
[00:03:14.000 --> 00:03:17.000]  兩隻眼都完全看不到
[00:03:17.000 --> 00:03:20.000]  而且四肢和腰部都動不了
[00:03:20.000 --> 00:03:23.000]  被送進急症
[00:03:23.000 --> 00:03:25.000]  那時候進了醫院
[00:03:25.000 --> 00:03:28.000]  醫生馬上給我做急性治療
[00:03:28.000 --> 00:03:30.000]  又給我打大劑量類固醇
[00:03:30.000 --> 00:03:32.000]  又給我洗血
[00:03:32.000 --> 00:03:33.000]  做完治療之後
[00:03:33.000 --> 00:03:37.000]  醫生說我們可以做的都做完了
[00:03:37.000 --> 00:03:39.000]  接下來給你一些口服藥
[00:03:39.000 --> 00:03:41.000]  看能否控制病情
[00:03:41.000 --> 00:03:44.000]  希望病情能夠控制
[00:03:44.000 --> 00:03:46.000]  沒有新的炎症新的疤痕
[00:03:46.000 --> 00:03:49.000]  希望神經線能夠慢慢自我修復
[00:03:49.000 --> 00:03:52.000]  不過其實是否真的能控制
[00:03:52.000 --> 00:03:54.000]  是否真的能修復
[00:03:54.000 --> 00:03:56.000]  他們都不敢說
[00:03:56.000 --> 00:03:58.000]  當時當然很大打擊
[00:03:58.000 --> 00:04:01.000]  因為聽到醫生這樣說
[00:04:01.000 --> 00:04:03.000]  如果真的控制不了
[00:04:03.000 --> 00:04:05.000]  神經線修復不了
[00:04:05.000 --> 00:04:10.000]  那是不是以後都會盲和全癱
[00:04:10.000 --> 00:04:14.000]  將來的生活會變成怎樣呢
[00:04:14.000 --> 00:04:18.000]  甚至還有沒有將來呢
[00:04:18.000 --> 00:04:22.000]  那段時間兩隻眼睛都看不到
[00:04:22.000 --> 00:04:24.000]  全身都動不了
[00:04:24.000 --> 00:04:27.000]  每天睡醒做甚麼呢
[00:04:27.000 --> 00:04:28.000]  就在這裡等
[00:04:28.000 --> 00:04:30.000]  等人來幫你換尿片
[00:04:30.000 --> 00:04:32.000]  洗臉
[00:04:32.000 --> 00:04:34.000]  送餐餵你吃東西
[00:04:34.000 --> 00:04:36.000]  等醫生、治療師、家人來看你
[00:04:36.000 --> 00:04:40.000]  甚至口渴想喝口水都要人幫
[00:04:40.000 --> 00:04:45.000]  那段時間所有事情都要等
[00:04:45.000 --> 00:04:47.000]  其實真的很痛苦
[00:04:47.000 --> 00:04:49.000]  很難過
[00:04:49.000 --> 00:04:52.000]  很多事情想做,做不到
[00:04:52.000 --> 00:04:56.000]  甚至頭癢想吐都沒有能力
[00:04:56.000 --> 00:04:59.000]  其實我本身是一個自尊心很強
[00:04:59.000 --> 00:05:01.000]  很喜歡靠自己的人
[00:05:01.000 --> 00:05:05.000]  但一下子變得很被動
[00:05:05.000 --> 00:05:10.000]  沒有一件事能夠自己控制
[00:05:10.000 --> 00:05:13.000]  所有事情都只能等人幫
[00:05:13.000 --> 00:05:16.000]  跟著別人的行程
[00:05:16.000 --> 00:05:20.000]  那段時間我簡直覺得好像沒有自己
[00:05:20.000 --> 00:05:21.000]  我不是誇大
[00:05:21.000 --> 00:05:24.000]  簡直覺得好像沒有尊嚴
[00:05:24.000 --> 00:05:27.000]  因為所有事情都要看別人的臉色
[00:05:27.000 --> 00:05:30.000]  如果別人有時間
[00:05:30.000 --> 00:05:32.000]  開心的你就有
[00:05:32.000 --> 00:05:34.000]  如果別人沒有時間
[00:05:34.000 --> 00:05:38.000]  不喜歡的你想要的就不會有
[00:05:38.000 --> 00:05:43.000]  我記得入院一段時間都沒有開大的感覺
[00:05:43.000 --> 00:05:45.000]  可能身體太差
[00:05:45.000 --> 00:05:46.000]  那時傷了脊椎神經
[00:05:46.000 --> 00:05:48.000]  都要去廁所
[00:05:48.000 --> 00:05:50.000]  突然有一天黃昏
[00:05:50.000 --> 00:05:52.000]  很肚痛
[00:05:52.000 --> 00:05:54.000]  問護士
[00:05:54.000 --> 00:05:58.000]  護士說我找醫生看看可否開些射藥給你
[00:05:58.000 --> 00:06:00.000]  自己排不了
[00:06:00.000 --> 00:06:02.000]  等了很久都沒有藥
[00:06:02.000 --> 00:06:04.000]  等到家人來探病
[00:06:04.000 --> 00:06:06.000]  家人拿了飯菜給我
[00:06:06.000 --> 00:06:08.000]  跟我說開飯
[00:06:08.000 --> 00:06:11.000]  我跟他們說我很不想吃
[00:06:11.000 --> 00:06:13.000]  因為肚子很痛
[00:06:13.000 --> 00:06:16.000]  等我解決了再吃
[00:06:16.000 --> 00:06:21.000]  家人說飯菜這樣放會冷下來
[00:06:21.000 --> 00:06:23.000]  還有現在這個中數找醫生
[00:06:23.000 --> 00:06:25.000]  都不知道什麼時候才有藥
[00:06:25.000 --> 00:06:27.000]  如果到時你想吃
[00:06:27.000 --> 00:06:30.000]  有沒有人在這裡可以餵你
[00:06:30.000 --> 00:06:32.000]  我一直想
[00:06:32.000 --> 00:06:34.000]  如果到時我想吃
[00:06:34.000 --> 00:06:36.000]  我找誰餵我
[00:06:36.000 --> 00:06:39.000]  所以那時真的很不想吃
