
[00:00:00.000 --> 00:00:02.380]  有一個很激昂的敬拜
[00:00:02.380 --> 00:00:04.880]  我們先給神掌聲
[00:00:04.880 --> 00:00:08.960]  很多謝神讓我們可以將自己獻上給祂
[00:00:08.960 --> 00:00:12.600]  也很多謝神讓我們有教會
[00:00:12.600 --> 00:00:14.000]  讓我們一起敬拜
[00:00:14.000 --> 00:00:15.900]  一起認識弟兄姊妹
[00:00:15.900 --> 00:00:18.920]  並且認識更多神是更重要的
[00:00:18.920 --> 00:00:23.360]  好了,我又想在這裡訪問一下大家
[00:00:23.360 --> 00:00:27.560]  我想問一下大家回到這裡
[00:00:27.560 --> 00:00:30.280]  先問一下信主信了多久
[00:00:30.280 --> 00:00:34.160]  有沒有信了五年內的弟兄姊妹
[00:00:34.160 --> 00:00:36.240]  舉手來揮揮手看看
[00:00:36.240 --> 00:00:37.520]  五年的
[00:00:37.520 --> 00:00:39.320]  哇,OK
[00:00:39.320 --> 00:00:43.320]  有沒有十年差不多的呢?
[00:00:43.320 --> 00:00:45.720]  有,有一點點
[00:00:45.720 --> 00:00:49.160]  有沒有二十年的呢?
[00:00:49.160 --> 00:00:50.960]  也有
[00:00:50.960 --> 00:00:53.240]  有沒有多過二十年的呢?
[00:00:53.240 --> 00:00:56.040]  哇,原來這麼多
[00:00:56.040 --> 00:00:57.920]  很棒,你們真的有福了
[00:00:57.920 --> 00:00:59.680]  信了主這麼久
[00:00:59.680 --> 00:01:03.600]  這個題目你們一定
[00:01:03.600 --> 00:01:06.760]  我信了二十年左右
[00:01:06.760 --> 00:01:09.680]  原來是萬輩萬輩
[00:01:09.680 --> 00:01:11.440]  前輩前輩
[00:01:11.440 --> 00:01:14.280]  在神裡面沒有這麼分
[00:01:14.280 --> 00:01:19.320]  今天是教會的主題講到
[00:01:19.320 --> 00:01:22.320]  我們繼續會看「以忽所書」
[00:01:22.320 --> 00:01:26.480]  為什麼我會問一下大家信了主多久呢?
[00:01:26.480 --> 00:01:30.240]  因為裡面待會讀經文我們也會提到
[00:01:30.240 --> 00:01:32.080]  到時再說
[00:01:32.080 --> 00:01:36.800]  我們今天是看「以忽所書」四章一至十六節
[00:01:36.800 --> 00:01:38.920]  我今天給他的標題就是
[00:01:38.920 --> 00:01:42.000]  「行事為人與夢照的因相稱」
[00:01:42.000 --> 00:01:44.160]  保羅的書信
[00:01:44.160 --> 00:01:45.520]  我不知道大家是否覺得
[00:01:45.520 --> 00:01:48.400]  有很多人覺得挺深的
[00:01:48.400 --> 00:01:51.000]  還有很多理論
[00:01:51.000 --> 00:01:55.280]  但我覺得在「以忽所書」裡面
[00:01:55.280 --> 00:01:57.880]  豐富得來也挺實用的
[00:01:57.880 --> 00:02:00.640]  因為我們看到第四章
[00:02:00.640 --> 00:02:04.640]  因為前三章都是教義理論多一點
[00:02:04.640 --> 00:02:05.640]  神學基礎
[00:02:05.640 --> 00:02:08.800]  後面的三章就是教我們如何去回應
[00:02:08.800 --> 00:02:11.600]  以及落實神的教導
[00:02:11.600 --> 00:02:13.760]  即是保羅帶出的教導
[00:02:13.760 --> 00:02:18.560]  有學者認為第一至第三章是神為我們工作
[00:02:18.560 --> 00:02:24.520]  第四至第六章就是我們如何為神工作
[00:02:24.520 --> 00:02:26.120]  首先是神為我們工作
[00:02:26.120 --> 00:02:29.080]  然後我們應該如何為神工作呢?
[00:02:29.080 --> 00:02:31.880]  上帝召我們去跟隨基督
[00:02:31.880 --> 00:02:34.360]  今天我們一起看看
[00:02:34.360 --> 00:02:38.320]  經文令我們如何為神作供呢?
[00:02:38.320 --> 00:02:42.000]  「以忽所書」有一個詞匯貫穿了裡面
[00:02:42.000 --> 00:02:44.680]  翻譯是「行事」
[00:02:44.680 --> 00:02:46.440]  「行事為人」
[00:02:46.440 --> 00:02:50.120]  在整個「以忽所書」裡面出現了七次
[00:02:50.120 --> 00:02:52.840]  所以我剛剛讀了我今天設定的命題
[00:02:52.840 --> 00:02:54.360]  就是「行事為人」
[00:02:54.360 --> 00:02:59.080]  與所蒙的呼召相稱
[00:02:59.080 --> 00:03:02.400]  不如我們一起看看今天的經文
[00:03:02.400 --> 00:03:04.280]  我有三個PowerPoint
[00:03:04.280 --> 00:03:08.200]  第一個PowerPoint請我們紅狀的男士讀出
[00:03:08.200 --> 00:03:10.760]  然後請溫柔的姐妹讀出
[00:03:10.760 --> 00:03:12.800]  第三個我們一起讀出,好嗎?
[00:03:12.800 --> 00:03:14.800]  好,預備,請
[00:03:14.960 --> 00:03:16.960]  (唸經)
[00:03:16.960 --> 00:03:18.960]  (唸經)
[00:03:18.960 --> 00:03:20.960]  (唸經)
[00:03:20.960 --> 00:03:22.960]  (唸經)
[00:03:23.640 --> 00:03:25.640]  (唸經)
[00:03:25.640 --> 00:03:27.640]  (唸經)
[00:03:28.280 --> 00:03:30.280]  (唸經)
[00:03:30.600 --> 00:03:32.600]  (唸經)
[00:03:57.600 --> 00:03:59.600]  (唸經)
[00:03:59.600 --> 00:04:01.600]  (唸經)
[00:04:01.600 --> 00:04:03.600]  (唸經)
[00:04:04.000 --> 00:04:06.000]  (唸經)
[00:04:06.000 --> 00:04:16.000]  (唸經)
[00:04:16.000 --> 00:04:28.000]  (唸經)
[00:04:28.000 --> 00:04:30.000]  (唸經)
[00:04:30.000 --> 00:04:43.000]  (唸經)
[00:04:43.000 --> 00:04:45.000]  (唸經)
[00:04:45.000 --> 00:04:47.000]  (唸經)
[00:04:47.000 --> 00:04:49.000]  (唸經)
[00:04:49.000 --> 00:04:51.000]  (唸經)
[00:04:51.000 --> 00:04:53.000]  (唸經)
[00:04:53.000 --> 00:04:55.000]  (唸經)
[00:04:55.000 --> 00:04:57.000]  (唸經)
[00:04:57.000 --> 00:04:59.000]  (唸經)
[00:04:59.000 --> 00:05:02.000]  「被一切邪術之風擺動」
[00:05:02.000 --> 00:05:04.000]  「飄來飄去」
[00:05:04.000 --> 00:05:07.000]  「我們反而要用愛心說誠實話」
[00:05:07.000 --> 00:05:10.000]  「各方面向著基督長進」
[00:05:10.000 --> 00:05:12.000]  「練於如手」
[00:05:12.000 --> 00:05:18.000]  「靠著他生的白鞍奇蹟」
[00:05:18.000 --> 00:05:21.000]  「照著各功彼此相助」
[00:05:21.000 --> 00:05:26.000]  「在愛中建立自己」
[00:05:26.000 --> 00:05:28.000]  好,我們一起禱告
[00:05:28.000 --> 00:05:33.000]  秋天父,求祢用祢的寶血
[00:05:33.000 --> 00:05:35.000]  再次潔淨我們每一個
[00:05:35.000 --> 00:05:37.000]  也充滿我們每一個
[00:05:37.000 --> 00:05:39.000]  讓我們守潔心清
[00:05:39.000 --> 00:05:41.000]  能夠聽得懂祢的話語
[00:05:41.000 --> 00:05:42.000]  幫助我們
[00:05:42.000 --> 00:05:44.000]  我們禱告交託,奉主名求
[00:05:44.000 --> 00:05:45.000]  阿門
[00:05:45.000 --> 00:05:50.000]  剛剛我們一口氣讀了16節經文
[00:05:50.000 --> 00:05:53.000]  第一節我們留意到
[00:05:53.000 --> 00:05:58.000]  「我為主作囚徒的勸你們」
[00:05:58.000 --> 00:06:00.000]  「既然蒙召行事為人」
[00:06:00.000 --> 00:06:03.000]  「就要與你們所蒙的召相稱」
[00:06:03.000 --> 00:06:07.000]  保羅一開始就勸我們
[00:06:07.000 --> 00:06:08.000]  勸我們什麼呢?
[00:06:08.000 --> 00:06:12.000]  勸這個字其實有呼籲的意思
[00:06:12.000 --> 00:06:16.000]  當時保羅看到他在坐牢
[00:06:16.000 --> 00:06:19.000]  當一個人在坐牢受苦的時候
[00:06:19.000 --> 00:06:21.000]  都要勸我們
[00:06:21.000 --> 00:06:23.000]  這件事是否重要?
