
[00:00:00.000 --> 00:00:03.280]  網上的頂姐妹和在座的頂姐妹早安
[00:00:03.280 --> 00:00:04.560]  主內平安
[00:00:04.560 --> 00:00:06.720]  在開始今天正道之先
[00:00:06.720 --> 00:00:08.640]  我和大家一起禱告好嗎
[00:00:08.640 --> 00:00:13.880]  天父我們來到你面前
[00:00:13.880 --> 00:00:16.880]  再一次去多謝讚美你
[00:00:16.880 --> 00:00:20.600]  主啊我們承認我們人
[00:00:20.600 --> 00:00:23.800]  就是這麼有限
[00:00:23.800 --> 00:00:26.480]  人真的不算什麼
[00:00:26.680 --> 00:00:30.040]  但主啊你仍然用你的愛去愛我們
[00:00:30.040 --> 00:00:31.680]  去環保我們
[00:00:31.680 --> 00:00:34.280]  主啊我們今天來到你裡面
[00:00:34.280 --> 00:00:35.680]  當我們去崇拜
[00:00:35.680 --> 00:00:37.120]  我們去敬拜
[00:00:37.120 --> 00:00:39.680]  我們去聽神的話語的時候
[00:00:39.680 --> 00:00:42.320]  主啊我們很需要承認我們
[00:00:42.320 --> 00:00:44.280]  我們的有限
[00:00:44.280 --> 00:00:46.080]  我們要倒空我們自己
[00:00:46.080 --> 00:00:48.200]  我們要來到主你的面前
[00:00:48.200 --> 00:00:51.640]  主啊願你親自對我們每一個頂姐妹說話
[00:00:51.640 --> 00:00:55.320]  倘若這一刻我們頂姐妹心裡面
[00:00:55.320 --> 00:00:56.640]  有重擔的
[00:00:56.640 --> 00:00:58.160]  有軟弱的
[00:00:58.160 --> 00:01:00.800]  主啊求你幫助我們
[00:01:00.800 --> 00:01:03.160]  能夠放下在你的裡面
[00:01:03.160 --> 00:01:07.960]  主啊讓我們可以全心投入在神的話語裡面
[00:01:07.960 --> 00:01:09.720]  去聽你的教導
[00:01:09.720 --> 00:01:11.160]  提醒我們
[00:01:11.160 --> 00:01:13.840]  以致我們可以再一次經歷
[00:01:13.840 --> 00:01:15.800]  你給我們的力量
[00:01:15.800 --> 00:01:17.720]  主啊求你幫助我們
[00:01:17.720 --> 00:01:18.360]  多謝你
[00:01:18.360 --> 00:01:20.120]  我們禱告奉主名求
[00:01:20.120 --> 00:01:20.880]  阿門
[00:01:20.880 --> 00:01:22.400]  好
[00:01:22.400 --> 00:01:24.040]  想問問大家一個問題
[00:01:25.160 --> 00:01:29.680]  不知道大家有沒有聽過電話騙案
[00:01:29.680 --> 00:01:31.920]  有啊
[00:01:31.920 --> 00:01:37.000]  你們有沒有想過自己會落入一些電話騙案裡面
[00:01:37.000 --> 00:01:39.520]  咦
[00:01:39.520 --> 00:01:40.840]  沒有了
[00:01:40.840 --> 00:01:44.040]  大家有沒有想過自己會落入一些電話騙案裡面
[00:01:44.040 --> 00:01:45.000]  有沒有的
