
[00:00:00.000 --> 00:00:02.000]  (音樂播放中)
[00:00:02.000 --> 00:00:04.000]  好,大英姐妹,5號
[00:00:04.000 --> 00:00:06.000]  5號
[00:00:06.000 --> 00:00:08.000]  聽到是不是超傑來的
[00:00:08.000 --> 00:00:10.000]  不,是哲哲來的
[00:00:10.000 --> 00:00:12.000]  好,大英姐妹
[00:00:12.000 --> 00:00:15.000]  主讓勁派對
[00:00:15.000 --> 00:00:17.000]  帶師哥的時候
[00:00:17.000 --> 00:00:19.000]  跟我們分享到
[00:00:19.000 --> 00:00:21.000]  其實原來我們面對生命
[00:00:21.000 --> 00:00:22.000]  很多挑戰
[00:00:22.000 --> 00:00:24.000]  但是主仍然是
[00:00:24.000 --> 00:00:27.000]  在心裡不停提醒我們
[00:00:27.000 --> 00:00:29.000]  究竟你信心派在哪呢
[00:00:29.000 --> 00:00:31.000]  都鼓勵大家繼續
[00:00:31.000 --> 00:00:33.000]  我們每一次勁派
[00:00:33.000 --> 00:00:35.000]  其實都是一個
[00:00:35.000 --> 00:00:37.000]  讓我們去經歷和體會的過程
[00:00:37.000 --> 00:00:39.000]  所以鼓勵大家
[00:00:39.000 --> 00:00:41.000]  每一次勁派都是一個
[00:00:41.000 --> 00:00:43.000]  很不同的經歷
[00:00:43.000 --> 00:00:45.000]  今天跟大家分享信息
[00:00:45.000 --> 00:00:47.000]  這次應該
[00:00:47.000 --> 00:00:49.000]  因為下個星期是一個特別的講源
[00:00:49.000 --> 00:00:51.000]  我不知道下個星期會不會講
[00:00:51.000 --> 00:00:53.000]  青少年會的主題
[00:00:53.000 --> 00:00:55.000]  這次如無意外
[00:00:55.000 --> 00:00:57.000]  應該是新一個年提前的
[00:00:57.000 --> 00:00:59.000]  最後一次去講
[00:00:59.000 --> 00:01:01.000]  Shining Ocours Be The Light
[00:01:01.000 --> 00:01:04.000]  我們這一年都不停地
[00:01:04.000 --> 00:01:06.000]  去提醒我們
[00:01:06.000 --> 00:01:08.000]  Shining Ocours Be The Light
[00:01:08.000 --> 00:01:10.000]  是我們今年青少年會的主題
[00:01:10.000 --> 00:01:12.000]  甚至我們今年的活動
[00:01:12.000 --> 00:01:14.000]  經常都講Shining什麼
[00:01:14.000 --> 00:01:16.000]  又Shining什麼
[00:01:16.000 --> 00:01:18.000]  全年都講我們要為主去發光
[00:01:18.000 --> 00:01:20.000]  要在這個時代裡面去做見證
[00:01:20.000 --> 00:01:23.000]  這個主題其實都很出
[00:01:23.000 --> 00:01:25.000]  大家都應該知道
[00:01:25.000 --> 00:01:28.000]  甚至三個都已經印了今年的主題
[00:01:28.000 --> 00:01:33.000]  在我預備今天的信息的時候
[00:01:33.000 --> 00:01:35.000]  我正在問自己一個問題
[00:01:35.000 --> 00:01:37.000]  苦心自問
[00:01:37.000 --> 00:01:40.000]  我們整個青少年會的群體
[00:01:40.000 --> 00:01:43.000]  今年的主題是Shining Ocours Be The Light
[00:01:43.000 --> 00:01:45.000]  苦心自問
[00:01:45.000 --> 00:01:47.000]  我們這個群體究竟有多擁有
[00:01:47.000 --> 00:01:49.000]  今年的這個主題
[00:01:49.000 --> 00:01:51.000]  成為我們信仰生命
[00:01:51.000 --> 00:01:53.000]  一件很重要的使命
[00:01:54.000 --> 00:01:58.000]  如果這個連題其實擁不住的話
[00:01:58.000 --> 00:02:01.000]  就好像今天那個題目這樣講
[00:02:01.000 --> 00:02:04.000]  其實這個連題只剩下十幾天的時間
[00:02:04.000 --> 00:02:06.000]  讓我們不停地去講
[00:02:06.000 --> 00:02:07.000]  過了這十幾天之後
[00:02:07.000 --> 00:02:09.000]  一個新的主題的時候
[00:02:09.000 --> 00:02:11.000]  這個Shining Ocours Be The Light這個主題
[00:02:11.000 --> 00:02:14.000]  只會成為我們這一年出現過的一個口號
[00:02:14.000 --> 00:02:16.000]  今天很想透過《肥辣秘書》
[00:02:16.000 --> 00:02:18.000]  二章十二到十八字的經文
[00:02:18.000 --> 00:02:19.000]  跟大家來探討一下
[00:02:19.000 --> 00:02:22.000]  當年保羅都同時
[00:02:22.000 --> 00:02:25.000]  也有一個訊息給《肥辣秘書》教會
[00:02:25.000 --> 00:02:27.000]  他們很想在這個群體裡面
[00:02:27.000 --> 00:02:29.000]  在當時的年代裡面
[00:02:29.000 --> 00:02:30.000]  去成為主的光
[00:02:30.000 --> 00:02:32.000]  成為一個發光的群體
[00:02:32.000 --> 00:02:35.000]  保羅當時其實都給了他們一些提醒
[00:02:35.000 --> 00:02:36.000]  給了一些心態
[00:02:36.000 --> 00:02:38.000]  教他們應該怎樣去做
[00:02:38.000 --> 00:02:40.000]  跟我們今天二千多年之後的
[00:02:40.000 --> 00:02:42.000]  我們有什麼提醒呢
[00:02:42.000 --> 00:02:44.000]  很想先讀一讀這幾節的經文
[00:02:44.000 --> 00:02:46.000]  十二到十八字
[00:02:46.000 --> 00:02:47.000]  想邀請大家一起讀
[00:02:47.000 --> 00:02:48.000]  準備起
[00:02:48.000 --> 00:02:54.000]  你們幾時常信復迫
[00:02:54.000 --> 00:03:07.000]  因為你們立志行事
[00:03:07.000 --> 00:03:10.000]  都事實在你們心裡
[00:03:10.000 --> 00:03:17.000]  都要發怨言
[00:03:17.000 --> 00:03:19.000]  要發怨言
[00:03:19.000 --> 00:03:21.000]  要發怨言
[00:03:21.000 --> 00:03:23.000]  要發怨言
[00:03:23.000 --> 00:03:25.000]  要發怨言
[00:03:25.000 --> 00:03:26.000]  下次的疑慮
[00:03:26.000 --> 00:03:29.000]  理會顯在這世代中
[00:03:29.000 --> 00:03:31.000]  理會顯在這世代中
[00:03:31.000 --> 00:03:33.000]  理會顯在這世代中
