
[00:00:00.000 --> 00:00:05.000]  各位電影節目晚安
[00:00:05.000 --> 00:00:09.000]  今天跟大家分享的講題是
[00:00:09.000 --> 00:00:17.000]  超越一切 解開基督的守衛密碼
[00:00:17.000 --> 00:00:18.000]  各位電影節目
[00:00:18.000 --> 00:00:22.000]  雖然我們身處的香港這個城市
[00:00:22.000 --> 00:00:24.000]  是沒有戰爭
[00:00:24.000 --> 00:00:29.000]  但是有一場叫做守衛爭奪戰
[00:00:29.000 --> 00:00:34.000]  可能每時每刻都在我們的思想
[00:00:34.000 --> 00:00:39.000]  或者在我們的生活當中不斷地發生
[00:00:39.000 --> 00:00:44.000]  什麼是你生命當中最重要的呢
[00:00:44.000 --> 00:00:46.000]  在這一刻裡面
[00:00:46.000 --> 00:00:51.000]  是你的事業 金錢 愛情
[00:00:51.000 --> 00:00:55.000]  還是你的子女呢
[00:00:55.000 --> 00:00:59.000]  而即使是傳道目者也不能夠倖免
[00:00:59.000 --> 00:01:03.000]  在這一場守衛爭奪戰當中
[00:01:03.000 --> 00:01:08.000]  我想跟大家分享一個小秘密
[00:01:08.000 --> 00:01:11.000]  大家想不想聽
[00:01:11.000 --> 00:01:13.000]  OK
[00:01:13.000 --> 00:01:17.000]  連我太太都不知道
[00:01:17.000 --> 00:01:21.000]  在我心目中我兩個兒子是很聰明的
[00:01:21.000 --> 00:01:24.000]  小兒子的記憶力特別強
[00:01:24.000 --> 00:01:26.000]  我之前提過
[00:01:26.000 --> 00:01:28.000]  如果我對聖經的記憶
[00:01:28.000 --> 00:01:30.000]  和我的小兒子有任何的不同
[00:01:30.000 --> 00:01:32.000]  我會毫不猶疑
[00:01:32.000 --> 00:01:34.000]  相信我記錯了
[00:01:34.000 --> 00:01:36.000]  而我小兒子是記對的
[00:01:36.000 --> 00:01:38.000]  他令我想起
[00:01:38.000 --> 00:01:41.000]  其實原來這個現實上面
[00:01:41.000 --> 00:01:45.000]  是有人好像武俠小說所說
[00:01:45.000 --> 00:01:47.000]  差不多是過目不忘的
[00:01:47.000 --> 00:01:51.000]  有一次我的小兒子就和我太太說
[00:01:51.000 --> 00:01:55.000]  他說他想將來做什麼職業呢
[00:01:55.000 --> 00:02:00.000]  就是想做傳道人
[00:02:00.000 --> 00:02:04.000]  我太太聽到之後有什麼反應呢
[00:02:04.000 --> 00:02:07.000]  她很開心
[00:02:07.000 --> 00:02:09.000]  而我呢
[00:02:09.000 --> 00:02:13.000]  我又覺得怎麼樣呢
