
[00:00:00.000 --> 00:00:01.640]  喂喂喂,好,弟兄姊妹早晨
[00:00:01.640 --> 00:00:03.480]  弟兄姊妹,我想問你一個問題
[00:00:03.480 --> 00:00:07.440]  剛才你唱了很多詩歌、很多敬拜
[00:00:07.440 --> 00:00:11.720]  你有沒有在詩歌敬拜中認識主多了?
[00:00:11.720 --> 00:00:14.920]  又或者你有沒有經歷主多了?
[00:00:14.920 --> 00:00:19.040]  我想你每一個星期回來的時候
[00:00:19.040 --> 00:00:19.920]  都問這個問題
[00:00:19.920 --> 00:00:22.760]  無論你是中一、中二、中三,或者導師們
[00:00:22.760 --> 00:00:25.400]  確實我們很多時候回來敬拜
[00:00:25.400 --> 00:00:26.560]  覺得是一個習慣
[00:00:26.560 --> 00:00:28.160]  你從小回到大
[00:00:28.160 --> 00:00:32.480]  可能你覺得剛才那三、四個字好像站了很久
[00:00:32.480 --> 00:00:34.760]  不過我想跟大家分享的是
[00:00:34.760 --> 00:00:37.440]  當你只專注在站了很久的時候
[00:00:37.440 --> 00:00:39.400]  你就會覺得很累
[00:00:39.400 --> 00:00:41.000]  不過你會忽略了就是
[00:00:41.000 --> 00:00:43.160]  其實你能夠在那個過程裡面
[00:00:43.160 --> 00:00:44.440]  你認識主多了
[00:00:44.440 --> 00:00:45.800]  也好像剛才主席說
[00:00:45.800 --> 00:00:49.000]  原來我們想多一點上帝跟我們的關係
[00:00:49.000 --> 00:00:51.720]  其實都歸你了
[00:00:51.720 --> 00:00:53.760]  不要浪費了這段時間
[00:00:53.760 --> 00:00:55.160]  你真的珍惜的是
[00:00:55.160 --> 00:00:56.920]  每一次回來一起去敬拜
[00:00:56.920 --> 00:00:58.480]  一起去認識主多一點的時間
[00:00:58.480 --> 00:01:01.400]  所以很鼓勵大家繼續去學習
[00:01:01.400 --> 00:01:02.480]  上來的時候
[00:01:02.480 --> 00:01:04.760]  可能你來了一年、兩年、三年
[00:01:04.760 --> 00:01:07.200]  大家可以繼續一起學習
[00:01:07.200 --> 00:01:09.480]  今天不是我講道
[00:01:09.480 --> 00:01:11.840]  我想介紹一下今天的講員
[00:01:11.840 --> 00:01:14.080]  今天的講員是Agent傳道
[00:01:14.080 --> 00:01:15.800]  可能大家還沒見過他
[00:01:15.800 --> 00:01:19.360]  我介紹一下我跟他的關係
[00:01:19.360 --> 00:01:21.440]  可能大家認識多一點
[00:01:21.440 --> 00:01:23.840]  其實他是我的誰呢?
[00:01:23.840 --> 00:01:26.480]  我們沒有親戚關係
[00:01:26.480 --> 00:01:28.000]  但我屬靈頂之輩的關係
[00:01:28.000 --> 00:01:30.720]  因為其實我K2的時候認識他
[00:01:30.720 --> 00:01:33.200]  我們是在兒童主義學院一起長大的
[00:01:33.200 --> 00:01:35.480]  所以也暴露了他的年齡
[00:01:35.480 --> 00:01:36.560]  不過不要緊
[00:01:36.560 --> 00:01:40.000]  但我想大家都鼓勵他
[00:01:40.000 --> 00:01:41.840]  因為他剛剛神學畢業
[00:01:41.840 --> 00:01:44.240]  之後有機會成為傳道人
[00:01:44.240 --> 00:01:46.760]  他今天會來到我們當中分享訊息
[00:01:46.760 --> 00:01:48.400]  將時間交給他
[00:01:54.600 --> 00:01:56.600]  Hello
[00:01:56.600 --> 00:01:58.920]  多謝凌鳳的介紹
[00:01:58.920 --> 00:02:00.200]  剛剛他所說的
[00:02:00.200 --> 00:02:03.880]  我也是很小的時候跟他一起長大
[00:02:03.880 --> 00:02:05.840]  我小時候也是像你們一樣
[00:02:05.840 --> 00:02:07.600]  坐在禮堂裡
[00:02:07.600 --> 00:02:11.280]  在青少部成長
