
[00:00:00.000 --> 00:00:02.000]  請姐妹你預備好未呀
[00:00:02.000 --> 00:00:06.000]  你預備好與神相遇嗎
[00:00:06.000 --> 00:00:13.000]  你的耳朵預備好聽到神向你講的說話嗎
[00:00:13.000 --> 00:00:18.000]  你為自己祈禱
[00:00:18.000 --> 00:00:21.000]  求神安頓你的心
[00:00:21.000 --> 00:00:35.000]  神啊我們在這裡
[00:00:35.000 --> 00:00:37.000]  我們知道你一直都在這裡
[00:00:37.000 --> 00:00:39.000]  在我們的生命裡面
[00:00:39.000 --> 00:00:44.000]  由我們信主那一刻你的靈已經與我們同在
[00:00:44.000 --> 00:00:46.000]  神啊願你的靈充滿我們
[00:00:46.000 --> 00:00:48.000]  充滿這地
[00:00:48.000 --> 00:00:52.000]  讓我們的生命向你敞開
[00:00:52.000 --> 00:00:56.000]  神啊今天我們很渴望聽見你的話
[00:00:56.000 --> 00:01:00.000]  讓我們的生命常常都經歷
[00:01:00.000 --> 00:01:02.000]  你在我們裡面的更新
[00:01:02.000 --> 00:01:04.000]  蕊變
[00:01:04.000 --> 00:01:06.000]  我們禱告奉主名求
[00:01:06.000 --> 00:01:08.000]  阿門
[00:01:08.000 --> 00:01:10.000]  好
[00:01:10.000 --> 00:01:12.000]  在破曉天亮之前
[00:01:12.000 --> 00:01:14.000]  氣溫最低
[00:01:14.000 --> 00:01:16.000]  最黑暗的時候
[00:01:16.000 --> 00:01:18.000]  抬頭一望
[00:01:18.000 --> 00:01:24.000]  天上掛滿一閃一閃小星星
[00:01:24.000 --> 00:01:26.000]  看真一點
[00:01:26.000 --> 00:01:28.000]  在眾星當中
[00:01:28.000 --> 00:01:32.000]  有一顆最光芒最明亮的
[00:01:32.000 --> 00:01:34.000]  你知不知道它是什麼星啊
[00:01:34.000 --> 00:01:36.000]  有沒有人知道啊
[00:01:36.000 --> 00:01:40.000]  這顆清晨才見到的星星
[00:01:40.000 --> 00:01:42.000]  就是神星
[00:01:42.000 --> 00:01:44.000]  Morning Star
[00:01:44.000 --> 00:01:47.000]  天文學就叫它做金星
[00:01:47.000 --> 00:01:50.000]  這顆劃破黑夜長空的神星
[00:01:50.000 --> 00:01:52.000]  默默宣告
[00:01:52.000 --> 00:01:54.000]  漫漫長夜即將過去
[00:01:54.000 --> 00:01:56.000]  太陽快將升起
[00:01:56.000 --> 00:02:00.000]  黎明的光輝就在眼前
[00:02:00.000 --> 00:02:04.000]  是令人雀躍期盼的時刻
[00:02:04.000 --> 00:02:06.000]  夜盡天明
[00:02:06.000 --> 00:02:08.000]  神光初現
[00:02:08.000 --> 00:02:10.000]  頂姐妹
[00:02:10.000 --> 00:02:12.000]  這是不是你
[00:02:12.000 --> 00:02:14.000]  逆後復常的期盼啊
[00:02:14.000 --> 00:02:16.000]  是不是你
[00:02:16.000 --> 00:02:18.000]  2023年的心情寫照啊
[00:02:18.000 --> 00:02:20.000]  過去一年
[00:02:20.000 --> 00:02:23.000]  主日講壇帶領弟兄姊妹
[00:02:23.000 --> 00:02:25.000]  走過舊約爾西傑書
[00:02:25.000 --> 00:02:27.000]  講道系列
[00:02:27.000 --> 00:02:29.000]  在風雨時代
[00:02:29.000 --> 00:02:31.000]  看見上帝帶給他的子民
[00:02:31.000 --> 00:02:33.000]  轉變中的盼望
[00:02:33.000 --> 00:02:35.000]  2023
[00:02:35.000 --> 00:02:37.000]  教會講壇帶領弟兄姊妹
[00:02:37.000 --> 00:02:39.000]  走進耶穌時代
[00:02:39.000 --> 00:02:41.000]  展開破繭的裔變
[00:02:41.000 --> 00:02:43.000]  門徒成長路
[00:02:43.000 --> 00:02:45.000]  馬可福音講道系列
[00:02:45.000 --> 00:02:47.000]  今天是第一講
[00:02:47.000 --> 00:02:49.000]  在四福音裏面
[00:02:49.000 --> 00:02:51.000]  馬可福音是最早最短的
[00:02:51.000 --> 00:02:55.000]  由耶穌的門徒彼得親自口述
[00:02:55.000 --> 00:02:57.000]  再由馬可不六
[00:02:57.000 --> 00:03:02.000]  耶穌基督福音的起頭
[00:03:02.000 --> 00:03:06.000]  起頭是馬可福音全卷書原文裏面第一個字
[00:03:06.000 --> 00:03:10.000]  揭開神的兒子救贖佳音的序幕
[00:03:10.000 --> 00:03:12.000]  你一定聽過
[00:03:12.000 --> 00:03:16.000]  起初神創造天地
[00:03:16.000 --> 00:03:20.000]  起初是創世紀全卷書的第一個字
[00:03:20.000 --> 00:03:24.000]  揭開上帝創天造地的序幕
[00:03:24.000 --> 00:03:26.000]  創世紀的起初
[00:03:26.000 --> 00:03:28.000]  馬可福音的起頭
[00:03:28.000 --> 00:03:30.000]  意思都是開始
[00:03:30.000 --> 00:03:32.000]  上帝原初的心意
[00:03:32.000 --> 00:03:34.000]  都是賜福給我們
[00:03:34.000 --> 00:03:38.000]  耶穌基督是福音的起頭
[00:03:38.000 --> 00:03:40.000]  帶給黑暗中的罪人
[00:03:40.000 --> 00:03:42.000]  永恆的盼望
[00:03:42.000 --> 00:03:44.000]  光明的出路
[00:03:44.000 --> 00:03:48.000]  就好像後來耶穌自己所宣稱在啟示錄講道
