
[00:00:00.000 --> 00:00:04.320]  我今天開始和大家分享訊息
[00:00:04.320 --> 00:00:08.640]  很開心可以和大家一起進入神的話語
[00:00:08.640 --> 00:00:13.000]  我今個月收到一個題目叫信心
[00:00:13.000 --> 00:00:16.560]  我一開始在想信心說什麼好呢
[00:00:16.560 --> 00:00:19.000]  我第一件事立刻浮現的就是
[00:00:19.000 --> 00:00:23.480]  信心其實除了我們基督徒經常想的信心
[00:00:23.480 --> 00:00:26.480]  我信神 我要對神有信心
[00:00:26.480 --> 00:00:32.360]  其實我們世界裏面也有很多說信心的東西
[00:00:32.360 --> 00:00:33.960]  不知道大家是否熟悉
[00:00:33.960 --> 00:00:36.280]  我們要有些自信
[00:00:36.280 --> 00:00:38.160]  或者現在很流行的詞語
[00:00:38.160 --> 00:00:39.280]  很堅定
[00:00:39.280 --> 00:00:42.680]  我旁邊那個很堅定 很有信心 很堅定
[00:00:42.680 --> 00:00:47.080]  對我很安穩 跟著他打天下
[00:00:47.080 --> 00:00:52.280]  很多時候我們世界裏面也會說很多有關信心的東西
[00:00:52.280 --> 00:00:59.400]  我很記得有一個討論或者學術研究
[00:00:59.400 --> 00:01:00.880]  大家可以展示
[00:01:00.880 --> 00:01:02.280]  就是這個
[00:01:02.280 --> 00:01:04.280]  (看著)
[00:01:04.280 --> 00:01:06.280]  等一下 下一張
[00:01:06.280 --> 00:01:07.600]  (看著)
[00:01:07.600 --> 00:01:09.080]  就是這個
[00:01:09.080 --> 00:01:12.080]  斯朗拿道和美斯
[00:01:12.080 --> 00:01:16.880]  在BBC引用有間大學做的研究
[00:01:16.880 --> 00:01:21.160]  原來人有一個叫做Superman Complex
[00:01:21.160 --> 00:01:24.280]  就是說當人很有自信
[00:01:24.280 --> 00:01:28.080]  自信到覺得自己是超人的話
[00:01:28.080 --> 00:01:31.760]  你就可以做到一些超越人可以做到的事情
[00:01:31.760 --> 00:01:35.160]  就正如斯朗和美斯
[00:01:35.160 --> 00:01:37.480]  我第一樣想的東西是甚麼呢
[00:01:37.480 --> 00:01:40.880]  當然了 斯朗和美斯 他們當然做得到
[00:01:40.880 --> 00:01:44.560]  他們本身一個是外星人 一個是超人
[00:01:44.560 --> 00:01:46.280]  那是沒得說的
[00:01:46.280 --> 00:01:49.480]  所以我心裏想的一件事就是
[00:01:49.480 --> 00:01:55.680]  下一個 就是我們青少部有一個叫Rudy的弟兄
[00:01:55.680 --> 00:01:57.480]  他寫了一件事在IG寫
[00:01:57.480 --> 00:02:00.080]  機會是留給有機會的人
[00:02:00.080 --> 00:02:03.680]  就是碰到的就是留給碰到的人
[00:02:03.680 --> 00:02:06.880]  馬上心裏想起很久以前有一個Meme
[00:02:06.880 --> 00:02:09.280]  不知道大家有沒有見過
[00:02:09.280 --> 00:02:12.880]  這個機會不是屬於我的
[00:02:12.880 --> 00:02:16.880]  很多時候這個世界都會告訴我們
[00:02:16.880 --> 00:02:20.880]  有信心你可以做到一些意想不到的事情
[00:02:20.880 --> 00:02:23.480]  就好像我們的大牌子
[00:02:23.480 --> 00:02:26.280]  即是一些Adidas、Nike那裏說
[00:02:26.280 --> 00:02:27.880]  Impossible is nothing
[00:02:27.880 --> 00:02:29.880]  你想踢到像斯朗那樣
[00:02:29.880 --> 00:02:31.280]  你就可以踢到
[00:02:31.280 --> 00:02:33.080]  Impossible is nothing
[00:02:33.080 --> 00:02:34.880]  或者Nike說Just do it
[00:02:34.880 --> 00:02:37.280]  你儘管去做就搞得定
[00:02:37.280 --> 00:02:40.880]  只不過當你看著他們那些廣告的時間
[00:02:40.880 --> 00:02:43.080]  其實心裏面都會馬上沉一沉
[00:02:43.080 --> 00:02:45.080]  下一個
[00:02:45.080 --> 00:02:47.080]  你望著他們的模特兒
[00:02:47.080 --> 00:02:49.880]  個個都又Fit又型又勁
[00:02:49.880 --> 00:02:53.680]  你就會說其實這些機會都不是屬於我的
[00:02:53.680 --> 00:02:58.080]  很多時候我們很想去做到一些事情
[00:02:58.080 --> 00:02:59.680]  你很想去做的
[00:02:59.680 --> 00:03:00.880]  你很努力去做
[00:03:00.880 --> 00:03:02.480]  很想有信心去做
[00:03:02.480 --> 00:03:05.680]  但實在有時候你做不到的時候
[00:03:05.680 --> 00:03:08.880]  始終都會有失望的時間
[00:03:08.880 --> 00:03:09.880]  當你失望得多
[00:03:09.880 --> 00:03:12.680]  可能都會好像Spiderman的女朋友這樣說
[00:03:12.680 --> 00:03:14.480]  希望越大失望越大
[00:03:14.480 --> 00:03:16.480]  所以你不要有希望好過
[00:03:16.480 --> 00:03:20.080]  我們很多時候其實很想去努力去做一些事情
[00:03:20.080 --> 00:03:21.880]  但始終生命裏面都會有些時候
[00:03:21.880 --> 00:03:24.480]  你會失望會面對失敗
[00:03:24.480 --> 00:03:26.480]  這個就是位置
[00:03:26.480 --> 00:03:28.880]  其實我今天不是想說
[00:03:28.880 --> 00:03:30.880]  大家不要這麼有自信
[00:03:30.880 --> 00:03:32.480]  就完
[00:03:32.480 --> 00:03:34.080]  這些是假的
[00:03:34.080 --> 00:03:36.080]  大家要沒自信點不是這樣
[00:03:36.080 --> 00:03:38.080]  其實我都想有自信點
[00:03:38.080 --> 00:03:41.480]  但其實重點是失敗這個題目
[00:03:41.480 --> 00:03:43.880]  其實很少碰到的你覺不覺得
[00:03:43.880 --> 00:03:46.680]  世界通常怎樣去說失敗
[00:03:46.680 --> 00:03:49.080]  失敗乃成功之母
[00:03:49.080 --> 00:03:52.080]  你失敗得多你就成功
[00:03:52.080 --> 00:03:54.880]  但全部都是說之後怎樣成功
[00:03:54.880 --> 00:03:57.680]  你看著那個成功其實你覺得很遠
[00:03:57.680 --> 00:04:01.880]  失敗這個題目其實真的很少去提
[00:04:01.880 --> 00:04:04.080]  甚至其實如果你認真去想一下
[00:04:04.080 --> 00:04:07.880]  現在香港這麼多孩童自殺的案件
[00:04:07.880 --> 00:04:09.480]  其實你會知道
[00:04:09.480 --> 00:04:12.280]  其實因為這個題目真的很少提
[00:04:12.280 --> 00:04:14.680]  失敗我們怎樣面對失敗
[00:04:14.680 --> 00:04:15.680]  就是不知道
[00:04:15.680 --> 00:04:18.480]  所以當面對失敗的時候真的很辛苦很大壓力
[00:04:18.480 --> 00:04:21.480]  以致很想躺平
[00:04:21.480 --> 00:04:23.080]  或者可能去逃避
[00:04:23.080 --> 00:04:26.680]  又或者可能有個字很emo
[00:04:26.680 --> 00:04:29.080]  不如讓我emo一下
[00:04:29.080 --> 00:04:30.280]  emo完之後
