
[00:00:00.000 --> 00:00:02.000]  各位兄姊妹平安
[00:00:02.000 --> 00:00:10.000]  今天講到的經文是《創世紀》32章22-32節
[00:00:10.000 --> 00:00:14.000]  講題是「在主裡掙扎」
[00:00:14.000 --> 00:00:18.000]  掙扎是我們每一天都會遇到的事
[00:00:18.000 --> 00:00:20.000]  通常什麼時候會有掙扎呢
[00:00:20.000 --> 00:00:24.000]  可能你說一張開眼睛掙扎起不起來
[00:00:24.000 --> 00:00:27.000]  也可能是生活平時的掙扎
[00:00:27.000 --> 00:00:33.000]  明明身體很累,但也要掙扎去做運動
[00:00:33.000 --> 00:00:38.000]  有時只有一個,可能不知道吃什麼好
[00:00:38.000 --> 00:00:43.000]  想做對的決定,掙扎著吃什麼
[00:00:43.000 --> 00:00:47.000]  影響比較大的是掙扎是否繼續上這份工作
[00:00:47.000 --> 00:00:51.000]  或者上什麼工作,還是去進修
[00:00:51.000 --> 00:00:55.000]  我們都很怕選錯,做錯決定
[00:00:55.000 --> 00:01:01.000]  再深層一點,看到同事升職比你快
[00:01:01.000 --> 00:01:04.000]  可能都會質疑自己不夠好
[00:01:04.000 --> 00:01:07.000]  又或者馬上要轉工了
[00:01:07.000 --> 00:01:09.000]  很怕被人小看
[00:01:09.000 --> 00:01:13.000]  就會產生一些內心的掙扎
[00:01:13.000 --> 00:01:18.000]  當一害怕,我們就好像被淹沒一樣
[00:01:18.000 --> 00:01:22.000]  不斷抓,抓著水泡
[00:01:22.000 --> 00:01:24.000]  希望自己不要沉下去
[00:01:24.000 --> 00:01:27.000]  又或者好像去營會一樣
[00:01:27.000 --> 00:01:31.000]  夜行,蒙著眼,黑咪媽
[00:01:31.000 --> 00:01:33.000]  手裡只有一條繩子
[00:01:33.000 --> 00:01:36.000]  死命地抓著那條繩子
[00:01:36.000 --> 00:01:38.000]  特別是在晚上
[00:01:38.000 --> 00:01:43.000]  要面對生活上,關係上,內心裡的恐懼
[00:01:43.000 --> 00:01:49.000]  這種掙扎的聲音不斷地在頭裡游走
[00:01:49.000 --> 00:01:55.000]  在聖經裡,每一位聖經人物都有他掙扎的事跡
[00:01:55.000 --> 00:01:58.000]  今天我們就專注地去看
[00:01:58.000 --> 00:02:03.000]  從一開始就為自己打算,不斷掙扎的雅各
[00:02:03.000 --> 00:02:06.000]  在他不斷掙扎的人生裡
[00:02:06.000 --> 00:02:08.000]  有一個重要的轉捩點
[00:02:08.000 --> 00:02:12.000]  就是神主動地找他打架
[00:02:12.000 --> 00:02:17.000]  我們一起看一下神廟去打架的原因
[00:02:17.000 --> 00:02:20.000]  又看一下雅各有什麼改變
[00:02:20.000 --> 00:02:24.000]  我們又想一下,是不是有空要找神打架呢?
[00:02:24.000 --> 00:02:26.000]  去切磋一下呢?
[00:02:26.000 --> 00:02:30.000]  可以進入港道之先,我們一起去祈禱
[00:02:30.000 --> 00:02:36.000]  親愛的天父
[00:02:36.000 --> 00:02:40.000]  人一生的掙扎,你都看到
[00:02:40.000 --> 00:02:44.000]  你都看顧,我們有不明白的
[00:02:44.000 --> 00:02:49.000]  但感謝你,你從來都沒有放棄過我們
[00:02:49.000 --> 00:02:54.000]  從來都一直圍著我們,跟我們對話
[00:02:54.000 --> 00:02:57.000]  今天,我就願聖靈透過聖經
[00:02:57.000 --> 00:03:01.000]  向我們每一個人說話
[00:03:01.000 --> 00:03:04.000]  奉主名求,阿們
[00:03:04.000 --> 00:03:11.000]  雅各的掙扎,在《創世紀》32章可以看到
[00:03:11.000 --> 00:03:15.000]  雅各正在預備見他哥哥耳掃
[00:03:15.000 --> 00:03:19.000]  一個他曾經搶走了長子的名分
[00:03:19.000 --> 00:03:23.000]  用騙的方式去承繼他爸爸的祝福
[00:03:23.000 --> 00:03:27.000]  這個祝福是天地都為雅各效力
[00:03:27.000 --> 00:03:32.000]  又有很多國,很多民來去侍奉和跪拜他
[00:03:32.000 --> 00:03:38.000]  這個祝福是一個國家或地區領袖的規模
[00:03:40.000 --> 00:03:43.000]  耳掃,耳剎是這樣祝福雅各的
[00:03:43.000 --> 00:03:47.000]  願神賜你天上的金露,地上的肥土
[00:03:47.000 --> 00:03:49.000]  並許多五穀生酒
[00:03:49.000 --> 00:03:53.000]  願多民侍奉你,多國跪拜你
[00:03:53.000 --> 00:03:58.000]  願你作你弟兄的主,你母親的兒子向你跪拜
[00:03:58.000 --> 00:04:01.000]  在耳掃的角度
[00:04:01.000 --> 00:04:06.000]  雅各是令他沒有了這個求都求不回來的祝福
[00:04:06.000 --> 00:04:10.000]  當時耳掃生氣得想殺了他
[00:04:10.000 --> 00:04:12.000]  原本我可以做總統
[00:04:12.000 --> 00:04:14.000]  但是雅各搶走了
[00:04:14.000 --> 00:04:16.000]  在雅各的角度
[00:04:16.000 --> 00:04:19.000]  他騙了耳掃的祝福之後
[00:04:19.000 --> 00:04:24.000]  雅各拿走了原本屬於耳掃的未來
[00:04:24.000 --> 00:04:27.000]  就好像偷了別人的寶藏一樣
[00:04:27.000 --> 00:04:30.000]  裡面有整座山的金銀珠寶
[00:04:30.000 --> 00:04:33.000]  夠你吃幾輩子,做皇帝都還可以
[00:04:33.000 --> 00:04:39.000]  但是當雅各聽到要回到本地本族的時候
[00:04:39.000 --> 00:04:43.000]  雅各首先要面對的是耳掃的生氣
[00:04:43.000 --> 00:04:45.000]  至少不讓耳掃殺
[00:04:45.000 --> 00:04:50.000]  當雅各聽到耳掃帶著四百人來的時候
[00:04:50.000 --> 00:04:53.000]  雅各一聽,嘩,還不是要他的命
[00:04:53.000 --> 00:04:56.000]  這個不是簡單兄弟不和
[00:04:56.000 --> 00:04:58.000]  這個是生死相博
[00:04:58.000 --> 00:05:01.000]  雅各當然害怕
[00:05:01.000 --> 00:05:06.000]  他先佈署了禮物和生畜
[00:05:06.000 --> 00:05:11.000]  然後又安排了他家人過了雅各的道口
[00:05:11.000 --> 00:05:14.000]  雅各做完,他可以做了
[00:05:14.000 --> 00:05:19.000]  在晚上,只剩下雅各一個人
