
[00:00:00.000 --> 00:00:03.000]  各位頂姐妹早晨
[00:00:03.000 --> 00:00:07.000]  在我們開始聆聽訊息之前
[00:00:07.000 --> 00:00:10.000]  讓我們一起看一看這條短片
[00:00:10.000 --> 00:00:12.000]  預備我們的心
[00:00:12.000 --> 00:00:16.000]  來去面對未來神的恩典和開路
[00:00:16.000 --> 00:00:19.000]  頂姐妹很開心在這裡去分享一堂多子
[00:00:19.000 --> 00:00:22.000]  我們這個政策的深化
[00:00:22.000 --> 00:00:23.000]  隨著北部區域的開發
[00:00:23.000 --> 00:00:26.000]  我們估計將會有更加多年青的家庭
[00:00:26.000 --> 00:00:28.000]  會去到那區居住
[00:00:28.000 --> 00:00:30.000]  同時隨著人口中位數的上漁
[00:00:30.000 --> 00:00:33.000]  很多長輩可能都需要留在自己的社區裡
[00:00:33.000 --> 00:00:35.000]  尋求一個屬靈的群體
[00:00:35.000 --> 00:00:37.000]  在今年我們很感恩
[00:00:37.000 --> 00:00:40.000]  由建立牧師、二名牧師和他們的隊工
[00:00:40.000 --> 00:00:41.000]  已經籌組起來
[00:00:41.000 --> 00:00:45.000]  在北區尋找上帝給他們的禍祥和機遇
[00:00:45.000 --> 00:00:47.000]  很期望你們都能夠一起參與
[00:00:47.000 --> 00:00:50.000]  特別我們期望在未來的日子
[00:00:50.000 --> 00:00:53.000]  我們幾間的子堂連同新的子堂和母堂
[00:00:53.000 --> 00:00:54.000]  一起無論在宣教上
[00:00:54.000 --> 00:00:56.000]  無論在我們的神學上
[00:00:56.000 --> 00:00:59.000]  彼此結連成為更有力的群體
[00:00:59.000 --> 00:01:02.000]  回應上帝在恩福家所攀下的照明
[00:01:02.000 --> 00:01:03.000]  願意你都能夠一起參與
[00:01:03.000 --> 00:01:05.000]  支持第四子的開展
[00:01:05.000 --> 00:01:13.000]  過去幾年香港社會的氣氛急劇地轉變
[00:01:13.000 --> 00:01:15.000]  移民的浪潮持續出現
