
[00:00:00.000 --> 00:00:04.040]  今日跟大家分享另一個訊息
[00:00:04.040 --> 00:00:07.760]  就是關於在針研
[00:00:07.760 --> 00:00:11.400]  因為有兩篇針研想跟大家分享
[00:00:11.400 --> 00:00:12.840]  今日是第二篇
[00:00:12.840 --> 00:00:14.080]  今日講針研之先
[00:00:14.080 --> 00:00:20.640]  我都拿了這本《2025-2026年度政府財政預算案》
[00:00:20.640 --> 00:00:24.440]  剛上星期就出了這份財政預算案
[00:00:24.440 --> 00:00:27.400]  當然在網上都有很多不同的評價
[00:00:27.400 --> 00:00:30.840]  很多都覺得扣了錢我都很不開心
[00:00:30.840 --> 00:00:32.240]  我自己一邊看
[00:00:32.240 --> 00:00:34.640]  有時都覺得我自己感受
[00:00:34.640 --> 00:00:37.400]  都是巧富難為無米吹
[00:00:37.400 --> 00:00:38.720]  無論是賣地
[00:00:38.720 --> 00:00:40.280]  無論是印花稅
[00:00:40.280 --> 00:00:41.720]  收入都跌了很多
[00:00:41.720 --> 00:00:47.160]  看下去原來今年預出年赤字有872億
[00:00:47.160 --> 00:00:51.560]  他期望下年赤字可以跌到670億
[00:00:51.560 --> 00:00:52.840]  可以慢慢改善
[00:00:52.840 --> 00:00:55.000]  我們繼續為城市祈禱
[00:00:55.000 --> 00:00:57.120]  希望能夠得到改善
[00:00:57.120 --> 00:01:05.680]  亦都知道政府儲備跌到2011-2012年度的水準
[00:01:05.680 --> 00:01:08.080]  一直跌下去
[00:01:08.080 --> 00:01:13.120]  都是我們見到一些經濟情況下的情況
[00:01:13.120 --> 00:01:15.000]  今日想跟大家分享的題目
[00:01:15.000 --> 00:01:17.200]  就是貧窮限制了我們的想像
[00:01:17.200 --> 00:01:18.880]  因為發覺原來政府
[00:01:18.880 --> 00:01:21.320]  一方面見到他巧富難為無米吹
[00:01:21.320 --> 00:01:23.160]  另一方面見到他發債
[00:01:23.160 --> 00:01:27.160]  是否會開始我們以後香港要借貸渡日呢?
[00:01:27.160 --> 00:01:28.840]  又比較一下我們的生活
[00:01:28.840 --> 00:01:31.200]  會不會有些更新或改變呢?
[00:01:31.200 --> 00:01:32.800]  不如我們開先的時候一起祈禱
[00:01:32.800 --> 00:01:34.960]  一起禱告
[00:01:34.960 --> 00:01:36.280]  七位主我們感謝祢
[00:01:36.280 --> 00:01:38.240]  讓我們有上帝的話語
[00:01:38.240 --> 00:01:40.520]  讓我們知道無論在什麼光景裏面
[00:01:40.520 --> 00:01:43.720]  我們穩行在上帝祢的高處
[00:01:43.720 --> 00:01:45.240]  我們說可以看自己的生命
[00:01:45.240 --> 00:01:47.440]  自己的生活有很多缺乏
[00:01:47.440 --> 00:01:49.240]  但我們轉眼仰望上帝的時候
[00:01:49.240 --> 00:01:50.840]  求上帝祢開我們的眼睛
[00:01:50.840 --> 00:01:52.600]  看見聖經的啟示
[00:01:52.600 --> 00:01:55.200]  求主祢幫助祝福我們在針焰裏面
[00:01:55.200 --> 00:01:58.480]  看貧窮帶來那種無窮的想像
[00:01:58.480 --> 00:02:01.320]  我們這樣禱告奉耶穌基督的名而求
[00:02:01.320 --> 00:02:03.000]  阿們
[00:02:03.000 --> 00:02:07.200]  在國內見到有些相親的節目
[00:02:07.200 --> 00:02:11.720]  或現在有很多的性男性女會相親
[00:02:11.720 --> 00:02:14.840]  相親通常會問三個問題
[00:02:14.840 --> 00:02:15.800]  第一個問題就是
[00:02:15.800 --> 00:02:17.080]  你有沒有樓?
[00:02:17.080 --> 00:02:18.040]  是什麼樓?
[00:02:18.040 --> 00:02:19.040]  第二,你有沒有車?
[00:02:19.040 --> 00:02:20.040]  是什麼車?
[00:02:20.040 --> 00:02:22.480]  第三,銀行存款有多少?
[00:02:22.480 --> 00:02:24.760]  答了這三個問題才說其他的
[00:02:24.760 --> 00:02:28.560]  其他問題都不會再討論下去
[00:02:28.560 --> 00:02:29.840]  沒有回答這三個問題
[00:02:29.840 --> 00:02:35.280]  有時覺得為何相親會問金錢的問題
[00:02:35.280 --> 00:02:38.760]  但有時我跟國內很多頂尖朋友相處
[00:02:38.760 --> 00:02:41.880]  都感受到他們小時候窮得很厲害
[00:02:41.880 --> 00:02:43.400]  窮到害怕了
[00:02:43.400 --> 00:02:46.400]  所以追求金錢和帶來的安全感
[00:02:46.400 --> 00:02:48.880]  是一個很大的需要
[00:02:48.880 --> 00:02:51.200]  我經常記得二十多年前
[00:02:51.200 --> 00:02:54.960]  有位跟我一起長大的堂哥
[00:02:54.960 --> 00:02:59.240]  當時在國內因為五萬元的債務自殺死了
[00:02:59.240 --> 00:03:01.440]  五萬元今天未必是一筆很大的錢
[00:03:01.440 --> 00:03:04.400]  但當時是一筆很大很大的錢
[00:03:04.400 --> 00:03:05.640]  他都覺得很沒面子
[00:03:05.640 --> 00:03:06.960]  沒了這筆錢
[00:03:06.960 --> 00:03:10.280]  留下了女兒和太太
[00:03:10.280 --> 00:03:12.360]  我們在五年計劃裡
