
[00:00:00.000 --> 00:00:03.360]  在這個敬拜中,其實也有一個很深刻的感受
[00:00:03.360 --> 00:00:09.600]  或者在敬拜中,剛才上帝真的帶我去經歷了
[00:00:09.600 --> 00:00:11.680]  無論再一次經歷他的愛
[00:00:11.680 --> 00:00:15.440]  或者最後立志在上帝面前願意跟隨著
[00:00:15.440 --> 00:00:17.120]  我想我也是這樣跟著經歷
[00:00:17.120 --> 00:00:20.960]  我相信你們聖靈也這樣帶領我們經歷
[00:00:20.960 --> 00:00:24.840]  首先在敬拜中,我們有一個很深刻的感受
[00:00:24.840 --> 00:00:27.400]  就是我們在聖靈的身上
[00:00:27.440 --> 00:00:30.120]  我們有一個很深刻的感受
[00:00:30.120 --> 00:00:32.360]  就是我們在聖靈的身上
[00:00:32.360 --> 00:00:34.440]  有一個很深刻的感受
[00:00:34.440 --> 00:00:36.720]  就是我們在聖靈的身上
[00:00:36.720 --> 00:00:38.880]  有一個很深刻的感受
[00:00:38.880 --> 00:00:40.840]  就是我們在聖靈的身上
[00:00:40.840 --> 00:00:42.920]  有一個很深刻的感受
[00:00:42.920 --> 00:00:44.560]  就是我們在聖靈的身上
[00:00:44.560 --> 00:00:46.520]  有一個很深刻的感受
[00:00:46.520 --> 00:00:48.400]  就是我們在聖靈的身上
[00:00:48.400 --> 00:00:50.640]  有一個很深刻的感受
[00:00:50.640 --> 00:00:52.440]  就是我們在聖靈的身上
[00:00:52.440 --> 00:00:54.440]  有一個很深刻的感受
[00:00:54.440 --> 00:00:56.000]  就是我們在聖靈的身上
[00:00:56.040 --> 00:00:57.640]  我跟他打過一次火鍋
[00:00:57.640 --> 00:00:59.120]  但是其實他不認識我
[00:00:59.120 --> 00:01:01.000]  就是他在我來這裡做的時候
[00:01:01.000 --> 00:01:03.160]  他已經離開了恩福
[00:01:03.160 --> 00:01:05.720]  但是我想他見著他
[00:01:05.720 --> 00:01:07.840]  就是他的過身對我來說
[00:01:07.840 --> 00:01:09.120]  是一個什麼感受呢
[00:01:09.120 --> 00:01:11.160]  剛才在敬拜中我真的想到
[00:01:11.160 --> 00:01:14.560]  當師哥說上帝的十字架
[00:01:14.560 --> 00:01:16.880]  是帶給人平安的,帶給人醫治的
[00:01:16.880 --> 00:01:18.960]  我覺得我體驗
[00:01:18.960 --> 00:01:21.160]  在加德傳道裡面體驗生命的寶芥
[00:01:21.160 --> 00:01:24.680]  或者耶穌基督的十字架對生命的影響
[00:01:24.720 --> 00:01:29.040]  剛才下午你跟公公一直說這個消息的時候
[00:01:29.040 --> 00:01:33.280]  他們發了一些他們跟加德傳道的對話
[00:01:33.280 --> 00:01:35.240]  在他之前好幾個月
[00:01:35.240 --> 00:01:37.320]  再知道確診的時候的對話
[00:01:37.320 --> 00:01:38.880]  他就說,加德傳道這樣說
[00:01:38.880 --> 00:01:40.600]  他說他知道他要死亡
[00:01:40.600 --> 00:01:41.880]  其實他不怕
[00:01:41.880 --> 00:01:44.360]  因為他知道有永生等著他
[00:01:44.360 --> 00:01:46.960]  他知道他要做的事已經完成了
[00:01:46.960 --> 00:01:49.120]  他很有信心地說上帝一定會接著他
