
[00:00:00.000 --> 00:00:02.000]  大家好大家好
[00:00:02.000 --> 00:00:04.000]  點解Aster咁講呢
[00:00:04.000 --> 00:00:06.000]  因為我係啱啱
[00:00:06.000 --> 00:00:08.000]  上任咗
[00:00:08.000 --> 00:00:10.000]  青少暴其中一個
[00:00:10.000 --> 00:00:12.000]  傳統工, 我介紹下自己先啦
[00:00:12.000 --> 00:00:14.000]  咁不如大家
[00:00:14.000 --> 00:00:16.000]  都喺個
[00:00:16.000 --> 00:00:18.000]  Youtube呀咁
[00:00:18.000 --> 00:00:20.000]  Say Hello, Ligo
[00:00:20.000 --> 00:00:22.000]  Hello, 我叫Billy
[00:00:22.000 --> 00:00:24.000]  介紹下自己先, 我叫Billy
[00:00:24.000 --> 00:00:26.000]  咁係音福堂青少暴
[00:00:26.000 --> 00:00:28.000]  新入職嘅
[00:00:28.000 --> 00:00:30.000]  傳統工, 咁主要呢
[00:00:30.000 --> 00:00:32.000]  係負責大專嘅團契
[00:00:32.000 --> 00:00:34.000]  咁今日呢其實
[00:00:34.000 --> 00:00:36.000]  係我上任呢第一次呢
[00:00:36.000 --> 00:00:38.000]  係星期六呢做
[00:00:38.000 --> 00:00:40.000]  青少年的崇拜講到嘅
[00:00:40.000 --> 00:00:42.000]  咁好感恩啦, 能夠呢
[00:00:42.000 --> 00:00:44.000]  同大家呢去宣講神嘅說話
[00:00:44.000 --> 00:00:46.000]  咁
[00:00:46.000 --> 00:00:50.000]  係啦咁介紹下
[00:00:50.000 --> 00:00:52.000]  青少暴嘅崇拜先啦, 青少暴嘅崇拜呢
[00:00:52.000 --> 00:00:54.000]  咁其實每個月呢都會
[00:00:54.000 --> 00:00:56.000]  有個月提嘅, 咁
[00:00:56.000 --> 00:00:58.000]  早個月啦就會有
[00:00:58.000 --> 00:01:00.000]  人被罪嘅核製啦
[00:01:00.000 --> 00:01:02.000]  咁之後呢就有關係嘅
[00:01:02.000 --> 00:01:04.000]  復活, 啱啱上個月就係關係嘅
[00:01:04.000 --> 00:01:06.000]  復活, 咁今個月呢有新嘅
[00:01:06.000 --> 00:01:08.000]  月提, 就係叫做盼望
[00:01:08.000 --> 00:01:10.000]  咁呢盼望我相信
[00:01:10.000 --> 00:01:12.000]  大家都有, 咁如果呢
[00:01:12.000 --> 00:01:14.000]  係而家呢個時間呢一刻
[00:01:14.000 --> 00:01:16.000]  我問大家, 其實你有
[00:01:16.000 --> 00:01:18.000]  即係你一刻你有咩盼望呀
[00:01:18.000 --> 00:01:20.000]  咁我相信, 即係頭先
[00:01:20.000 --> 00:01:22.000]  Esta開始都有講
[00:01:22.000 --> 00:01:24.000]  我好希望都係
[00:01:24.000 --> 00:01:26.000]  快啲過啦, 呢啲時間
